date,time,high,residual
2015-01-04,03:45:00,1.196,-0.189
2015-01-04,04:00:00,1.33,-0.199
2015-01-04,04:15:00,1.473,-0.191
2015-01-04,04:30:00,1.596,-0.191
2015-01-04,04:45:00,1.72,-0.173
2015-01-04,05:00:00,1.803,-0.176
2015-01-04,05:15:00,1.884,-0.158
2015-01-04,05:30:00,1.913,-0.168
2015-01-04,05:45:00,1.939,-0.159
2015-01-04,06:00:00,1.946,-0.151
2015-01-04,06:15:00,1.955,-0.129
2015-01-04,06:30:00,1.934,-0.13
2015-01-04,06:45:00,1.902,-0.134
2015-01-04,07:00:00,1.868,-0.133
2015-01-04,07:15:00,1.804,-0.148
2015-01-04,07:30:00,1.752,-0.137
2015-01-04,07:45:00,1.667,-0.144
2015-01-04,08:00:00,1.573,-0.146
2015-01-04,08:15:00,1.473,-0.145
2015-01-04,08:30:00,1.36,-0.151
2015-01-04,08:45:00,1.236,-0.162
2015-01-04,09:00:00,1.089,-0.188
2015-01-04,09:15:00,0.954,-0.195
2015-01-04,09:30:00,0.82,-0.194
2015-01-04,09:45:00,0.713,-0.168
2015-01-04,10:00:00,0.604,-0.156
2015-01-04,10:15:00,0.487,-0.176
2015-01-04,10:30:00,0.401,-0.201
2015-01-04,10:45:00,0.371,-0.209
2015-01-04,11:00:00,0.358,-0.234
2015-01-04,11:15:00,0.372,-0.254
2015-01-04,11:30:00,0.441,-0.228
2015-01-04,11:45:00,0.514,-0.193
2015-01-04,12:00:00,0.52,-0.213
2015-01-04,12:15:00,0.525,-0.218
2015-01-04,12:30:00,0.513,-0.226
2015-01-04,12:45:00,0.507,-0.216
2015-01-04,13:00:00,0.488,-0.21
2015-01-04,13:15:00,0.47,-0.194
2015-01-04,13:30:00,0.458,-0.163
2015-01-04,13:45:00,0.418,-0.156
2015-01-04,14:00:00,0.388,-0.14
2015-01-04,14:15:00,0.328,-0.167
2015-01-04,14:30:00,0.321,-0.167
2015-01-04,14:45:00,0.336,-0.179
2015-01-04,15:00:00,0.386,-0.195
2015-01-04,15:15:00,0.519,-0.165
2015-01-04,15:30:00,0.61,-0.205
2015-01-04,15:45:00,0.741,-0.223
2015-01-04,16:00:00,0.889,-0.231
2015-01-04,16:15:00,1.05,-0.225
2015-01-04,16:30:00,1.201,-0.222
2015-01-04,16:45:00,1.375,-0.184
2015-01-04,17:00:00,1.512,-0.167
2015-01-04,17:15:00,1.611,-0.17
2015-01-04,17:30:00,1.705,-0.154
2015-01-04,17:45:00,1.76,-0.153
2015-01-04,18:00:00,1.786,-0.157
2015-01-04,18:15:00,1.822,-0.133
2015-01-04,18:30:00,1.828,-0.126
2015-01-04,18:45:00,1.808,-0.137
2015-01-04,19:00:00,1.811,-0.118
2015-01-04,19:15:00,1.768,-0.138
2015-01-04,19:30:00,1.711,-0.162
2015-01-04,19:45:00,1.67,-0.155
2015-01-04,20:00:00,1.608,-0.153
2015-01-04,20:15:00,1.515,-0.166
2015-01-04,20:30:00,1.418,-0.17
2015-01-04,20:45:00,1.315,-0.17
2015-01-04,21:00:00,1.201,-0.172
2015-01-04,21:15:00,1.068,-0.181
