BRC names,BRC number,Type,Sym
Orobanche hederae,9201402,h,
Orobanche minor,9201404,h,
Orobanche purpurea,9201406,h,
Orobanche ramosa,9201407,h,
Orobanche rapum-genistae,9201408,h,
Orobanche reticulata,9201409,h,
Orobanche sp.,200001585,h,
Orthilia secunda,9201410,h,
Osmunda regalis,9101411,h,
Otanthus maritimus,9201412,h,
Oxalis acetosella,9201413,h,
Oxalis articulata,9201415,h,
Oxalis corniculata,9201414,h,
Oxalis debilis,9202519,h,
Oxalis dillenii,9202517,h,
Oxalis exilis,9201414.3,h,
Oxalis incarnata,9202518,h,
Oxalis latifolia,9202520,h,
Oxalis pes-caprae,9202523,h,
Oxalis sp.,200001644,h,
Oxalis stricta,9201416,h,
Oxyria digyna,9201420,h,
Oxytropis campestris,9201421,h,
Oxytropis halleri,9201422,h,
Paeonia mascula,9201423,h,
Panicum miliaceum,9204435,h,
Papaver argemone,9201424,h,
Papaver dubium,9207046,h,
Papaver dubium subsp.dubium,9201426,h,
Papaver dubium subsp.lecoqii,9201429,h,
Papaver hybridum,9201427,h,
Papaver rhoeas,9201430,h,
Papaver somniferum,9201431,h,
Papaver sp.,9205129,h,
Parapholis incurva,9201432,h,
Parapholis strigosa,9201433,h,
Parentucellia viscosa,9201434,h,
Parietaria judaica,9201435,h,
Paris quadrifolia,9201436,h,
Parnassia palustris,9201437,h,
Parthenocissus quinquefolia,9204381,h,
Pastinaca sativa,9201440,h,
Pedicularis palustris,9201441,h,
Pedicularis sp.,200001645,h,
Pedicularis sylvatica,9201442,h,
Pentaglottis sempervirens,9201443,h,
Persicaria amphibia,9201521,h,
Persicaria amplexicaulis,9202246,h,
Persicaria bistorta,9201525,h,
Persicaria hydropiper,9201530,h,
Persicaria laxiflora,9201535,h,
Persicaria maculosa,9201537,h,
Persicaria minor,9201534,h,
Persicaria vivipara,9201543,h,
Persicaria wallichii,9201538,h,
Petasites albus,9201445,h,
Petasites fragrans,9201446,h,
Petasites hybridus,9201447,h,
Petasites japonicus,9201448,h,
Petasites sp.,200001683,h,
Petasites spp.,200001696,h,
Petrorhagia nanteuilii,9201090.1,h,
Petrorhagia prolifera,9201090.2,h,
Petrorhagia saxifraga,9205409,h,
Petroselinum crispum,9201449,h,
Petroselinum segetum,9201450,h,
Petroselinum sp.,200001646,h,
Peucedanum officinale,9201451,h,
Peucedanum ostruthium,9201452,h,
Peucedanum palustre,9201453,h,
Phalaris arundinacea,9201454,h,
Phalaris canariensis,9201455,h,
Phalaris minor,9201456,h,
Phalaris sp.,200001647,h,
Phegopteris connectilis,9102053,h,
Phleum alpinum,9201460,h,
Phleum arenarium,9201459,h,
Phleum bertolonii,9201461,h,
Phleum phleoides,9201462,h,
Phleum pratense sens.lat.,9202247,h,
Phleum sp.,9204587,h,
Phlomis fruticosa,9201464,h,
Phormium tenax,9202245,h,
Phragmites australis,9201465,h,
Phyllitis scolopendrium,9101466,h,
Phyllodoce caerulea,9201467,h,
Physalis alkekengi,9204416,h,
Physocarpus opulifolius,9205435,h,
Physospermum cornubiense,920616,h,
Phyteuma orbiculare,9201469,h,
Phyteuma spicatum,9201468,h,
Picea abies,9201470,t,em
Picea sitchensis,9202401,t,em
Picea sp,9205155,t,em
Picris echioides,9201471,h,
Picris hieracioides,9201472,h,
Pilosella aurantiaca,9204516,h,
Pilosella caespitosa,9203054,h,
Pilosella flagellaris,9203083,h,
Pilosella officinarum,920976,h,
Pilosella officinarum x peleteriana (P. x longisquama),9202841,h,
Pilosella peleteriana,9203144,h,
Pilosella praealta,9203154,h,
Pilularia globulifera,9101474,h,
Pimpinella major,9201475,h,
Pimpinella saxifraga,9201476,h,
Pimpinella sp.,200001648,h,
Pinguicula alpina,9201477,h,
Pinguicula grandiflora,9201478,h,
Pinguicula lusitanica,9201480,h,
Pinguicula vulgaris,9201481,h,
Pinus contorta,9202402,t,em
Pinus contorta var latifloia (c),9202402.2,t,em
Pinus nigra,9201482,t,em
Pinus pinaster,9201483,t,em
Pinus radiata,9202414,t,em
Pinus sp./seedling,9204546,t,em
Pinus sylvestris,9201484,t,em
Pisum sativum,9204365,h,
Pittosporum crassifolium,9204389,h,
Plantago coronopus,9201485,h,
Plantago lanceolata,9201487,h,
Plantago major,9201488,h,
Plantago maritima,9201489,h,
Plantago media,9201490,h,
Plantago sp.,200001649,h,
Platanthera bifolia,9201492,h,
Platanthera chlorantha,9201493,h,
Platanthera sp.,200001650,h,
Platanus x hispanica (P. occidentalis x orientalis),9202407,t,am
Pleioblastus simonii,9204306,h,
Poa alpina,9201494,h,
Poa alpina x flexuosa (P. x jemtlandica),9201503,h,
Poa angustifolia,9201506.2,h,
Poa annua,9201495,h,
Poa bulbosa,9201497,h,
Poa chaixii,9201498,h,
Poa compressa,9201499,h,
Poa flabellata,9205436,h,
Poa flexuosa,9201500,h,
Poa glauca,9201501,h,
Poa humilis,9201506.5,h,
Poa infirma,9201502,h,
Poa nemoralis,9201504,h,
Poa nemoralis/trivialis,200001593,h,
Poa palustris,9201505,h,
Poa pratensis sens.lat.,9201506,h,
Poa sp.,9204547,h,
Poa trivialis,9201507,h,
Polemonium caeruleum,9201508,h,
Polycarpon tetraphyllum,9201509,h,
Polygala amarella,9201510,h,
Polygala calcarea,9201512,h,
Polygala oxyptera,9201515,h,
Polygala serpyllifolia,9201514,h,
Polygala sp.,9204548,h,
Polygala vulgaris/serpyllifolia,20000323,h,
Polygobum cognatum,9202431,h,
Polygonatum multiflorum,9201516,h,
Polygonatum odoratum,9201518,h,
Polygonatum verticillatum,9201519,h,
Polygonum arenastrum,9201520,h,
Polygonum aviculare agg.,9201522,h,
Polygonum boreale,9202269,h,
Polygonum lapathifolium,9201531,h,
Polygonum maritimum,9201533,h,
Polygonum oxyspermum,9201539,h,
Polygonum rurivagum,9201540,h,
Polygonum sp.,9204549,h,
Polypodium cambricum,9101544.1,h,
Polypodium interjectum,9101544.3,h,
Polypodium sp.,200001676,h,
Polypodium vulgare sens.lat.,9101544,h,
Polypodium vulgare sens.str.,9101544.2,h,
Polypogon monspeliensis,9201545,h,
Polystichum aculeatum,9101546,h,
Polystichum lonchitis,9101547,h,
Polystichum setiferum,9101548,h,
Polystichum setiferum/aculeatum,20000330,h,
Polystichum sp.,9104651,f,
Populus (cultivar),200001652,t,em
Populus alba,9201549,t,em
Populus candicans,9201552,t,em
Populus canescens,9201551,t,em
Populus deltoides,9204550,h,
Populus nigra,9204313,t,em
Populus nigra cv. italica,9201553,t,em
Populus nigra subsp.betulifolia,9201554,t,em
Populus sp.,200001651,t,em
Populus tremula,9201555,t,em
Porella sp.,200001653,h,
Portulaca oleracea,9201556,h,
Potamogeton acutifolius,9201557,h,
Potamogeton alpinus,9201558,h,
Potamogeton berchtoldii,9201559,h,
Potamogeton coloratus,9201561,h,
Potamogeton compressus,9201562,h,
Potamogeton crispus,9201563,h,
Potamogeton epihydrus,9201565,h,
Potamogeton filiformis,9201566,h,
Potamogeton friesii,9201567,h,
Potamogeton gramineus,9201568,h,
Potamogeton lucens,9201569,h,
Potamogeton natans,9201570,h,
Potamogeton nodosus,9201572,h,
Potamogeton obtusifolius,9201573,h,
Potamogeton pectinatus,9201574,h,
Potamogeton perfoliatus,9201575,h,
Potamogeton polygonifolius,9201576,h,
Potamogeton praelongus,9201577,h,
Potamogeton pusillus,9201578,h,
Potamogeton rutilus,9201579,h,
Potamogeton sp.,9204551,h,
Potamogeton trichoides,9201581,h,
Potentilla anglica,9201583,h,
Potentilla anserina,9201584,h,
Potentilla argentea,9201585,h,
Potentilla crantzii,9201587,h,
Potentilla erecta,9201588,h,
Potentilla fruticosa,9201589,h,
Potentilla intermedia,9201590,h,
Potentilla neumanniana,9201597,h,
Potentilla norvegica,9201591,h,
Potentilla palustris,9201592,h,
Potentilla recta,9201593,h,
Potentilla reptans,9201594,h,
Potentilla rupestris,9201595,h,
Potentilla sp.,9205173,h,
Potentilla sterilis,9201596,h,
Potentilla x mixta sens. lat. (P. anglica or erecta x reptans),9202990,h,
Primula elatior,9201600,h,
Primula elatior x vulgaris (P. x digenea),9201602,h,
Primula farinosa,9201603,h,
Primula scotica,9201604,h,
Primula scotica/farinosa,200001594,h,
Primula sp.,200001654,h,
Primula veris,9201605,h,
Primula veris x vulgaris (P. x polyantha),9201606,h,
Primula vulgaris,9201607,h,
Prunella laciniata,9201609,h,
Prunella vulgaris,9201610,h,
Prunus avium,9201611,t,am
Prunus cerasifera,9201612,t,am
Prunus cerasus,9201613,t,am
Prunus domestica,9201614,t,am
Prunus laurocerasus,9201615,t,am
Prunus lusitanica,9202618,h,
Prunus padus,9201616,t,am
Prunus sp.,9204552,t,am
Prunus spinosa,9201617,t,am
Pseudofumaria lutea,920556,h,
Pseudorchis albida,920947,h,
Pseudosasa japonica,9204307,h,
Pseudotsuga menziesii,9201618,t,em
Pseudotsuga spp.,9205178,t,em
Pteridium aquilinum,9101619,h,
Puccinellia distans,9201620,h,
Puccinellia fasciculata,9201621,h,
Puccinellia maritima,9201622,h,
Puccinellia rupestris,9201624,h,
Puccinellia sp.,9205179,h,
Pulicaria dysenterica,9201625,h,
Pulicaria vulgaris,9201626,h,
Pulmonaria longifolia,9201627,h,
Pulmonaria obscura,9205437,h,
Pulmonaria officinalis,9201628,h,
Pulsatilla vulgaris,920106,h,
Pyracantha coccinea,9204457,h,
Pyrola media,9201630,h,
Pyrola minor,9201631,h,
Pyrola rotundifolia,9205438,h,
Pyrola sp.,200001655,h,
Pyrus communis,9201633,t,am
Pyrus cordata,9201634,t,am
Pyrus cultivar,200001191,h,
Pyrus sp.,200001656,t,am
Quercus cerris,9201635,t,em
Quercus ilex,9201637,t,em
Quercus petraea,9201638,t,em
Quercus petraea x robur (g),9201639,t,em
Quercus robur,9201640,t,em
Quercus rubra,9202419,t,em
Quercus seedling/sp,9204446,t,em
Radiola linoides,9201641,h,
Radish,9201668,h,
Ranunculus acris,9201642,h,
Ranunculus aquatilis,9201643.1,h,
Ranunculus arvensis,9201644,h,
Ranunculus auricomus,9201645,h,
Ranunculus baudotii,9201646,h,
Ranunculus bulbosus,9201647,h,
Ranunculus circinatus,9201648,h,
Ranunculus ficaria,9201649,h,
Ranunculus flammula,9201651,h,
Ranunculus flammula x reptans (R. x levenensis),9202561,h,
Ranunculus fluitans,9201652,h,
Ranunculus hederaceus,9201653,h,
Ranunculus lingua,9201655,h,
Ranunculus marginatus,9207525,h,
Ranunculus muricatus,9201657,h,
Ranunculus omiophyllus,9201654,h,
Ranunculus ophioglossifolius,9201658,h,
Ranunculus paludosus,9201650,h,
Ranunculus parviflorus,9201659,h,
Ranunculus peltatus,9201643.2,h,
Ranunculus penicillatus,9201643.3,h,
Ranunculus pseudofluitans,9201643.6,h,
Ranunculus repens,9201660,h,
Ranunculus reptans,9201661,h,
Ranunculus sardous,9201662,h,
Ranunculus sceleratus,9201663,h,
Ranunculus section batrachium,9205439,h,
Ranunculus seedling/sp,9204555,h,
Ranunculus trichophyllus,9201664,h,
Ranunculus tripartitus,9201665,h,
Raphanus raphanistrum,9205481,h,n
Raphanus raphanistrum subsp.maritimus,9201666,h,
Raphanus sp.,9205187,h,n
Rapistrum perenne,9201669,h,
Rapistrum rugosum,9201670,h,
Reseda alba,9201671,h,
Reseda lutea,9201672,h,
Reseda luteola,9201673,h,
Reseda phyteuma,9201674,h,
Reseda sp.,200001657,h,
Rhamnus cathartica,9201675,t,am
Rheum sp,200001104,h,
Rhinanthus angustifolius,9201683,h,
Rhinanthus minor,9201678,h,
Rhinanthus minor subsp.borealis,9201676,h,
Rhinanthus minor subsp.monticola,9201684,h,
Rhinanthus minor subsp.stenophyllus,9201685,h,
Rhinanthus sp.,9205193,h,
Rhododendron luteum,9201686,t,er
Rhododendron ponticum,9201687,t,er
Rhododendron spp.,9205194,t,er
Rhynchospora alba,9201691,h,
Rhynchospora fusca,9201692,h,
Ribes alpinum,9201693,s,am
Ribes nigrum,9201694,s,am
Ribes nigrum/rubrum,200001589,s,am
Ribes rubrum,9201696,s,am
Ribes sp.,200001596,s,am
Ribes spicatum,9201695,s,am
Ribes uva-crispa,9201697,s,am
Riccardia sp,200001244,h,
Riccardia/aneura sp.,29,h,
Robinia pseudoacacia,9201698,t,am
Roemeria hybrida,9201699,h,
Romulea columnae,9201700,h,
Rorippa amphibia,9201701,h,
Rorippa austriaca,9201702,h,
Rorippa islandica sens.str.,9202546,h,
Rorippa microphylla,9201346,h,n
Rorippa microphylla x nasturtium-aquaticum (R. x sterilis),9201349,h,n
Rorippa nasturtium-aquaticum agg.,9201348,h,n
Rorippa nasturtium-aquaticum sens.str.,9201347,h,n
Rorippa palustris,9201703,h,
Rorippa sp.,9204556,,
Rorippa sylvestris,9201704,h,
Rosa agrestis,9201706,s,am
Rosa arvensis,9201707,s,am
Rosa arvensis x canina (R. x verticillacantha),9202712,s,am
Rosa caesia,9207533,s,am
Rosa caesia subsp.glauca,9202554,h,
Rosa canina agg.,9201708,s,am
Rosa canina sens.str.,9201709,s,am
Rosa canina x rubiginosa (R. x nitidula),9202731,s,am
Rosa canina x stylosa (R. x andegavensis),9202725,s,am
Rosa canina x tomentosa (R. x scabriuscula),9202730,s,am
Rosa micrantha,9201712,s,am
Rosa obtusifolia,9201713,s,am
Rosa pimpinellifolia,9201719,s,am
Rosa rubiginosa,9201714,s,am
Rosa rubiginosa sens.str.,9201715,s,am
Rosa rugosa,9201716,s,am
Rosa seedling/sp,9201705,s,am
Rosa sherardii,9201718,s,am
Rosa stylosa,9201720,s,am
Rosa tomentosa,9201721,s,am
Rosa villosa agg.,9201722,s,am
Rosa virginiana,9201724,s,am
Rubia peregrina,9201725,s,am
Rubus adscitus (app),9203314,s,am
Rubus affinus (sub),9203315,s,am
Rubus arcticus,9202293,h,
Rubus arrhenii (sil),9203331,s,am
Rubus atrocaulis (sil),9203336,s,am
Rubus babingtonii (app),9203698,s,am
Rubus bertramii (sub),9203788,s,am
Rubus bloxamii (app),9203348,s,am
Rubus boraeanus (app),9203349,s,am
Rubus caesius,9201726,s,am
Rubus cardiophyllus (sil),9203361,s,am
Rubus chamaemorus,9201727,s,am
Rubus condensatus (app),9203375,s,am
Rubus curtiglandulosus (app),9203389,s,am
Rubus danicus (sil),9203393,s,am
Rubus dasyphyllus (app),9203395,s,am
Rubus divaricatus (sub),9203402,s,am
Rubus dumnoniensis (sil),9203724,s,am
Rubus durotrigum (app),9203408,s,am
Rubus eboracensis,9203409,s,am
Rubus echinatus (app),9203399,s,am
Rubus egregius (sil),9203412,s,am
Rubus fissus (sub),9203427,s,am
Rubus flexuosus (app),9203728,s,am
Rubus fruticosus agg.,9201728,s,am
Rubus fuscus (app),9203437,s,am
Rubus gratus (sil),9203444,s,am
Rubus hartmanii (app),9203451,s,am
Rubus hebecaulis (app),9203454,s,am
Rubus idaeus,9201729,s,am
Rubus incurvatus (sil),9203478,s,am
Rubus laciniatus (sil),9203489,s,am
Rubus lentiginosus (sil),9203500,s,am
Rubus leptadenes (app),9203501,s,am
Rubus leucostachys (app),9203504,s,am
Rubus lindebergii (sil),9203507,s,am
Rubus lindleianus (sil),9203508,s,am
Rubus macrophyllus (sil),9203520,s,am
Rubus macrothyrsus (app),9203522,s,am
Rubus menkei (app),9203531,s,am
Rubus mercicus (sil),9203532,s,am
Rubus micans (app),9203534,s,am
Rubus mucronatoides (app),9203789,h,
Rubus mucronulatus (app),9203541,s,am
Rubus nemoralis (sil),9203547,s,am
Rubus odoratus,9203753,s,am
Rubus pallidus (app),9203570,s,am
Rubus phoenicolasius,9203760,s,am
Rubus plicatus (sub),9203578,s,am
Rubus polyanthemus (sil),9203582,s,am
Rubus pyramidalis (sil),9203601,s,am
Rubus questieri (sil),9203602,s,am
Rubus radula (app),9203604,s,am
Rubus rhombifolius (sil),9203612,s,am
Rubus rosaceus (app),9203616,s,am
Rubus rudis (app),9203624,s,am
Rubus rufescens (app),9203625,s,am
Rubus saxatilis,9201730,s,am
Rubus scaber (app),9203631,s,am
Rubus sciocharis (sil),9203638,s,am
Rubus scissus (sub),9203639,s,am
Rubus seedling,9205203,s,am
Rubus septentrionalis (sil),9203644,s,am
Rubus silvaticus (sil),9203649,s,am
Rubus sp.,200001659,s,am
Rubus spectabilis,9201731,s,am
Rubus sprengelii (sil),9203653,s,am
Rubus sulcatus (sub),9203662,s,am
Rubus ulmifolius (dis),9201732,s,am
Rubus vestitus,9203679,s,am
Rubus winteri (dis),9203688,s,am
Rudbeckia laciniata,9201733,h,
Rumex acetosa,9201734,h,
Rumex acetosella,9201735,h,
Rumex aquaticus,9201739,h,
Rumex confertus,9202573,h,
Rumex conglomeratus,9201741,h,
Rumex conglomeratus/sanguineus,20000377,h,
Rumex crispus,9201742,h,
Rumex crispus x obtusifolius (R. x pratensis),9202464,h,
Rumex cristatus,9201743,h,
Rumex frutescens,9201744,h,
Rumex hydrolapathum,9201745,h,
Rumex longifolius,9201746,h,
Rumex maritimus,9201747,h,
Rumex obtusifolius,9201748,h,
Rumex obtusifolius x sanguineus (R. x dufftii),9202455,h,
Rumex palustris,9201749,h,
Rumex pseudoalpinus,9201737,h,
Rumex pulcher,9201751,h,
Rumex rupestris,9201752,h,
Rumex salicifolius,9201757,h,
Rumex sanguineus,9201753,h,
Rumex scutatus,9201754,h,
Rumex seedling/sp,9204557,,
Rumex tenuifolius,9201756,h,
Ruppia cirrhosa,9201759,h,
Ruppia maritima,9201758,h,
Ruscus aculeatus,9201760,s,am
Sagina apetala,9202559,h,
Sagina apetala subsp.apetala,9201762,h,
Sagina apetala subsp.erecta,9201761,h,
Sagina maritima,9201765,h,
Sagina nivalis,9201764,h,
Sagina nodosa,9201766,h,
Sagina procumbens,9201767,h,
Sagina procumbens x saginoides (S. x normaniana),9202923,h,
Sagina saginoides,9201768,h,
Sagina sp.,9205207,h,
Sagina subulata,9201769,h,
Sagittaria rigida,9201770,h,
Sagittaria sagittifolia,9201771,h,
Salicornia agg.,9202242,h,
Salicornia dolichostachya,9201774,h,
Salicornia europaea agg.,9204326,h,
Salicornia fragilis,9201776,h,
Salicornia nitens,9201778,h,
Salicornia obscura,9201779,h,
Salicornia pusilla,9201780,h,
Salicornia ramosissima,9201781,h,
Salicornia ramosissima/europaea,20000382,h,
Salix alba,9201784,t,em
Salix alba x babylonica (S. x sepulcralis),9202350,t,am
Salix arbuscula,9201785,t,em
Salix atrocinerea,9201786,t,em
Salix aurita,9201787,t,em
Salix caprea,9201788,t,em
Salix caprea subsp.sphacelata,9201788.2,t,em
Salix caprea x cinerea (S. x reichardtii),9202342,t,am
Salix caprea x phylicifolia,9202366,t,am
Salix caprea x viminalis (S. x sericans),9202351,t,am
Salix cinerea,9201789,t,em
Salix cinerea x viminalis (S. x smithiana),9202354,t,am
Salix fragilis,9201793,t,em
Salix herbacea,9201794,t,em
Salix lanata,9201795,t,em
Salix lapponum,9201796,t,em
Salix lapponum x reticulata (S. x boydii),9202308,t,am
Salix myrsinifolia,9201797,t,em
Salix myrsinites,9201798,t,em
Salix pentandra,9201799,t,em
Salix phylicifolia,9201800,t,em
Salix purpurea,9201801,t,em
Salix repens agg.,9201802,t,em
Salix reticulata,9201803,t,em
Salix seedling/sp,9204558,t,am
Salix triandra,9201804,t,em
Salix viminalis,9201805,t,em
Salix viminalis x purpurea (s),9202344,t,am
Salix x forbyana (S. cinerea x purpurea x viminalis),9202318,t,am
Salsola kali,9205441,h,
Salvia nemorosa,9201811,h,
Salvia pratensis,9201810,h,
Salvia verbenaca,9201812,h,
Salvia verticillata,9201813,h,
Sambucus ebulus,9201814,s,am
Sambucus nigra,9201815,t,am
Sambucus racemosa,9201816,t,am
Sambucus sp.,9205211,s,am
Samolus valerandi,9201817,h,
Sanguisorba minor,9205442,h,
Sanguisorba minor subsp.muricata,9201598,h,
Sanguisorba officinalis,9201818,h,
Sanguisorba sp.,200001660,h,
Sanicula europaea,9201819,h,
Saponaria officinalis,9201821,h,
Sarcocornia perennis,9201777,h,
Sasa palmata,9204308,h,
Sasaella ramosa,9204310,h,
Saussurea alpina,9201825,h,
Saxifraga aizoides,9201826,h,
Saxifraga cernua,9201827,h,
Saxifraga cespitosa,9201828,h,
Saxifraga granulata,9201830,h,
Saxifraga hirculus,9201832,h,
Saxifraga hirsuta,9201833,h,
Saxifraga hypnoides,9201835,h,
Saxifraga nivalis,9201836,h,
Saxifraga oppositifolia,9201837,h,
Saxifraga rivularis,9201838,h,
Saxifraga rosacea,9205482,h,
Saxifraga sp.,9205222,h,
Saxifraga spathularis,9201840,h,
Saxifraga spathularis x umbrosa (S. x urbium),9201841,h,
Saxifraga stellaris,9201842,h,
Saxifraga tridactylites,9201843,h,
Saxifraga umbrosa,9201844,h,
Scabiosa atropurpurea,9201845,h,
Scabiosa columbaria,9201846,h,
Scabiosa sp.,200001661,h,
Scandix pecten-veneris,9201847,h,
Scheuchzeria palustris,9201848,h,
Schistidium sp.,200001662,h,
Schoenoplectus lacustris,9201851,h,
Schoenoplectus pungens,9201849,h,
Schoenoplectus tabernaemontani,9201852,h,
Schoenoplectus triqueter,9201853,h,
Schoenus ferrugineus,9201854,h,
Schoenus nigricans,9201855,h,
Scilla autumnalis,9201856,h,
Scilla verna,9201857,h,
Scirpoides holoschoenus,920985,h,
Scirpus sp.,9204559,h,
Scirpus sylvaticus,9201861,h,
Scleranthus annuus,9201862,h,
Scleranthus perennis,9201863,h,
Scorzonera humilis,9201864,h,
Scrophularia auriculata,9201865,h,
Scrophularia nodosa,9201867,h,
Scrophularia scorodonia,9201868,h,
Scrophularia sp.,9205231,h,
Scrophularia umbrosa,9201869,h,
Scrophularia vernalis,9201870,h,
Scutellaria altissima,9201871,h,
Scutellaria galericulata,9201872,h,
Scutellaria minor,9201874,h,
Scutellaria sp.,9205232,h,
Secale cereale,9204369,h,
Securigera varia,920550,h,
Sedum acre,9201875,h,
Sedum album,9201876,h,
Sedum anglicum,9201877,h,
Sedum anglicum/acre,20000399,h,
Sedum dasyphyllum,9201878,h,
Sedum forsterianum,9201879,h,
Sedum rosea,9201882,h,
Sedum rupestre,9201881,h,
Sedum sexangulare,9201883,h,
Sedum sp.,9205234,h,
Sedum spurium,9201884,h,
Sedum telephium,9201885,h,
Sedum villosum,9201886,h,
Selaginella kraussiana,9101887,h,
Selaginella selaginoides,9101888,h,
Selinum carvifolia,9201889,h,
Semiarundinaria fastuosa,9204311,h,
Sempervivum tectorum,9201890,h,
Senecio aquaticus,9201891,h,
Senecio aquaticus x jacobaea (S. x ostenfeldii),9202612,h,
Senecio cambrensis,9202294,h,
Senecio cineraria,9201892,h,
Senecio doria,9201894,h,
Senecio erucifolius,9201896,h,
Senecio fluviatilis,9201897,h,
Senecio jacobaea,9201899,h,
Senecio jacobaea/ecrucifolius,200001586,h,
Senecio paludosus,9201900,h,
Senecio smithii,9204436,h,
Senecio sp.,9204588,h,
Senecio squalidus,9201902,h,
Senecio squalidus x viscosus (S. x subnebrodensis),9202625,h,
Senecio sylvaticus,9201903,h,
Senecio viscosus,9201904,h,
Senecio vulgaris,9201905,h,
Sequoia sempervirens,9202417,t,am
Sequoiadendron giganteum,9202410,t,am
Seriphidium maritimum,920172,h,
Serratula tinctoria,9201906,h,
Seseli libanotis,9201907,h,
Sesleria caerulea,9201908,h,
Setaria viridis,9201911,h,
Sherardia arvensis,9201912,h,
Sibbaldia procumbens,9201913,h,
Sibthorpia europaea,9201914,h,
Sigesbeckia serrata,9205443,h,
Silaum silaus,9201916,h,
Silene acaulis,9201917,h,
Silene armeria,9201920,h,
Silene conica,9201921,h,
Silene dioica,9201259,h,
Silene dioica x latifolia (S. x hampeana),9201260,h,
Silene gallica,9201918,h,
Silene italica,9201925,h,
Silene latifolia,9201258,h,
Silene noctiflora,9201261,h,
Silene nutans,9201928,h,
Silene otites,9201929,h,
Silene sp.,9205248,h,
Silene uniflora,9201926,h,
Silene vulgaris,9204578,h,
Silybum marianum,9201930,h,
Simethis planifolia,9201931,h,
Sinapis alba,9201932,h,n
Sinapis arvensis,9201933,h,n
Sinapis arvensis/alba,20000407,h,
Sinapis sp.,9205251,h,
Sinarundinaria anceps,9205419,t,am
Sison amomum,9201934,h,
Sisymbrium altissimum,9201935,h,
Sisymbrium austriacum,9204493,h,
Sisymbrium irio,9201936,h,
Sisymbrium loeselii,9201937,h,
Sisymbrium officinale,9201938,h,
Sisymbrium orientale,9201939,h,
Sisymbrium sp.,200001663,h,n
Sisymbrium strictissimum,9201941,h,
Sisymbrium volgense,9202644,h,
Sisyrinchium bermudiana,9201942,h,
Sisyrinchium montanum,9202651,h,
Sium latifolium,9201944,h,
Smyrnium olusatrum,9201945,h,
Smyrnium perfoliatum,9204383,h,
Solanum dulcamara,9201947,h,
Solanum dulcamara/nigra,20000409,h,
Solanum nigrum,9201949,h,
Solanum sarachoides,9201946,h,
Solanum sp.,200001664,h,
Solanum triflorum,9201950,h,
Solanum tuberosum,9204360,h,
Solanum villosum,9201948,h,
Soleirolia soleirolii,920965,h,
Solidago canadensis,9202251,h,
Solidago gigantea,9202434,h,
Solidago graminifolia,9204340,h,
Solidago virgaurea,9201951,h,
Sonchus arvensis,9201952,h,
Sonchus asper,9201953,h,
Sonchus oleraceus,9201954,h,
Sonchus palustris,9201955,h,
Sonchus sp.,9204560,h,
Sorbus anglica,9201956,t,am
Sorbus aria,9201958,t,am
Sorbus arranensis,9201959,t,am
Sorbus aucuparia,9201960,t,am
Sorbus austriaca group,9205445,t,am
Sorbus bristoliensis,9201961,t,am
Sorbus devoniensis,9201962,t,am
Sorbus domestica,9201963,t,am
Sorbus eminens,9201964,t,am
Sorbus hibernica,9201965,t,am
Sorbus hybrida group,9205446,t,am
Sorbus intermedia agg.,9205483,t,am
Sorbus intermedia sens.str.,9201966,t,am
Sorbus lancastriensis,9201967,t,am
Sorbus latifolia group,9205447,t,am
Sorbus leptophylla,9201969,t,am
Sorbus leyana,9201970,t,am
Sorbus minima,9201971,t,am
Sorbus minima group,9205448,t,am
Sorbus porrigentiformis,9201972,t,am
Sorbus pseudofennica,9201973,t,am
Sorbus rupicola,9201974,t,am
Sorbus rupicola group,9205449,t,am
Sorbus sp.,9204561,t,am
Sorbus subcuneata,9201976,t,am
Sorbus torminalis,9201977,t,am
Sorbus vexans,9201979,t,am
Sorbus wilmottiana,9202272,h,
Sorghum sp.,200001665,h,
Spaeropharus sp.,20000245,h,
Sparganium angustifolium,9201980,h,
Sparganium emersum,9201983,h,
Sparganium erectum,9201981,h,
Sparganium natans,9201982,h,
Sparganium sp.,9205259,h,
Spartina alterniflora,9201984,h,
Spartina alterniflora x maritima (S. x townsendii),9201986,h,
Spartina anglica,9202278,h,
Spartina maritima,9201985,h,
Spartina spp.,9204385,h,
Spergula arvensis,9201987,h,
Spergula arvensis/Spergularia rupicola,20000418,h,
Spergula morisonii,9201988,h,
Spergula sp.,200001666,h,
Spergularia bocconei,9201989,h,
Spergularia marina,9201990,h,
Spergularia media,9201991,h,
Spergularia rubra,9201992,h,
Spergularia rupicola,9201993,h,
Spergularia sp.,9205262,h,
Sphagnum (green/fat),20000558,h,
Sphagnum (green/thin),20000559,h,
Sphagnum (red/fat),20000560,h,
Spiraea agg.,9201994,h,
Spiraea douglasii,9202658,h,
Spiranthes aestivalis,9201995,h,
Spiranthes romanzoffiana,9201996,h,
Spiranthes spiralis,9201997,h,
Spirodela polyrhiza,9201127,h,
Stachys alpina,9201998,h,
Stachys ambigua,20000944,h,
Stachys arvensis,9202001,h,
Stachys germanica,9202002,h,
Stachys officinalis,920237,h,
Stachys palustris,9202003,h,
Stachys palustris x sylvatica (S. x ambigua),9201999,h,
Stachys sp.,9205264,h,
Stachys sylvatica,9202005,h,
Staphylea pinnata,9202006,h,
Stellaria graminea,9202009,h,
Stellaria holostea,9202010,h,
