BRC names,BRC number,Type,Sym
Carex davalliana,920360,h,
Carex depauperata,920362,h,
Carex diandra,920363,h,
Carex digitata,920364,h,
Carex dioica,920365,h,
Carex distans,920366,h,
Carex disticha,920367,h,
Carex divisa,920368,h,
Carex divulsa,9204520,h,
Carex divulsa subsp.leersii,920406,h,
Carex echinata,920370,h,
Carex elata,920371,h,
Carex elongata,920372,h,
Carex ericetorum,920373,h,
Carex extensa,920374,h,
Carex filiformis,920375,h,
Carex flacca,920376,h,
Carex flava agg.,920377,h,
Carex flava sens.str.,920378,h,
Carex hirta,920381,h,
Carex hostiana,920382,h,
Carex hostiana x viridula (C. x fulva),9202609,h,
Carex humilis,920383,h,
Carex lachenalii,920384,h,
Carex laevigata,920385,h,
Carex lasiocarpa,920386,h,
Carex lepidocarpa ssp. scottica,920387.2,h,
Carex limosa,920388,h,
Carex magellanica,920403,h,
Carex maritima,920389,h,
Carex microglochin,920390,h,
Carex montana,920391,h,
Carex muricata,920398,h,
Carex nigra,920393,h,
Carex norvegica,920394,h,
Carex ornithopoda,920395,h,
Carex otrubae,920396,h,
Carex ovalis,920397,h,
Carex pallescens,920399,h,
Carex panicea,920400,h,
Carex paniculata,920401,h,
Carex pauciflora,920402,h,
Carex pendula,920404,h,
Carex pilulifera,920405,h,
Carex pseudocyperus,920407,h,
Carex pulicaris,920408,h,
Carex pulicaris/serotina,2000087,h,
Carex punctata,920409,h,
Carex rariflora,920410,h,
Carex recta,920411,h,
Carex remota,920412,h,
Carex riparia,920413,h,
Carex rostrata,920414,h,
Carex rupestris,920415,h,
Carex saxatilis,920417,h,
Carex seedling/sp,9204583,h,
Carex spicata,920357,h,
Carex strigosa,920420,h,
Carex sylvatica,920421,h,
Carex trinervis,920422,h,
Carex vaginata,920423,h,
Carex vesicaria,920424,h,
Carex viridula,9207117,h,
Carex viridula subsp.brachyrrhyncha,920387,h,
Carex viridula subsp.oedocarpa,920361,h,
Carex viridula subsp.viridula,9207118,h,
Carex vulpina,920425,h,
Carex vulpinoidea,920426,h,
Carex x grahamii (C. saxatilis x vesicaria),920380,h,
Carlina vulgaris,920427,h,
Carpinus betulus,920428,t,em
Carpobrotus edulis,920429,h,
Carum carvi,920430,h,
Carum verticillatum,920431,h,
Castanea sativa,920432,t,em
Catabrosa aquatica,920433,h,
Catapodium marinum,920434,h,
Catapodium rigidum,920435,h,
Catapodium sp.,200001591,h,
Cedrus sp.,200001611,h,
Centaurea aspera,920438,h,
Centaurea calcitrapa,920439,h,
Centaurea cyanus,920440,h,
Centaurea debeauxii,920444.1,h,
Centaurea jacea,920441,h,
Centaurea nigra,920444,h,
Centaurea scabiosa,920446,h,
Centaurea solstitialis,920447,h,
Centaurea sp.,9204785,h,
Centaurium erythraea,9205486,h,
Centaurium erythraea capitatum,920448,h,
Centaurium latifolium,920449,h,
Centaurium littorale,920450,h,
Centaurium pulchellum,920453,h,
Centaurium scilloides,920452,h,
Centaurium sp.,200001685,h,
Centaurium tenuiflorum,920454,h,
Centranthus ruber,920455,h,
Cephalanthera damasonium,920457,h,
Cephalanthera longifolia,920458,h,
Cephalanthera rubra,920459,h,
Cerastium alpinum,920460,h,
Cerastium alpinum x fontanum (C. x symei),9202693,h,
Cerastium arcticum,920465,h,
Cerastium arvense,920461,h,
Cerastium brachypetalum,920463,h,
Cerastium cerastoides,920464,h,
Cerastium diffusum,920462,h,
Cerastium fontanum,920467,h,
Cerastium glomeratum,920466,h,
Cerastium nigrescens,920465.1,h,
Cerastium pumilum,920468,h,
Cerastium semidecandrum,920469,h,
Cerastium sp.,9204524,h,
Cerastium tomentosum,920470,h,
Ceratocapnos claviculata,920555,h,
Ceratochloa carinata,920260,h,
Ceratodon sp,200001046,h,
Ceratophyllum demersum,920471,h,
Ceratophyllum submersum,920472,h,
Ceterach officinarum,910473,f,n
Chaenorhinum minus,920474,h,
Chaerophyllum aureum,920475,h,
Chaerophyllum temulum,920476,h,
Chamaecyparis lawsoniana,9202398,t,am
Chamaecyparis sp.,200001612,h,
Chamaemelum nobile,920119,h,
Chamerion angustifolium,920477,h,
Chelidonium majus,920480,h,
Chenopodium album agg.,920481,h,
Chenopodium album/polyspermum,200001582,h,
Chenopodium bonus-henricus,920484,h,
Chenopodium capitatum,920486,h,
Chenopodium chenopodioides,920485,h,
Chenopodium ficifolium,920487,h,
Chenopodium glaucum,920488,h,
Chenopodium hybridum,920490,h,
Chenopodium murale,920491,h,
Chenopodium opulifolium,920492,h,
Chenopodium polyspermum,920493,h,
Chenopodium rubrum,920496,h,
Chenopodium sp.,9204525,h,
Chenopodium suecicum,920497,h,
Chenopodium urbicum,920498,h,
Chenopodium vulvaria,920500,h,
Chrysanthemum segetum,920504,h,
Chrysanthemum sp.,9204800,h,
Chrysosplenium alternifolium,920505,h,
Chrysosplenium oppositifolium,920506,h,
Cicendia filiformis,920507,h,
Cicerbita alpina,920508,h,
Cicerbita macrophylla,9202381,h,
Cicerbita plumieri,9204519,h,
Cichorium intybus,920509,h,
Cicuta virosa,920510,h,
Circaea alpina,920511,h,
Circaea alpina x lutetiana (C. x intermedia),920512,h,
Circaea lutetiana,920513,h,
Circaea sp.,200001613,h,
Cirriphyllum sp,200001165,h,
Cirsium acaule,920514,h,
Cirsium arvense,920515,h,
Cirsium dissectum,920516,h,
Cirsium eriophorum,920517,h,
Cirsium heterophyllum,920518,h,
Cirsium oleraceum,920519,h,
Cirsium palustre,920520,h,
Cirsium sp.,9204807,h,
Cirsium tuberosum,920521,h,
Cirsium vulgare,920522,h,
Cladium mariscus,920523,h,
Cladonia pyxidata/coccifera,20000106,h,
Claytonia perfoliata,920525,h,
Claytonia sibirica,920524,h,
Clematis vitalba,920528,h,
Clinopodium acinos,92012,h,
Clinopodium ascendens,920296,h,
Clinopodium calamintha,920298,h,
Clinopodium menthifolium,920297,h,
Clinopodium vulgare,920530,h,
Cochlearia anglica,920532,h,
Cochlearia danica,920533,h,
Cochlearia micacea,920534,h,
Cochlearia officinalis sens.lat.,9202547,h,
Cochlearia officinalis subsp.scotica,920536,h,
Cochlearia pyrenaica,9205422,h,
Cochlearia seedling/sp,9204812,h,
Coeloglossum viride,920537,h,
Coincya monensis,9205396,h,
Coincya monensis subsp.recurvata,9201688,h,
Coincya wrightii,9201690,h,
Colchicum autumnale,920538,h,
Colutea arborescens,920539,h,
Conium maculatum,920540,h,
Conopodium majus,920541,h,
Conringia orientalis,920542,h,
Consolida ajacis,920622,h,
Consolida orientalis,920624,h,
Convallaria majalis,920543,h,
Convolvulus arvensis,920544,h,
Convolvulus sp.,200001687,h,
Conyza canadensis,920735,h,
Corallorhiza trifida,920545,h,
Cornus alba,920547,s,am
Cornus mas,9205423,s,am
Cornus sanguinea,920548,s,am
Cornus sericea,920549,s,am
Cornus sp.,9204826,s,am
Cornus suecica,920478,s,am
Coronopus didymus,920551,h,
Coronopus sp.,9204828,h,
Coronopus squamatus,920552,h,
Corrigiola litoralis,920553,h,
Cortaderia selloana,9204392,h,
Corydalis cava,9204403,h,
Corydalis solida,920554,h,
Corydalis sp.,9204831,h,
Corylus avellana,920557,t,em
Corylus maxima,9205424,t,em
Corynephorus canescens,920558,,
Cotoneaster horizontalis sens.str.,920560,s,am
Cotoneaster integerrimus,920561,s,am
Cotoneaster integrifolius,920562,s,am
Cotoneaster simonsii,920563,s,am
Cotoneaster sp.,9204526,s,am
Cotula coronopifolia,920564,h,
Crambe maritima,920565,h,n
Crassula aquatica,920566,h,
Crassula helmsii,9202423,h,
Crassula tillaea,920567,h,
Crataegus laevigata,920570,t,am
Crataegus laevigata x monogyna (C. x macrocarpa),920568,t,am
Crataegus monogyna,920569,t,am
Crataegus sp.,9204837,t,am
Crepis biennis,920571,h,
Crepis capillaris,920572,h,
Crepis foetida,920573,h,
Crepis mollis,920574,h,
Crepis nicaeensis,920575,h,
Crepis paludosa,920576,h,
Crepis praemorsa,9204518,h,
Crepis sp.,9204527,h,
Crepis vesicaria,920578,h,
Crithmum maritimum,920579,h,
Crocosmia sp.,200001614,h,
Crocosmia x crocosmiiflora (C. aurea x pottsii),920580,h,
Crocus nudiflorus,920584,h,
Crocus tommasinianus,9205425,h,
Crocus vernus,920582,h,
Cruciata laevipes,920875,h,
Cryptogramma crispa,910586,f,n
Cryptomeria japonica,9202411,t,am
Cucubalus baccifer,920587,h,
Cultivated carrot,9205475,h,
Cultivated flowers,200001173,h,
Cupressus macrocarpa,9202408,t,am
Cupressus sp.,9204842,t,am
