Column3,Column4,Column5
[lng]) VALUES ('HD1','53.64639','-1.78819')
[lng]) VALUES ('HD2','53.66794','-1.77446')
[lng]) VALUES ('HD3','53.65274','-1.82750')
,,
[lng]) VALUES ('HD4','53.62662','-1.79585')
[lng]) VALUES ('HD5','53.64720','-1.74583')
[lng]) VALUES ('HD6','53.70121','-1.78186')
[lng]) VALUES ('HD7','53.62404','-1.87601')
[lng]) VALUES ('HD8','53.60120','-1.67960')
[lng]) VALUES ('HD9','53.57988','-1.79457')
[lng]) VALUES ('HG1','53.99983','-1.53313')
[lng]) VALUES ('HG2','53.98722','-1.52565')
[lng]) VALUES ('HG3','54.03069','-1.61676')
[lng]) VALUES ('HG4','54.15636','-1.56660')
[lng]) VALUES ('HG5','54.01300','-1.45668')
[lng]) VALUES ('HP1','51.75509','-0.48731')
[lng]) VALUES ('HP10','51.60928','-0.70159')
[lng]) VALUES ('HP11','51.62413','-0.74451')
[lng]) VALUES ('HP12','51.62538','-0.77771')
[lng]) VALUES ('HP13','51.63309','-0.74137')
[lng]) VALUES ('HP14','51.64839','-0.82913')
[lng]) VALUES ('HP15','51.65615','-0.71182')
[lng]) VALUES ('HP16','51.70208','-0.71775')
[lng]) VALUES ('HP17','51.77558','-0.86933')
,,
[lng]) VALUES ('HP18','51.81347','-0.98155')
[lng]) VALUES ('HP19','51.82190','-0.82464')
[lng]) VALUES ('HP2','51.76273','-0.45227')
[lng]) VALUES ('HP20','51.81898','-0.80295')
[lng]) VALUES ('HP21','51.80641','-0.80473')
[lng]) VALUES ('HP22','51.80601','-0.76558')
[lng]) VALUES ('HP23','51.79496','-0.66001')
[lng]) VALUES ('HP27','51.71944','-0.83019')
[lng]) VALUES ('HP3','51.73689','-0.47054')
[lng]) VALUES ('HP4','51.76688','-0.56663')
[lng]) VALUES ('HP5','51.71251','-0.60744')
[lng]) VALUES ('HP6','51.67823','-0.59836')
[lng]) VALUES ('HP7','51.66487','-0.60890')
[lng]) VALUES ('HP8','51.64286','-0.57344')
[lng]) VALUES ('HP9','51.61035','-0.63801')
[lng]) VALUES ('HR1','52.06415','-2.66963')
[lng]) VALUES ('HR2','52.00950','-2.78393')
[lng]) VALUES ('HR3','52.09353','-3.07446')
[lng]) VALUES ('HR4','52.08784','-2.76632')
[lng]) VALUES ('HR5','52.19196','-3.02708')
,,
[lng]) VALUES ('HR6','52.23258','-2.77028')
[lng]) VALUES ('HR7','52.18629','-2.52079')
[lng]) VALUES ('HR8','52.04454','-2.44331')
[lng]) VALUES ('HR9','51.90816','-2.58153')
[lng]) VALUES ('HS1','58.21347','-6.38138')
[lng]) VALUES ('HS2','58.24916','-6.46768')
[lng]) VALUES ('HS3','57.87876','-6.85387')
[lng]) VALUES ('HS4','57.86961','-6.69056')
[lng]) VALUES ('HS5','57.79992','-6.96123')
[lng]) VALUES ('HS6','57.60080','-7.29943')
[lng]) VALUES ('HS7','57.44703','-7.33888')
[lng]) VALUES ('HS8','57.23253','-7.34593')
[lng]) VALUES ('HS9','56.97148','-7.47153')
[lng]) VALUES ('HU1','53.74288','-0.33494')
[lng]) VALUES ('HU10','53.75149','-0.44078')
[lng]) VALUES ('HU11','53.82572','-0.21921')
[lng]) VALUES ('HU12','53.72369','-0.13105')
[lng]) VALUES ('HU13','53.72446','-0.43572')
[lng]) VALUES ('HU14','53.72799','-0.50078')
[lng]) VALUES ('HU15','53.74831','-0.62139')
,,
[lng]) VALUES ('HU16','53.78179','-0.41993')
[lng]) VALUES ('HU17','53.84660','-0.42661')
[lng]) VALUES ('HU18','53.90944','-0.16692')
[lng]) VALUES ('HU19','53.72277','0.03566')
[lng]) VALUES ('HU2','53.75011','-0.33769')
[lng]) VALUES ('HU20','53.78836','-0.51229')
[lng]) VALUES ('HU3','53.74148','-0.36381')
[lng]) VALUES ('HU4','53.73568','-0.40043')
[lng]) VALUES ('HU5','53.75961','-0.37524')
[lng]) VALUES ('HU6','53.78110','-0.36834')
[lng]) VALUES ('HU7','53.78860','-0.32554')
[lng]) VALUES ('HU8','53.76845','-0.29903')
[lng]) VALUES ('HU9','53.75567','-0.28589')
[lng]) VALUES ('HX1','53.72111','-1.86966')
[lng]) VALUES ('HX2','53.73733','-1.90448')
[lng]) VALUES ('HX3','53.72648','-1.84387')
[lng]) VALUES ('HX4','53.67978','-1.88039')
[lng]) VALUES ('HX5','53.68601','-1.83494')
[lng]) VALUES ('HX6','53.69779','-1.92426')
[lng]) VALUES ('HX7','53.73916','-2.00758')
,,
[lng]) VALUES ('IG1','51.55855','0.07463')
[lng]) VALUES ('IG10','51.64775','0.06569')
[lng]) VALUES ('IG11','51.53573','0.09378')
[lng]) VALUES ('IG2','51.57373','0.08109')
[lng]) VALUES ('IG3','51.56168','0.10074')
[lng]) VALUES ('IG4','51.57688','0.05525')
[lng]) VALUES ('IG5','51.58749','0.06584')
[lng]) VALUES ('IG6','51.59247','0.08917')
[lng]) VALUES ('IG7','51.61316','0.08867')
[lng]) VALUES ('IG8','51.60694','0.03350')
[lng]) VALUES ('IG9','51.62391','0.04004')
[lng]) VALUES ('IM1','54.15048','-4.48174')
[lng]) VALUES ('IM2','54.17891','-4.46857')
[lng]) VALUES ('IM3','54.17219','-4.45155')
[lng]) VALUES ('IM4','54.18407','-4.53302')
[lng]) VALUES ('IM5','54.19316','-4.70650')
[lng]) VALUES ('IM6','54.28659','-4.58037')
[lng]) VALUES ('IM7','54.32613','-4.41041')
[lng]) VALUES ('IM8','54.27800','-4.08474')
[lng]) VALUES ('IM9','54.09184','-4.68352')
,,
[lng]) VALUES ('IP1','52.06644','1.14151')
[lng]) VALUES ('IP10','52.01888','1.26939')
[lng]) VALUES ('IP11','51.97028','1.33430')
[lng]) VALUES ('IP12','52.09243','1.37262')
[lng]) VALUES ('IP13','52.18475','1.32107')
[lng]) VALUES ('IP14','52.20597','1.03423')
[lng]) VALUES ('IP15','52.15686','1.59688')
[lng]) VALUES ('IP16','52.20397','1.58604')
[lng]) VALUES ('IP17','52.22985','1.50316')
[lng]) VALUES ('IP18','52.32995','1.67259')
[lng]) VALUES ('IP19','52.33982','1.49570')
[lng]) VALUES ('IP2','52.04501','1.13563')
[lng]) VALUES ('IP20','52.40601','1.32150')
[lng]) VALUES ('IP21','52.36431','1.23608')
[lng]) VALUES ('IP22','52.37548','1.05319')
[lng]) VALUES ('IP23','52.30615','1.12472')
[lng]) VALUES ('IP24','52.41869','0.75903')
[lng]) VALUES ('IP25','52.58588','0.83892')
[lng]) VALUES ('IP26','52.50733','0.57739')
[lng]) VALUES ('IP27','52.42980','0.58610')
,,
[lng]) VALUES ('IP28','52.32627','0.54924')
[lng]) VALUES ('IP29','52.19245','0.66303')
[lng]) VALUES ('IP3','52.04180','1.18792')
[lng]) VALUES ('IP30','52.20909','0.83679')
[lng]) VALUES ('IP31','52.29023','0.82877')
[lng]) VALUES ('IP32','52.25326','0.71797')
[lng]) VALUES ('IP33','52.24178','0.70848')
[lng]) VALUES ('IP4','52.06000','1.18046')
[lng]) VALUES ('IP5','52.06102','1.24182')
[lng]) VALUES ('IP6','52.13100','1.11536')
[lng]) VALUES ('IP7','52.06872','0.94901')
[lng]) VALUES ('IP8','52.06169','1.08280')
[lng]) VALUES ('IP9','51.99067','1.14931')
[lng]) VALUES ('IV1','57.48740','-4.23059')
[lng]) VALUES ('IV10','57.58536','-4.12616')
[lng]) VALUES ('IV11','57.67758','-4.03762')
[lng]) VALUES ('IV12','57.57422','-3.86458')
[lng]) VALUES ('IV13','57.34280','-4.01239')
[lng]) VALUES ('IV14','57.58564','-4.54783')
[lng]) VALUES ('IV15','57.59965','-4.42996')
,,
[lng]) VALUES ('IV16','57.66431','-4.33703')
[lng]) VALUES ('IV17','57.69985','-4.26043')
[lng]) VALUES ('IV18','57.70169','-4.15479')
[lng]) VALUES ('IV19','57.80478','-4.06162')
[lng]) VALUES ('IV2','57.46833','-4.19107')
[lng]) VALUES ('IV20','57.78653','-3.90748')
[lng]) VALUES ('IV21','57.72377','-5.72019')
[lng]) VALUES ('IV22','57.74156','-5.50682')
[lng]) VALUES ('IV23','57.77322','-5.01018')
[lng]) VALUES ('IV24','57.89133','-4.35512')
[lng]) VALUES ('IV25','57.89135','-4.04295')
[lng]) VALUES ('IV26','57.91578','-5.17243')
[lng]) VALUES ('IV27','58.27684','-4.80032')
[lng]) VALUES ('IV28','58.01527','-4.15668')
[lng]) VALUES ('IV3','57.47726','-4.24499')
[lng]) VALUES ('IV30','57.65468','-3.32732')
[lng]) VALUES ('IV31','57.71706','-3.28931')
[lng]) VALUES ('IV32','57.63161','-3.11041')
[lng]) VALUES ('IV36','57.61104','-3.60363')
[lng]) VALUES ('IV4','57.44843','-4.53328')
,,
[lng]) VALUES ('IV40','57.27446','-5.64981')
[lng]) VALUES ('IV41','57.27372','-5.73605')
[lng]) VALUES ('IV42','57.23946','-5.82877')
[lng]) VALUES ('IV43','57.15550','-5.81015')
[lng]) VALUES ('IV44','57.11488','-5.87374')
[lng]) VALUES ('IV45','57.06714','-5.90508')
[lng]) VALUES ('IV46','57.11410','-5.98441')
[lng]) VALUES ('IV47','57.29467','-6.34284')
[lng]) VALUES ('IV48','57.31102','-6.09713')
[lng]) VALUES ('IV49','57.22770','-5.94693')
[lng]) VALUES ('IV5','57.46790','-4.41120')
[lng]) VALUES ('IV51','57.48055','-6.24636')
[lng]) VALUES ('IV52','57.33737','-5.65106')
[lng]) VALUES ('IV53','57.34465','-5.55367')
[lng]) VALUES ('IV54','57.43101','-5.61538')
[lng]) VALUES ('IV55','57.45873','-6.61100')
[lng]) VALUES ('IV56','57.36636','-6.42790')
[lng]) VALUES ('IV6','57.52634','-4.45682')
[lng]) VALUES ('IV63','57.32228','-4.50465')
[lng]) VALUES ('IV7','57.58435','-4.38376')
,,
[lng]) VALUES ('IV8','57.55419','-4.26477')
[lng]) VALUES ('IV9','57.56922','-4.17706')
[lng]) VALUES ('JE1','49.19094','-2.11961')
[lng]) VALUES ('JE2','49.20183','-2.10719')
[lng]) VALUES ('JE3','49.18581','-2.13418')
[lng]) VALUES ('JE4','49.19392','-2.09104')
[lng]) VALUES ('KA1','55.59580','-4.49509')
[lng]) VALUES ('KA10','55.54945','-4.64755')
[lng]) VALUES ('KA11','55.61736','-4.62512')
[lng]) VALUES ('KA12','55.61923','-4.66337')
[lng]) VALUES ('KA13','55.65530','-4.69921')
[lng]) VALUES ('KA14','55.74041','-4.67162')
[lng]) VALUES ('KA15','55.74859','-4.62596')
[lng]) VALUES ('KA16','55.60713','-4.33065')
[lng]) VALUES ('KA17','55.61075','-4.28164')
[lng]) VALUES ('KA18','55.45063','-4.23917')
[lng]) VALUES ('KA19','55.34585','-4.66707')
[lng]) VALUES ('KA2','55.59619','-4.56338')
[lng]) VALUES ('KA20','55.64157','-4.75072')
[lng]) VALUES ('KA21','55.64176','-4.78253')
,,
[lng]) VALUES ('KA22','55.65019','-4.80697')
[lng]) VALUES ('KA23','55.69135','-4.85449')
[lng]) VALUES ('KA24','55.70981','-4.71412')
[lng]) VALUES ('KA25','55.75263','-4.68840')
[lng]) VALUES ('KA26','55.21894','-4.83313')
[lng]) VALUES ('KA27','55.53880','-5.17162')
[lng]) VALUES ('KA28','55.75447','-4.92287')
[lng]) VALUES ('KA29','55.75701','-4.85291')
[lng]) VALUES ('KA3','55.64435','-4.49499')
[lng]) VALUES ('KA30','55.79725','-4.86224')
[lng]) VALUES ('KA4','55.59894','-4.38256')
[lng]) VALUES ('KA5','55.50987','-4.38668')
[lng]) VALUES ('KA6','55.41582','-4.50427')
[lng]) VALUES ('KA7','55.44739','-4.62805')
[lng]) VALUES ('KA8','55.47110','-4.61222')
[lng]) VALUES ('KA9','55.49734','-4.60446')
[lng]) VALUES ('KT1','51.40713','-0.29606')
[lng]) VALUES ('KT10','51.36749','-0.35357')
[lng]) VALUES ('KT11','51.32769','-0.40237')
[lng]) VALUES ('KT12','51.37721','-0.40639')
,,
[lng]) VALUES ('KT13','51.36788','-0.44838')
[lng]) VALUES ('KT14','51.33869','-0.48526')
[lng]) VALUES ('KT15','51.36309','-0.49451')
[lng]) VALUES ('KT16','51.38312','-0.51398')
[lng]) VALUES ('KT17','51.34078','-0.24827')
[lng]) VALUES ('KT18','51.31670','-0.26210')
[lng]) VALUES ('KT19','51.35096','-0.26799')
[lng]) VALUES ('KT2','51.41602','-0.28854')
[lng]) VALUES ('KT20','51.28564','-0.23029')
[lng]) VALUES ('KT21','51.31098','-0.30106')
[lng]) VALUES ('KT22','51.30070','-0.33731')
[lng]) VALUES ('KT23','51.28137','-0.36956')
[lng]) VALUES ('KT24','51.26869','-0.42879')
[lng]) VALUES ('KT3','51.39935','-0.25609')
[lng]) VALUES ('KT4','51.37757','-0.24255')
[lng]) VALUES ('KT5','51.39171','-0.28657')
[lng]) VALUES ('KT6','51.38920','-0.29960')
[lng]) VALUES ('KT7','51.38959','-0.32690')
[lng]) VALUES ('KT8','51.40089','-0.36243')
[lng]) VALUES ('KT9','51.36405','-0.30197')
,,
[lng]) VALUES ('KW1','58.45801','-3.12092')
[lng]) VALUES ('KW10','57.97509','-3.97500')
[lng]) VALUES ('KW11','58.30505','-4.12991')
[lng]) VALUES ('KW12','58.50634','-3.49149')
[lng]) VALUES ('KW13','58.45518','-3.89556')
[lng]) VALUES ('KW14','58.58913','-3.55523')
[lng]) VALUES ('KW15','58.98030','-2.95862')
[lng]) VALUES ('KW16','58.95963','-3.27278')
[lng]) VALUES ('KW17','59.04195','-3.00217')
[lng]) VALUES ('KW2','58.34893','-3.16359')
[lng]) VALUES ('KW3','58.30741','-3.27829')
[lng]) VALUES ('KW5','58.28747','-3.38163')
[lng]) VALUES ('KW6','58.24908','-3.44148')
[lng]) VALUES ('KW7','58.18641','-3.50018')
[lng]) VALUES ('KW8','58.11611','-3.66360')
[lng]) VALUES ('KW9','58.01370','-3.85692')
[lng]) VALUES ('KY1','56.12815','-3.13750')
[lng]) VALUES ('KY10','56.23024','-2.70011')
[lng]) VALUES ('KY11','56.04710','-3.41450')
[lng]) VALUES ('KY12','56.07674','-3.49272')
,,
[lng]) VALUES ('KY13','56.20866','-3.43173')
[lng]) VALUES ('KY14','56.31048','-3.23992')
[lng]) VALUES ('KY15','56.30055','-3.05050')
[lng]) VALUES ('KY16','56.34184','-2.81865')
[lng]) VALUES ('KY2','56.12234','-3.18238')
[lng]) VALUES ('KY3','56.06346','-3.23037')
[lng]) VALUES ('KY4','56.11421','-3.36066')
[lng]) VALUES ('KY5','56.14548','-3.29416')
[lng]) VALUES ('KY6','56.19678','-3.19756')
[lng]) VALUES ('KY7','56.19719','-3.15405')
[lng]) VALUES ('KY8','56.19755','-3.01061')
[lng]) VALUES ('KY9','56.20965','-2.83356')
[lng]) VALUES ('L1','53.40254','-2.97928')
[lng]) VALUES ('L10','53.47398','-2.92668')
[lng]) VALUES ('L11','53.44801','-2.91407')
[lng]) VALUES ('L12','53.43467','-2.89421')
[lng]) VALUES ('L13','53.41740','-2.91943')
[lng]) VALUES ('L14','53.41861','-2.87883')
[lng]) VALUES ('L15','53.39763','-2.91901')
[lng]) VALUES ('L16','53.39876','-2.88744')
,,
[lng]) VALUES ('L17','53.37769','-2.93962')
[lng]) VALUES ('L18','53.38064','-2.90661')
[lng]) VALUES ('L19','53.35910','-2.90165')
[lng]) VALUES ('L2','53.40696','-2.98841')
[lng]) VALUES ('L20','53.45281','-2.98797')
[lng]) VALUES ('L21','53.47070','-2.99893')
[lng]) VALUES ('L22','53.47676','-3.02620')
[lng]) VALUES ('L23','53.49118','-3.02203')
[lng]) VALUES ('L24','53.34339','-2.83672')
[lng]) VALUES ('L25','53.37827','-2.86296')
[lng]) VALUES ('L26','53.36410','-2.83262')
[lng]) VALUES ('L27','53.38744','-2.83758')
[lng]) VALUES ('L28','53.43490','-2.86411')
[lng]) VALUES ('L29','53.50679','-2.98319')
[lng]) VALUES ('L3','53.40880','-2.98394')
[lng]) VALUES ('L30','53.48442','-2.97062')
[lng]) VALUES ('L31','53.51346','-2.93659')
[lng]) VALUES ('L32','53.47786','-2.88909')
[lng]) VALUES ('L33','53.48965','-2.87577')
[lng]) VALUES ('L34','53.43614','-2.81445')
,,
[lng]) VALUES ('L35','53.41478','-2.78244')
[lng]) VALUES ('L36','53.41439','-2.83962')
[lng]) VALUES ('L37','53.55735','-3.06288')
[lng]) VALUES ('L38','53.52420','-3.04998')
[lng]) VALUES ('L39','53.56142','-2.89537')
[lng]) VALUES ('L4','53.43775','-2.96052')
[lng]) VALUES ('L40','53.60227','-2.84032')
[lng]) VALUES ('L5','53.42505','-2.97529')
[lng]) VALUES ('L6','53.41896','-2.94956')
[lng]) VALUES ('L69','53.40709','-2.97337')
[lng]) VALUES ('L7','53.40549','-2.94776')
[lng]) VALUES ('L70','53.40891','-2.97040')
[lng]) VALUES ('L8','53.39009','-2.96246')
[lng]) VALUES ('L9','53.46120','-2.95201')
[lng]) VALUES ('LA1','54.04663','-2.79885')
[lng]) VALUES ('LA10','54.31433','-2.49348')
[lng]) VALUES ('LA11','54.20034','-2.92446')
[lng]) VALUES ('LA12','54.20351','-3.08246')
[lng]) VALUES ('LA13','54.11792','-3.19805')
[lng]) VALUES ('LA14','54.11850','-3.23020')
,,
[lng]) VALUES ('LA15','54.15588','-3.17770')
[lng]) VALUES ('LA16','54.18620','-3.20155')
[lng]) VALUES ('LA17','54.23860','-3.17545')
[lng]) VALUES ('LA18','54.21512','-3.27448')
[lng]) VALUES ('LA19','54.29312','-3.37523')
[lng]) VALUES ('LA2','54.06537','-2.67390')
[lng]) VALUES ('LA20','54.29404','-3.20469')
[lng]) VALUES ('LA21','54.36450','-3.07283')
[lng]) VALUES ('LA22','54.42276','-2.98649')
[lng]) VALUES ('LA23','54.37122','-2.91136')
[lng]) VALUES ('LA3','54.05058','-2.87683')
[lng]) VALUES ('LA4','54.06964','-2.85125')
[lng]) VALUES ('LA5','54.14287','-2.78998')
[lng]) VALUES ('LA6','54.17537','-2.61134')
[lng]) VALUES ('LA7','54.22568','-2.77162')
[lng]) VALUES ('LA8','54.32373','-2.75961')
[lng]) VALUES ('LA9','54.32563','-2.74273')
[lng]) VALUES ('LD1','52.26047','-3.36570')
[lng]) VALUES ('LD2','52.14145','-3.39275')
[lng]) VALUES ('LD3','51.96006','-3.37111')
,,
[lng]) VALUES ('LD4','52.11786','-3.55416')
[lng]) VALUES ('LD5','52.12692','-3.61584')
[lng]) VALUES ('LD6','52.30909','-3.50804')
[lng]) VALUES ('LD7','52.35240','-3.08513')
[lng]) VALUES ('LD8','52.26735','-3.04348')
[lng]) VALUES ('LE1','52.63379','-1.12812')
[lng]) VALUES ('LE10','52.53641','-1.36744')
[lng]) VALUES ('LE11','52.76927','-1.21584')
[lng]) VALUES ('LE12','52.76641','-1.19217')
[lng]) VALUES ('LE13','52.76572','-0.88536')
[lng]) VALUES ('LE14','52.78380','-0.89527')
[lng]) VALUES ('LE15','52.65594','-0.70037')
[lng]) VALUES ('LE16','52.48616','-0.89244')
[lng]) VALUES ('LE17','52.46690','-1.17706')
[lng]) VALUES ('LE18','52.58332','-1.11141')
[lng]) VALUES ('LE19','52.57718','-1.21047')
[lng]) VALUES ('LE2','52.60942','-1.11531')
[lng]) VALUES ('LE3','52.62876','-1.17993')
[lng]) VALUES ('LE4','52.66342','-1.12309')
[lng]) VALUES ('LE5','52.63616','-1.08521')
,,
[lng]) VALUES ('LE6','52.66244','-1.24141')
[lng]) VALUES ('LE65','52.74819','-1.46810')
[lng]) VALUES ('LE67','52.71619','-1.36041')
[lng]) VALUES ('LE7','52.67739','-1.06808')
[lng]) VALUES ('LE8','52.55264','-1.09728')
[lng]) VALUES ('LE9','52.57012','-1.28728')
[lng]) VALUES ('LL11','53.06314','-3.03425')
[lng]) VALUES ('LL12','53.08601','-2.98851')
[lng]) VALUES ('LL13','53.03590','-2.95902')
[lng]) VALUES ('LL14','52.99198','-3.05043')
[lng]) VALUES ('LL15','53.10263','-3.31455')
[lng]) VALUES ('LL16','53.18489','-3.43231')
[lng]) VALUES ('LL17','53.25319','-3.43460')
[lng]) VALUES ('LL18','53.31023','-3.47554')
[lng]) VALUES ('LL19','53.33082','-3.40866')
[lng]) VALUES ('LL20','52.95949','-3.15982')
[lng]) VALUES ('LL21','52.99006','-3.40947')
[lng]) VALUES ('LL22','53.26827','-3.59257')
[lng]) VALUES ('LL23','52.90493','-3.60003')
[lng]) VALUES ('LL24','53.05695','-3.78474')
,,
[lng]) VALUES ('LL25','53.05460','-3.87866')
[lng]) VALUES ('LL26','53.13877','-3.78514')
[lng]) VALUES ('LL27','53.14718','-3.82288')
[lng]) VALUES ('LL28','53.28749','-3.75983')
[lng]) VALUES ('LL29','53.28916','-3.70738')
[lng]) VALUES ('LL30','53.31813','-3.81514')
[lng]) VALUES ('LL31','53.29035','-3.80946')
[lng]) VALUES ('LL32','53.26022','-3.83968')
[lng]) VALUES ('LL33','53.24987','-3.98015')
[lng]) VALUES ('LL34','53.27076','-3.91212')
[lng]) VALUES ('LL35','52.54657','-4.04127')
[lng]) VALUES ('LL36','52.60374','-4.06313')
[lng]) VALUES ('LL37','52.66546','-4.08230')
[lng]) VALUES ('LL38','52.69767','-4.03943')
[lng]) VALUES ('LL39','52.71076','-4.01043')
[lng]) VALUES ('LL40','52.75614','-3.87468')
[lng]) VALUES ('LL41','52.96914','-3.93750')
[lng]) VALUES ('LL42','52.72530','-4.05405')
[lng]) VALUES ('LL43','52.77409','-4.09193')
[lng]) VALUES ('LL44','52.79111','-4.09572')
,,
[lng]) VALUES ('LL45','52.81989','-4.09562')
[lng]) VALUES ('LL46','52.85477','-4.10621')
[lng]) VALUES ('LL47','52.90140','-4.06237')
[lng]) VALUES ('LL48','52.93544','-4.06994')
[lng]) VALUES ('LL49','52.92883','-4.13808')
[lng]) VALUES ('LL51','52.97377','-4.23712')
[lng]) VALUES ('LL52','52.92425','-4.24052')
[lng]) VALUES ('LL53','52.88418','-4.49117')
[lng]) VALUES ('LL54','53.05829','-4.28478')
[lng]) VALUES ('LL55','53.13355','-4.20355')
[lng]) VALUES ('LL56','53.18669','-4.19879')
[lng]) VALUES ('LL57','53.20718','-4.10998')
[lng]) VALUES ('LL58','53.28022','-4.09857')
[lng]) VALUES ('LL59','53.23417','-4.15926')
[lng]) VALUES ('LL60','53.21505','-4.26915')
[lng]) VALUES ('LL61','53.19540','-4.26212')
[lng]) VALUES ('LL62','53.21007','-4.38572')
[lng]) VALUES ('LL63','53.21824','-4.47007')
[lng]) VALUES ('LL64','53.22805','-4.51709')
[lng]) VALUES ('LL65','53.30067','-4.56940')
,,
[lng]) VALUES ('LL66','53.38055','-4.40427')
[lng]) VALUES ('LL67','53.41097','-4.45565')
[lng]) VALUES ('LL68','53.39818','-4.37668')
[lng]) VALUES ('LL69','53.38583','-4.31883')
[lng]) VALUES ('LL70','53.36396','-4.28758')
[lng]) VALUES ('LL71','53.32732','-4.36823')
[lng]) VALUES ('LL72','53.34957','-4.24023')
[lng]) VALUES ('LL73','53.33511','-4.24397')
[lng]) VALUES ('LL74','53.31645','-4.23248')
[lng]) VALUES ('LL75','53.28343','-4.21876')
[lng]) VALUES ('LL76','53.30017','-4.23764')
[lng]) VALUES ('LL77','53.26011','-4.31053')
[lng]) VALUES ('LL78','53.31678','-4.26253')
[lng]) VALUES ('LN1','53.25883','-0.58621')
[lng]) VALUES ('LN10','53.15858','-0.21703')
[lng]) VALUES ('LN11','53.37320','0.02496')
[lng]) VALUES ('LN12','53.32930','0.26620')
[lng]) VALUES ('LN13','53.26518','0.18482')
[lng]) VALUES ('LN2','53.25429','-0.50840')
[lng]) VALUES ('LN3','53.24325','-0.41885')
,,
[lng]) VALUES ('LN4','53.15018','-0.38489')
[lng]) VALUES ('LN5','53.17126','-0.55617')
[lng]) VALUES ('LN6','53.20319','-0.59403')
[lng]) VALUES ('LN7','53.49216','-0.34327')
[lng]) VALUES ('LN8','53.37321','-0.32384')
[lng]) VALUES ('LN9','53.21719','-0.11124')
[lng]) VALUES ('LS1','53.79674','-1.54754')
[lng]) VALUES ('LS10','53.76162','-1.53123')
[lng]) VALUES ('LS11','53.77609','-1.55535')
[lng]) VALUES ('LS12','53.79062','-1.59618')
[lng]) VALUES ('LS13','53.81052','-1.63396')
[lng]) VALUES ('LS14','53.82782','-1.45604')
[lng]) VALUES ('LS15','53.80619','-1.44417')
[lng]) VALUES ('LS16','53.85086','-1.60169')
[lng]) VALUES ('LS17','53.85958','-1.52709')
[lng]) VALUES ('LS18','53.84020','-1.64130')
[lng]) VALUES ('LS19','53.85920','-1.68220')
[lng]) VALUES ('LS2','53.80123','-1.54597')
[lng]) VALUES ('LS20','53.87365','-1.71251')
[lng]) VALUES ('LS21','53.91132','-1.67876')
,,
[lng]) VALUES ('LS22','53.93179','-1.39375')
[lng]) VALUES ('LS23','53.90372','-1.35458')
[lng]) VALUES ('LS24','53.86987','-1.25168')
[lng]) VALUES ('LS25','53.78584','-1.33059')
[lng]) VALUES ('LS26','53.75227','-1.44791')
[lng]) VALUES ('LS27','53.74839','-1.60266')
[lng]) VALUES ('LS28','53.80163','-1.66897')
[lng]) VALUES ('LS29','53.92058','-1.80356')
[lng]) VALUES ('LS3','53.80128','-1.55964')
[lng]) VALUES ('LS4','53.80944','-1.58082')
[lng]) VALUES ('LS5','53.81851','-1.60199')
[lng]) VALUES ('LS6','53.81928','-1.56704')
[lng]) VALUES ('LS7','53.81828','-1.53971')
[lng]) VALUES ('LS8','53.82445','-1.50926')
[lng]) VALUES ('LS9','53.79928','-1.50803')
[lng]) VALUES ('LU1','51.87476','-0.42373')
[lng]) VALUES ('LU2','51.89147','-0.39553')
[lng]) VALUES ('LU3','51.90829','-0.44291')
[lng]) VALUES ('LU4','51.89871','-0.46650')
[lng]) VALUES ('LU5','51.90829','-0.51270')
,,
[lng]) VALUES ('LU6','51.87711','-0.53552')
[lng]) VALUES ('LU7','51.90921','-0.66388')
[lng]) VALUES ('M1','53.47734','-2.23508')
[lng]) VALUES ('M11','53.47834','-2.17933')
[lng]) VALUES ('M12','53.46482','-2.20187')
[lng]) VALUES ('M13','53.46030','-2.21389')
[lng]) VALUES ('M14','53.44770','-2.22437')
[lng]) VALUES ('M15','53.46563','-2.25008')
[lng]) VALUES ('M16','53.45481','-2.26357')
[lng]) VALUES ('M17','53.46906','-2.31789')
[lng]) VALUES ('M18','53.46127','-2.16871')
[lng]) VALUES ('M19','53.43696','-2.19421')
[lng]) VALUES ('M2','53.48003','-2.24263')
[lng]) VALUES ('M20','53.42521','-2.23027')
[lng]) VALUES ('M21','53.43771','-2.27099')
[lng]) VALUES ('M22','53.38560','-2.25863')
[lng]) VALUES ('M23','53.39902','-2.28729')
[lng]) VALUES ('M24','53.55113','-2.19624')
[lng]) VALUES ('M25','53.52850','-2.27459')
[lng]) VALUES ('M26','53.56161','-2.33369')
,,
[lng]) VALUES ('M27','53.51216','-2.33631')
[lng]) VALUES ('M28','53.51467','-2.39666')
[lng]) VALUES ('M29','53.50816','-2.45692')
[lng]) VALUES ('M3','53.48361','-2.25018')
[lng]) VALUES ('M30','53.48424','-2.35418')
[lng]) VALUES ('M31','53.41930','-2.42136')
[lng]) VALUES ('M32','53.45021','-2.30872')
[lng]) VALUES ('M33','53.42050','-2.32506')
[lng]) VALUES ('M34','53.45594','-2.11748')
[lng]) VALUES ('M35','53.50714','-2.15230')
[lng]) VALUES ('M38','53.53167','-2.42096')
[lng]) VALUES ('M4','53.48455','-2.22909')
[lng]) VALUES ('M40','53.50349','-2.18999')
[lng]) VALUES ('M41','53.45095','-2.36294')
[lng]) VALUES ('M43','53.48378','-2.14770')
[lng]) VALUES ('M44','53.44086','-2.42609')
