Column3,Column4,Column5
,,
[lng]) VALUES ('BD17','53.84681','-1.76742')
[lng]) VALUES ('BD18','53.83154','-1.77662')
[lng]) VALUES ('BD19','53.72713','-1.71200')
[lng]) VALUES ('BD2','53.81438','-1.73418')
[lng]) VALUES ('BD20','53.89646','-1.94673')
[lng]) VALUES ('BD21','53.86407','-1.90571')
[lng]) VALUES ('BD22','53.84522','-1.95288')
[lng]) VALUES ('BD23','53.99264','-2.05339')
[lng]) VALUES ('BD24','54.07773','-2.27361')
[lng]) VALUES ('BD3','53.79818','-1.72669')
[lng]) VALUES ('BD4','53.77569','-1.71773')
[lng]) VALUES ('BD5','53.77847','-1.75717')
[lng]) VALUES ('BD6','53.76414','-1.78305')
[lng]) VALUES ('BD7','53.78301','-1.78143')
[lng]) VALUES ('BD8','53.80099','-1.78134')
[lng]) VALUES ('BD9','53.81179','-1.78888')
[lng]) VALUES ('BH1','50.72427','-1.85973')
[lng]) VALUES ('BH10','50.75847','-1.89082')
[lng]) VALUES ('BH11','50.76119','-1.91634')
[lng]) VALUES ('BH12','50.73692','-1.92630')
,,
[lng]) VALUES ('BH13','50.70993','-1.91785')
[lng]) VALUES ('BH14','50.72164','-1.94333')
[lng]) VALUES ('BH15','50.72165','-1.98442')
[lng]) VALUES ('BH16','50.73783','-2.04394')
[lng]) VALUES ('BH17','50.74593','-1.97449')
[lng]) VALUES ('BH18','50.75853','-1.99291')
[lng]) VALUES ('BH19','50.61102','-1.96890')
[lng]) VALUES ('BH2','50.72159','-1.88099')
[lng]) VALUES ('BH20','50.68648','-2.14582')
[lng]) VALUES ('BH21','50.81248','-1.97303')
[lng]) VALUES ('BH22','50.80524','-1.88787')
[lng]) VALUES ('BH23','50.74567','-1.75335')
[lng]) VALUES ('BH24','50.84377','-1.78551')
[lng]) VALUES ('BH25','50.75173','-1.65692')
[lng]) VALUES ('BH3','50.73508','-1.87954')
[lng]) VALUES ('BH31','50.87537','-1.87207')
[lng]) VALUES ('BH4','50.72071','-1.89799')
[lng]) VALUES ('BH5','50.72513','-1.83422')
[lng]) VALUES ('BH6','50.72688','-1.80446')
[lng]) VALUES ('BH7','50.73502','-1.83135')
,,
[lng]) VALUES ('BH8','50.74044','-1.85118')
[lng]) VALUES ('BH9','50.74946','-1.87100')
[lng]) VALUES ('BL0','53.64526','-2.31468')
[lng]) VALUES ('BL1','53.59002','-2.44421')
[lng]) VALUES ('BL2','53.58749','-2.39432')
[lng]) VALUES ('BL3','53.56489','-2.43186')
[lng]) VALUES ('BL4','53.54702','-2.39999')
[lng]) VALUES ('BL5','53.54928','-2.51473')
[lng]) VALUES ('BL6','53.59142','-2.53941')
[lng]) VALUES ('BL7','53.62965','-2.42194')
[lng]) VALUES ('BL8','53.60478','-2.32647')
[lng]) VALUES ('BL9','53.59140','-2.28557')
[lng]) VALUES ('BN1','50.83900','-0.13786')
[lng]) VALUES ('BN10','50.79530','0.00232')
[lng]) VALUES ('BN11','50.81288','-0.37599')
[lng]) VALUES ('BN12','50.81354','-0.42423')
[lng]) VALUES ('BN13','50.83037','-0.40521')
[lng]) VALUES ('BN14','50.83181','-0.37959')
[lng]) VALUES ('BN15','50.83013','-0.32426')
[lng]) VALUES ('BN16','50.81446','-0.49377')
,,
[lng]) VALUES ('BN17','50.81408','-0.53495')
[lng]) VALUES ('BN18','50.84881','-0.57933')
[lng]) VALUES ('BN2','50.82405','-0.10296')
[lng]) VALUES ('BN20','50.77449','0.25536')
[lng]) VALUES ('BN21','50.77228','0.27653')
[lng]) VALUES ('BN22','50.78832','0.28440')
[lng]) VALUES ('BN23','50.79764','0.31325')
[lng]) VALUES ('BN24','50.81618','0.33120')
[lng]) VALUES ('BN25','50.77633','0.10932')
[lng]) VALUES ('BN26','50.82098','0.22352')
[lng]) VALUES ('BN27','50.87146','0.26430')
[lng]) VALUES ('BN3','50.83419','-0.17498')
[lng]) VALUES ('BN41','50.84020','-0.21452')
[lng]) VALUES ('BN42','50.83686','-0.23169')
[lng]) VALUES ('BN43','50.83557','-0.26583')
[lng]) VALUES ('BN44','50.89036','-0.32210')
[lng]) VALUES ('BN45','50.88920','-0.18421')
[lng]) VALUES ('BN5','50.92645','-0.26815')
[lng]) VALUES ('BN6','50.92918','-0.15276')
[lng]) VALUES ('BN7','50.87719','0.00014')
,,
[lng]) VALUES ('BN8','50.91318','0.05148')
[lng]) VALUES ('BN9','50.79536','0.05058')
[lng]) VALUES ('BR1','51.41107','0.02192')
[lng]) VALUES ('BR2','51.38858','0.02237')
[lng]) VALUES ('BR3','51.40297','-0.03020')
[lng]) VALUES ('BR4','51.37559','-0.00695')
[lng]) VALUES ('BR5','51.38983','0.10436')
[lng]) VALUES ('BR6','51.36575','0.09320')
[lng]) VALUES ('BR7','51.41019','0.07222')
[lng]) VALUES ('BR8','51.39751','0.17660')
[lng]) VALUES ('BS1','51.45309','-2.59300')
[lng]) VALUES ('BS10','51.50606','-2.60954')
[lng]) VALUES ('BS11','51.49672','-2.67425')
[lng]) VALUES ('BS13','51.41163','-2.61116')
[lng]) VALUES ('BS14','51.41278','-2.56084')
[lng]) VALUES ('BS15','51.45890','-2.50527')
[lng]) VALUES ('BS16','51.48496','-2.50988')
[lng]) VALUES ('BS2','51.45945','-2.58013')
[lng]) VALUES ('BS20','51.47916','-2.75176')
[lng]) VALUES ('BS21','51.43443','-2.84886')
,,
[lng]) VALUES ('BS22','51.36008','-2.92936')
[lng]) VALUES ('BS23','51.34266','-2.97065')
