"","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree density","plot_richness","ShortNVC"
"188",60,12,NA,"W8d",5.623,16.3,3,4.488550504,13.63,0.59,27,"W8"
"189",60,13,NA,"W10",6.339,28.6,3,1.297870465,10.3,0.85,17,"W10"
"190",60,14,NA,"W10",6.892,55.6,3,1.533489914,9.5,0.875,30,"W10"
"191",60,15,NA,"W10",6.902,34,3,0.657770962,8.38,0.67,24,"W10"
"192",60,16,NA,"W21",6.474,49.4,3,0.514435797,9.92,0.735,19,"W21"
"193",61,1,0,"W10c",4.308,11.75327,8,0.614574063,11.05,0.47,27,"W10"
"194",61,2,0,"W4",4.934,8.103904,3,0.003926991,7.5,0.16,16,"W4"
"195",61,3,0,"OV27",5.99,13.13863,8,0.074612826,7.71,0.505,20,"OV27"
"196",61,4,0,"OV27",4.854,9.376961,5,0.009817477,7.5,0.39,22,"OV27"
"197",61,5,0,"W10d",4.484,13.40749,3,0.278816348,9.24,0.155,23,"W10"
"198",61,6,0,"W4",5.235,9.222495,3,0.233655954,8.14,0.31,21,"W4"
"199",61,7,0,"W10d",4.234,28.14355,8,0.712748833,8.09,1.37,12,"W10"
"200",61,8,0,"W10",5.055,14.77562,3,1.511891465,9.23,0.875,36,"W10"
"201",61,9,0,"W10c",4.027,17.5746,3,0.877682448,15.71,0.37,23,"W10"
"202",61,10,0,"W10d",3.949,17.92118,3,1.105447915,33.5,0.465,16,"W10"
"203",61,11,0,"W10d",4.363,22.91759,3,0.007853982,7.5,0.32,25,"W10"
"204",61,12,0,"W10c",4.255,23.70974,3,0.09424778,10.37,0.37,21,"W10"
"205",61,13,0,"W10c",4.703,7.709867,3,0.822704576,10.5,0.68,28,"W10"
"206",61,14,0,"W14",4.657,9.725954,8,0.009817477,7.5,0.53,13,"W14"
"207",61,15,0,"W16b",4.717,14.23664,8,0.007853982,7.5,0.3,13,"W16"
"208",61,16,0,"W10d",4.628,19.58325,5,0.02552544,9.04,0.445,23,"W10"
"209",62,1,120,"W10d",4.112,15.8161,5,1.645409152,33.12,0.245,9,"W10"
"210",62,2,90,"W10d",4.07,16.93454,5,NA,NA,NA,7,"W10"
"211",62,3,90,"W10",5.531,23.317,3,0.918915851,28.75,0.21,26,"W10"
"212",62,4,90,"W10a",4.232,14.36698,3,2.026327262,23.21,0.29,13,"W10"
"213",62,5,90,"W16b",3.303,83.72573,3,0.918915851,26.67,0.145,9,"W16"
"214",62,6,0,"OV27",5.446,12.67912,5,NA,NA,NA,12,"OV27"
"215",62,7,90,"W10d",3.917,18.12749,5,0.512472302,21.94,0.175,17,"W10"
"216",62,8,40,"W10",5.276,18.53968,3,0.634209017,25.83,0.07,16,"W10"
"217",62,9,180,"W16b",3.913,19.3151,5,0.669551934,17.5,0.105,15,"W16"
"218",62,10,90,"MG7A",6.004,10.0293,5,NA,NA,NA,15,"MG7A"
"219",62,11,90,"OV27",4.987,18.86657,3,NA,NA,NA,26,"OV27"
"220",62,12,90,"OV27",4.69,20.07744,5,NA,NA,NA,12,"OV27"
"221",62,13,90,"OV27",5.435,14.11306,5,0.001963495,7.5,0.02,33,"OV27"
"222",62,14,90,"OV27d",4.271,21.55198,3,0.873755457,16.05,0.42,13,"OV27"
"223",62,15,100,"W10a",5.402,12.71574,3,2.88633825,37.5,0.21,19,"W10"
"224",62,16,90,"W21",5.385,21.22186,3,0.48301987,14.3,0.295,24,"W21"
"225",63,1,0,"W21",5.688,5.990622,3,1.965458904,18.79,0.57,37,"W21"
"226",63,2,0,"W21",5.574,7.618338,3,3.628539515,17.28,0.34,26,"W21"
