BRCcode,Taxon name,P1,LF1,W,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S
920289,Buxus sempervirens,p,Ph,w,3.7,16.6,716,"1, 3",4,4,8,5,0
920291,Cakile maritima,a,Th,h,4.4,14.6,1011,19,9,6,7,7,3
920292,Calamagrostis canescens,p,hc,h,3.4,15.7,723,11,7,9,7,5,0
920293,Calamagrostis epigejos,p,hc,h,3.7,15.7,812,"3, 11",7,7,7,6,0
9202646,Calamagrostis purpurea,p,hc,h,1.6,13.1,1346,"1, 11",7,8,6,3,0
920295,Calamagrostis scotica,p,hc,h,3.6,12.8,888,11,8,8,6,4,0
920294,Calamagrostis stricta,p,hc,h,2.9,14.2,928,11,9,9,4,2,0
920300,Calendula officinalis,a,Th,h,4.0,15.7,822,"3, 17",8,5,7,7,0
920303.2,Callitriche brutia,a,Hz,h,4.1,14.9,1087,13,8,10,5,5,0
920303.1,Callitriche hamulata,a,Hz,h,3.3,14.2,1162,"13, 14",7,11,6,5,0
920303,Callitriche hamulata sens.lat.,a,Hz,h,3.3,14.2,1162,"11, 13, 14",7,10,5,5,0
920302,Callitriche hermaphroditica,p,Hy,h,3.1,13.7,1120,13,7,12,7,5,1
920304,Callitriche obtusangula,p,Hy,h,4.1,15.7,840,"13, 14",7,11,7,6,1
920307.1,Callitriche platycarpa,a,Hz,h,3.7,15.1,947,"11, 13",6,10,7,7,0
920307.2,Callitriche stagnalis,a,Hz,h,3.7,14.6,1083,13,7,10,6,6,1
920307,Callitriche stagnalis sens.lat.,a,Hz,h,3.5,14.4,1105,"11, 13, 14",6,10,6,6,0
920308,Callitriche truncata,a,Hz,h,4.1,16.1,719,"13, 14",7,12,7,7,0
920309,Calluna vulgaris,p,Ch,w,3.5,14.3,1157,"10, 12",7,6,2,2,0
920310,Caltha palustris,p,hc,h,3.4,14.4,1111,11,7,9,6,4,0
9202266,Calystegia pulchra,p,Gn,h,3.5,14.9,1020,"3, 17",6,5,7,7,0
920311,Calystegia sepium,p,Gn,h,3.8,14.9,1021,"11, 14",7,8,7,7,1
920313,Calystegia silvatica,p,Gn,h,3.8,15.2,933,"3, 17",5,5,7,6,0
920312,Calystegia soldanella,p,Gn,h,4.8,15.4,959,19,9,4,7,4,3
9204352,Camelina sativa,a,Th,h,3.9,15.6,793,"4, 17",7,4,7,6,0
920315,Campanula glomerata,p,hc,h,3.4,15.8,737,7,8,4,7,3,0
920316,Campanula latifolia,p,hc,h,2.9,14.6,914,1,4,5,7,6,0
920318,Campanula patula,b,hc,h,3.6,16.0,772,"1, 3",8,5,7,5,0
920319,Campanula persicifolia,p,hc,h,3.5,15.5,825,"1, 3",6,5,7,6,0
9202640,Campanula portenschlagiana,p,hc,h,4.5,15.8,967,"3, 17",6,5,7,6,0
9202641,Campanula poscharskyana,p,hc,h,4.2,15.8,927,"3, 17",6,5,7,6,0
920320,Campanula rapunculoides,p,Gn,h,3.4,15.5,763,"3, 17",6,4,7,5,0
920321,Campanula rapunculus,p,hc,h,3.5,15.8,719,"3, 17",7,3,7,4,0
920322,Campanula rotundifolia,p,hc,h,3.2,14.4,1104,7,7,4,5,2,0
920323,Campanula trachelium,p,hc,h,3.6,16.0,753,1,4,5,7,6,0
920325,Capsella bursa-pastoris,a,Th,h,3.6,14.6,1073,"4, 17",7,5,7,7,0
920327,Cardamine amara,p,hc,h,2.9,14.7,943,"1, 14",6,9,7,6,0
920625,Cardamine bulbifera,p,Gn,h,3.7,16.4,780,1,3,5,7,6,0
920328,Cardamine flexuosa,p,hc,h,3.5,14.5,1110,1,5,7,6,6,0
920329,Cardamine hirsuta,a,Th,h,3.6,14.6,1070,16,8,5,6,6,0
920330,Cardamine impatiens,b,hc,h,3.3,15.5,933,"1, 3",6,5,8,7,0
920331,Cardamine pratensis,p,hc,h,3.5,14.4,1104,"6, 11",7,8,5,4,0
920335,Carduus crispus,b,hc,h,3.5,15.4,832,3,7,4,8,7,0
920337,Carduus nutans,b,hc,h,3.7,15.7,797,"6, 7",7,4,8,5,0
920339,Carduus tenuiflorus,b,hc,h,4.6,15.4,892,"3, 6",8,4,7,4,0
920340,Carex acuta,p,hc,h,3.5,15.5,830,11,7,9,7,5,0
920341,Carex acutiformis,p,hc,h,3.5,15.3,889,11,7,9,7,6,0
920342,Carex appropinquata,p,hc,h,3.5,15.5,752,11,7,9,8,4,0
920343,Carex aquatilis,p,Hy,h,2.3,13.2,1255,"11, 13",8,10,4,3,0
920344,Carex arenaria,p,hc,h,4.3,14.7,1063,19,8,3,5,2,1
920345,Carex atrata,p,hc,h,-0.3,11.1,1980,"15, 16",7,5,6,3,0
920346,Carex atrofusca,p,hc,h,-0.4,11.2,1917,"11, 15",8,9,7,3,0
920349,Carex bigelowii,p,hc,h,1.8,12.1,1800,15,7,5,2,2,0
920350,Carex binervis,p,hc,h,3.3,14.0,1243,"8, 10, 16",7,6,3,2,0
920352,Carex buxbaumii,p,hc,h,3.3,13.5,1410,11,8,8,7,2,0
920353,Carex capillaris,p,hc,h,1.2,11.9,1636,7,9,6,8,2,0
920355,Carex caryophyllea,p,hc,h,3.4,14.7,1079,7,7,4,7,2,0
920356,Carex chordorrhiza,p,hc,h,1.4,11.9,1176,11,9,9,4,3,0
920359,Carex curta,p,hc,h,2.7,13.6,1303,11,8,9,3,2,0
920360,Carex davalliana,p,hc,h,4.0,16.3,833,11,9,9,8,2,0
