BRCcode,Taxon name,P1,LF1,W,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S
920739,Eriocaulon aquaticum,p,Hy,h,4.4,14.1,1435,13,8,11,4,1,0
920740,Eriophorum angustifolium,p,hc,h,3.4,14.1,1194,12,8,9,4,1,0
920742,Eriophorum gracile,p,hc,h,4.5,15.4,1006,11,8,9,4,2,0
920743,Eriophorum latifolium,p,hc,h,2.7,13.6,1394,11,9,9,7,2,0
920744,Eriophorum vaginatum,p,hc,h,3.1,13.6,1307,12,8,8,2,1,0
920746,Erodium cicutarium,a,Th,h,3.8,15.2,902,19,8,4,6,4,0
920745,Erodium cicutarium agg.,a,Th,h,3.8,15.2,902,19,8,4,6,4,0
920747,Erodium lebelii,a,Th,h,5.0,15.5,959,19,8,4,7,2,0
920748,Erodium maritimum,a,Th,h,5.3,15.6,996,"18, 19",9,4,6,6,3
920749,Erodium moschatum,a,Th,h,4.6,15.8,880,"3, 4",7,4,6,5,0
9204343,Erophila glabrescens,a,Th,h,3.5,14.9,997,"3, 16, 17",8,3,7,3,0
9204344,Erophila majuscula,a,Th,h,3.7,15.5,844,"3, 16, 17",8,3,7,3,0
9204342,Erophila verna,a,Th,h,3.6,15.2,918,"3, 16, 17",8,3,6,3,0
920753,Erophila verna sens.lat.,a,Th,h,3.4,14.7,1011,"3, 16, 17",8,3,7,3,0
920756,Erucastrum gallicum,a,Th,h,3.9,15.9,809,"3, 16",8,4,7,7,0
920757,Eryngium campestre,p,hc,h,4.6,16.1,856,"3, 5",9,3,8,3,0
920758,Eryngium maritimum,p,hc,h,4.7,15.2,1010,19,9,4,6,5,3
920759,Erysimum cheiranthoides,a,Th,h,3.7,15.7,804,"3, 4",7,5,7,7,0
920479,Erysimum cheiri,p,Ch,sw,4.0,15.6,848,"3, 16, 17",8,4,8,5,1
920762,Euonymus europaeus,p,Ph,w,3.9,15.4,904,"1, 3",5,5,8,5,0
920763,Eupatorium cannabinum,p,hc,h,3.9,15.2,974,11,7,8,6,7,0
920764,Euphorbia amygdaloides,p,Ch,h,4.1,16.1,827,1,4,5,6,6,0
920767,Euphorbia cyparissias,p,hc,h,3.6,15.6,838,"3, 4, 7, 19",8,3,7,3,0
9202998,Euphorbia esula x waldsteinii (E. x pseudovirgata),p,hc,h,3.7,16.1,715,3,8,4,8,5,0
920771,Euphorbia exigua,a,Th,h,3.9,15.8,783,4,6,4,7,5,0
920772,Euphorbia helioscopia,a,Th,h,3.8,14.9,973,"4, 17",7,5,6,6,0
920773,Euphorbia hyberna,p,hc,h,5.2,14.9,1203,"1, 3",5,5,5,4,0
920774,Euphorbia lathyris,b,Ch,h,3.8,15.8,804,"3, 16, 17",6,5,7,5,0
920775,Euphorbia paralias,p,Ch,h,5.1,15.6,987,19,9,4,7,5,3
920776,Euphorbia peplis,a,Th,h,5.8,16.1,969,19,9,4,7,5,3
920777,Euphorbia peplus,a,Th,h,3.8,15.1,950,"4, 17",7,4,7,6,0
920779,Euphorbia platyphyllos,a,Th,h,3.9,16.3,733,4,7,5,7,5,0
920780,Euphorbia portlandica,p,Ch,h,5.3,15.4,1060,"18, 19",8,3,7,3,3
920781,Euphorbia serrulata,a,Th,h,4.1,16.3,812,"1, 3",5,6,8,5,0
920783,Euphrasia anglica,a,Th,h,4.1,15.3,1081,"10, 16",7,5,5,3,0
9207310,Euphrasia arctica,a,Th,h,3.2,13.6,1315,"6, 11",7,5,6,4,0
920786,Euphrasia cambrica,a,Th,h,2.8,13.2,2458,15,8,5,5,2,0
920787,Euphrasia campbelliae,a,Th,h,4.0,12.5,1638,"10, 11",8,6,4,2,0
920788,Euphrasia confusa,a,Th,h,3.2,13.8,1267,"7, 8, 16",8,5,6,2,0
920791,Euphrasia foulaensis,a,Th,h,3.6,12.4,1263,"18, 21",8,6,6,4,1
920792,Euphrasia frigida,a,Th,h,1.5,11.8,1981,"15, 16",8,6,4,2,0
920793,Euphrasia heslop-harrisonii,a,Th,h,3.7,12.6,1695,21,8,7,6,4,3
920795,Euphrasia marshallii,a,Th,h,3.8,12.3,1334,18,8,5,6,3,1
920796,Euphrasia micrantha,a,Th,h,3.0,13.2,1400,"8, 10",7,5,2,2,0
920798,Euphrasia nemorosa,a,Th,h,3.6,14.8,1037,"7, 10",7,5,6,4,0
9202243,Euphrasia officinalis agg.,a,Th,h,3.5,14.4,1131,"6, 7, 8, 10",8,5,5,3,0
920789,Euphrasia ostenfeldii,a,Th,h,2.8,12.2,1694,16,9,4,5,2,0
920801,Euphrasia pseudokerneri,a,Th,h,3.7,16.1,753,7,7,4,8,3,0
920803,Euphrasia rivularis,a,Th,h,2.3,13.2,2450,"15, 16",7,7,7,3,0
9207351,Euphrasia rostkoviana,a,Th,h,3.7,14.3,1336,6,7,5,5,3,0
920805,Euphrasia rotundifolia,a,Th,h,3.5,12.4,1004,18,8,4,7,2,1
920806,Euphrasia salisburgensis,a,Th,h,4.6,14.7,1134,16,7,5,8,4,0
920807,Euphrasia scottica,a,Th,h,2.5,12.8,1575,"10, 15",8,5,5,2,0
920799,Euphrasia tetraquetra,a,Th,h,4.7,14.9,1105,"6, 10",8,6,6,3,3
920800,Euphrasia vigursii,a,Th,h,5.4,15.3,1263,10,7,5,4,3,0
920808,Exaculum pusillum,a,Th,h,6.8,16.7,712,19,9,8,3,2,1
920809,Fagopyrum esculentum,a,Th,h,3.8,15.8,788,4,8,6,7,7,0
920810,Fagus sylvatica,p,Ph,w,3.5,14.7,1061,1,3,5,5,5,0
9201527,Fallopia convolvulus,a,Th,h,3.7,14.9,971,"3, 4",7,4,7,5,0
9201529,Fallopia dumetorum,a,Th,h,3.9,16.4,784,"1, 3",6,5,6,7,0
9201528,Fallopia japonica,p,Gn,h,3.7,14.8,1043,"3, 14, 17",6,7,6,6,0
9201541,Fallopia sachalinensis,p,Gn,h,3.7,15.3,976,3,6,5,6,7,0
920812,Festuca altissima,p,hc,h,2.6,13.6,1410,"1, 16",3,5,4,5,0
920819,Festuca arenaria,p,hc,h,4.2,15.4,828,19,8,4,5,3,3
9207359,Festuca armoricana,p,hc,h,6.2,16.9,796,19,8,3,6,3,1
920813,Festuca arundinacea,p,hc,h,3.6,14.9,980,"6, 7",8,6,7,6,1
920822.2,Festuca filiformis,p,hc,h,3.0,14.3,1100,8,8,4,3,2,0
920816,Festuca gigantea,p,hc,h,3.6,15.1,981,1,5,6,7,7,0
9207361,Festuca huonii,p,hc,h,6.4,16.5,780,"16, 18",8,5,4,3,1
9205430,Festuca lemanii,p,hc,h,3.4,15.3,1079,"7, 8, 16",8,4,7,2,0
920817,Festuca longifolia,p,hc,h,4.8,16.2,751,8,8,3,5,2,0
920822,Festuca ovina,p,hc,h,3.5,14.5,1109,"7, 8",7,5,4,2,0
920821,Festuca ovina agg.,p,hc,h,3.5,14.4,1118,"7, 8",7,5,4,2,0
920823,Festuca pratensis,p,hc,h,3.6,14.9,985,6,7,6,6,6,0
920815,Festuca pratensis x Lolium perenne (x Festulolium loliaceum),p,hc,h,3.5,15.5,851,6,8,6,7,6,1
920825,Festuca rubra,p,hc,h,3.5,14.5,1104,"3, 5, 6, 21",8,5,6,5,2
920824,Festuca rubra agg.,p,hc,h,3.5,14.5,1104,"3, 5, 6, 21",8,5,6,5,2
920826,Festuca vivipara,p,hc,h,2.7,12.7,1592,"15, 16",8,6,3,2,0
920829,Filago gallica,a,Th,h,3.8,16.4,647,"3, 4",9,2,5,2,0
920827,Filago lutescens,a,Th,h,3.7,16.4,660,"3, 4",9,3,4,2,0
920831,Filago minima,a,Th,h,3.6,15.1,904,16,8,3,4,2,0
920832,Filago pyramidata,a,Th,h,3.8,16.3,687,4,9,4,7,3,0
920830,Filago vulgaris,a,Th,h,3.8,15.5,832,3,7,4,6,4,0
920833,Filipendula ulmaria,p,hc,h,3.5,14.5,1105,11,7,8,6,5,0
920834,Filipendula vulgaris,p,hc,h,3.6,15.8,776,7,7,4,8,2,0
920835,Foeniculum vulgare,p,hc,h,4.1,15.9,823,"3, 16, 17",9,5,8,5,3
920838,Fragaria vesca,p,hc,h,3.5,14.6,1091,"1, 7",6,5,6,4,0
920836,Fragaria x ananassa,p,hc,h,3.7,15.5,863,"3, 17",6,5,8,7,0
920839,Frangula alnus,p,Ph,w,3.8,15.8,881,1,6,8,5,5,0
920840,Frankenia laevis,p,Ch,h,4.4,16.5,680,"19, 21",9,8,8,5,5
920841,Fraxinus excelsior,p,Ph,w,3.6,14.7,1069,1,5,6,7,6,0
920842,Fritillaria meleagris,p,Gb,h,3.6,16.3,688,6,8,8,7,4,0
920844,Fuchsia magellanica,p,Pn,w,4.3,14.3,1223,"3, 17",6,6,5,5,0
920845,Fumaria bastardii,a,Th,h,4.5,14.8,1086,4,8,4,6,6,0
920847,Fumaria capreolata,a,Th,h,4.2,14.9,997,"3, 16",7,4,6,7,0
920849,Fumaria densiflora,a,Th,h,3.6,15.5,763,4,8,3,8,5,0
920850,Fumaria muralis,a,Th,h,4.0,14.9,1004,4,7,5,6,6,0
920853,Fumaria occidentalis,a,Th,h,6.5,15.8,1073,"3, 4",7,4,6,5,0
920854,Fumaria officinalis,a,Th,h,3.6,15.0,912,"3, 4",6,5,7,6,0
920856,Fumaria parviflora,a,Th,h,3.6,16.1,703,4,8,4,8,5,0
920857,Fumaria purpurea,a,Th,h,4.1,14.8,978,"3, 4",7,4,6,5,0
920848,Fumaria reuteri,a,Th,h,5.4,16.1,958,"3, 4, 17",8,4,6,5,0
920858,Fumaria vaillantii,a,Th,h,3.5,16.2,702,4,8,3,8,5,0
9202290,Gagea bohemica,p,Gb,h,2.9,14.7,1008,16,9,2,5,2,0
920859,Gagea lutea,p,Gb,h,3.0,15.1,861,"1, 3, 14, 16",4,6,7,7,0
920860,Galanthus nivalis,p,Gb,h,3.5,15.2,919,"1, 3, 17",5,6,7,7,0
920861,Galega officinalis,p,hc,h,3.7,16.2,725,"3, 17",8,5,7,8,0
920863,Galeopsis angustifolia,a,Th,h,3.8,15.8,791,"4, 16",8,2,8,4,0
920864,Galeopsis bifida,a,Th,h,3.6,14.9,1011,4,7,5,6,6,0
920865,Galeopsis segetum,a,Th,h,3.7,15.6,789,4,7,4,3,3,0
920867,Galeopsis speciosa,a,Th,h,3.1,14.5,1043,4,7,5,7,7,0
920869,Galeopsis tetrahit,a,Th,h,3.6,14.8,1025,3,7,5,6,6,0
920868,Galeopsis tetrahit agg.,a,Th,h,3.5,14.5,1073,"3, 4",7,5,6,6,0
920871,Galinsoga parviflora,a,Th,h,3.8,16.1,721,"4, 17",7,4,6,7,0
920870,Galinsoga quadriradiata,a,Th,h,3.8,16.0,778,"3, 4, 17",7,5,6,6,0
920873,Galium aparine,a,Th,h,3.6,14.6,1080,"3, 4, 17",6,6,7,8,0
920874,Galium boreale,p,hc,h,2.2,12.8,1580,"7, 16",7,5,7,3,0
920876,Galium constrictum,p,hc,h,5.0,16.5,799,13,8,9,3,2,0
920879,Galium mollugo,p,hc,h,3.5,15.3,905,7,7,4,7,4,0
920183,Galium odoratum,p,hc,h,3.4,14.7,1086,1,3,5,7,6,0
920882,Galium palustre,p,hc,h,3.5,14.5,1105,11,7,9,5,4,0
920872,Galium parisiense,a,Th,h,3.7,16.3,693,3,8,3,7,2,0
920883.1,Galium pumilum,p,hc,h,3.7,16.2,754,7,7,4,8,3,0
920878,Galium saxatile,p,hc,h,3.5,14.3,1148,"8, 9",6,6,3,3,0
920885,Galium spurium,a,Th,h,3.9,16.1,755,4,7,5,8,5,0
920883.2,Galium sterneri,p,hc,h,2.0,13.0,1457,"7, 16",9,4,7,1,0
920886,Galium tricornutum,a,Th,h,3.8,16.1,736,4,7,4,7,4,0
920887,Galium uliginosum,p,hc,h,3.2,14.9,961,11,7,9,6,4,0
920888,Galium verum,p,hc,h,3.5,14.6,1045,7,7,4,6,2,0
920889,Gastridium ventricosum,a,Th,h,4.6,16.3,839,"4, 7",9,3,8,2,0
9202508,Gaudinia fragilis,a,Th,h,4.5,16.2,865,"3, 6",8,5,6,6,0
920890,Gaultheria shallon,p,Pn,w,3.6,14.9,1077,"1, 10",3,4,4,3,0
920891,Genista anglica,p,Ch,w,3.0,14.6,1019,10,8,5,3,2,0
920892,Genista pilosa,p,Ch,w,5.0,15.6,1011,10,8,5,4,1,0
920893,Genista tinctoria,p,Ch,w,3.6,15.6,880,6,8,6,7,2,0
920894,Gentiana nivalis,a,Th,h,-0.5,11.2,1853,"15, 16",9,5,7,3,0
920895,Gentiana pneumonanthe,p,hc,h,3.7,15.7,806,"8, 10",8,7,4,1,0
920896,Gentiana verna,p,Ch,h,4.0,14.4,1153,"7, 16",8,4,8,1,0
920897,Gentianella amarella,b,hc,h,3.5,14.9,932,7,8,4,8,2,0
920899,Gentianella anglica,b,hc,h,4.1,16.1,812,7,8,3,8,2,0
920901,Gentianella campestris,b,hc,h,3.1,13.5,1298,7,8,6,6,3,1
9202629,Gentianella ciliata,b,hc,h,3.3,16.1,782,7,8,3,8,2,0
920903,Gentianella germanica,b,hc,h,3.3,16.2,725,7,7,4,8,3,0
920905,Gentianella uliginosa,b,hc,h,5.2,15.1,1221,19,8,8,7,2,0
920906,Geranium columbinum,a,Th,h,4.0,15.6,921,"3, 7",7,4,7,7,0
920907,Geranium dissectum,a,Th,h,3.7,14.8,1011,"3, 4",7,5,7,6,0
920908,Geranium endressii,p,hc,h,3.5,15.0,991,"3, 17",6,5,7,6,0
920909,Geranium lucidum,a,Th,h,3.6,15.1,991,"3, 16",6,4,7,6,0
920911,Geranium molle,a,Th,h,3.7,14.8,1026,"3, 4",7,5,6,5,0
920913,Geranium phaeum,p,hc,h,3.5,15.2,931,"1, 3, 17",6,5,6,5,0
920914,Geranium pratense,p,hc,h,3.0,14.9,922,6,7,6,7,7,0
920915,Geranium purpureum,a,Th,h,5.7,16.1,962,"3, 16",7,3,6,3,1
920916,Geranium pusillum,a,Th,h,3.7,15.6,784,3,7,4,7,7,0
920917,Geranium pyrenaicum,p,hc,h,3.8,15.6,823,"3, 17",8,4,7,6,0
920918,Geranium robertianum,b,hc,h,3.5,14.6,1092,"1, 16",5,6,6,6,0
920919,Geranium rotundifolium,a,Th,h,4.2,16.2,810,"3, 16, 17",7,4,7,6,0
920920,Geranium sanguineum,p,hc,h,3.7,14.6,996,"7, 16",7,4,7,3,0
920921,Geranium sylvaticum,p,hc,h,1.8,13.0,1339,"6, 16",6,5,6,5,0
920924,Geum rivale,p,hc,h,2.9,14.0,1196,"1, 16",6,7,6,4,0
920925,Geum urbanum,p,hc,h,3.6,14.7,1044,1,4,6,7,7,0
9205470,Gladiolus communis,p,Gn,h,5.2,16.0,944,"3, 4",7,4,5,4,0
920926,Gladiolus illyricus,p,Gn,h,4.5,16.5,794,"8, 9",5,4,5,3,0
920929,Glaucium flavum,p,hc,h,4.7,15.5,933,19,9,5,8,6,3
920930,Glaux maritima,p,Gn,h,4.2,14.3,1177,21,8,7,7,5,4
920931,Glechoma hederacea,p,hc,h,3.6,14.9,1001,"1, 3",6,6,7,7,0
920932,Glyceria declinata,p,hc,h,3.5,14.8,1058,"13, 14",7,9,6,6,0
920933,Glyceria fluitans,p,Hy,h,3.5,14.5,1098,"11, 14",7,10,6,6,0
920935,Glyceria fluitans x notata (G. x pedicellata),p,Hy,h,3.6,15.5,872,"11, 14",7,10,7,6,0
920934,Glyceria maxima,p,Hy,h,3.6,15.5,823,11,7,10,7,8,0
920936,Glyceria notata,p,Hy,h,3.6,15.2,902,"11, 14",7,10,6,7,0
920937,Gnaphalium luteoalbum,a,Th,h,5.0,16.4,716,"4, 19",9,7,5,3,0
920938,Gnaphalium norvegicum,p,hc,h,-0.5,10.6,2123,"15, 16",8,5,4,4,0
920939,Gnaphalium supinum,p,Ch,h,0.7,11.5,2077,15,8,7,3,3,0
920940,Gnaphalium sylvaticum,p,hc,h,3.0,14.2,1112,"3, 10",7,6,4,3,0
920941,Gnaphalium uliginosum,a,Th,h,3.6,14.6,1074,"11, 13",7,6,6,5,0
920943,Goodyera repens,p,hc,h,2.2,13.2,1030,2,5,5,3,2,0
920944,Groenlandia densa,p,Hy,h,3.7,15.9,750,"13, 14",8,12,8,5,1
920948,Gymnadenia conopsea,p,Gn,h,3.2,14.2,1187,"7, 11",7,6,7,3,0
9102050,Gymnocarpium dryopteris,p,Gn,h,2.2,13.1,1445,"1, 16",4,5,4,4,0
9102054,Gymnocarpium robertianum,p,Gn,h,2.7,14.6,1168,16,7,3,8,4,0
920951,Hammarbya paludosa,p,hc,h,2.9,13.3,1615,11,9,9,2,1,0
920952,Hedera helix,p,Ph,w,3.6,14.6,1086,"1, 3",4,5,7,6,0
920953,Helianthemum apenninum,p,Ch,sw,5.3,16.5,873,7,8,1,8,1,0
920955,Helianthemum nummularium,p,Ch,sw,3.0,14.8,924,7,7,4,7,2,0
920954,Helianthemum oelandicum,p,Ch,sw,4.3,14.8,1108,"7, 16",8,3,8,1,0
920957,Helianthus annuus,a,Th,h,3.9,15.9,784,"3, 17",7,6,5,7,0
920960,Helianthus tuberosus,p,Gn,h,3.8,16.1,719,17,7,7,8,8,0
920961,Helictotrichon pratense,p,hc,h,2.9,14.6,986,7,7,4,7,2,0
920962,Helictotrichon pubescens,p,hc,h,3.5,14.6,1038,"6, 7",7,4,7,3,0
920963,Helleborus foetidus,p,Ch,h,3.7,16.0,806,"1, 3",5,4,8,3,0
920964,Helleborus viridis,p,hc,h,3.5,15.8,805,"1, 3",3,5,8,6,0
920966,Heracleum mantegazzianum,b,hc,h,3.6,15.2,876,"3, 14, 17",7,6,6,8,0
920968,Heracleum sphondylium,b,hc,h,3.6,14.5,1088,"3, 6",7,5,7,7,0
920969,Herminium monorchis,p,Gn,h,3.6,16.2,770,7,8,5,8,2,0
920971,Herniaria ciliolata,p,Ch,h,6.5,16.2,887,18,9,4,5,1,2
920973,Herniaria glabra,b,hc,h,3.2,16.1,624,8,8,5,6,2,0
920975,Hesperis matronalis,p,hc,h,3.6,14.8,969,"3, 17",7,7,7,7,0
920977,Hierochloe odorata,p,hc,h,3.4,13.5,1092,"11, 13",6,9,7,2,0
920978,Himantoglossum hircinum,p,Gn,h,3.8,16.3,728,"3, 7, 16",7,3,9,2,0
920979,Hippocrepis comosa,p,Ch,h,3.7,16.0,814,7,8,3,8,2,0
920980,Hippophae rhamnoides,p,Pn,w,3.9,16.0,624,19,8,5,7,5,3
920981,Hippuris vulgaris,p,Hy,h,3.5,14.7,962,"11, 13",7,10,6,4,1
920982,Hirschfeldia incana,a,Th,h,4.1,16.0,870,"3, 17",8,3,7,5,0
920983,Holcus lanatus,p,hc,h,3.5,14.4,1106,"5, 6",7,6,6,5,0
920984,Holcus mollis,p,hc,h,3.4,14.5,1101,"1, 3, 9",6,6,3,3,0
920987,Homogyne alpina,p,hc,h,-1.0,10.7,1417,"15, 16",6,6,4,2,0
920988,Honckenya peploides,p,hc,h,4.3,14.4,1130,19,9,5,7,6,3
920989,Hordelymus europaeus,p,hc,h,3.2,15.5,788,1,6,4,7,7,0
9208281,Hordeum distichon,a,Th,h,3.8,15.4,898,"3, 4",8,4,7,7,0
9204368,Hordeum distichon sens.lat.,a,Th,h,3.8,15.4,898,"3, 4",8,4,7,7,0
920990,Hordeum jubatum,p,hc,h,3.5,15.4,800,"3, 5",9,6,7,6,2
920991,Hordeum marinum,a,Th,h,4.3,16.4,720,6,9,6,8,6,4
920992,Hordeum murinum,a,Th,h,3.8,15.6,817,"3, 17",8,4,7,6,0
920993,Hordeum secalinum,p,hc,h,3.8,16.0,742,5,8,6,7,6,1
9208282,Hordeum vulgare,a,Th,h,3.8,15.6,833,"3, 4",9,4,7,7,0
920994,Hornungia petraea,a,Th,h,3.5,14.8,1161,16,9,2,8,1,0
920995,Hottonia palustris,p,Hy,h,3.6,16.0,697,13,7,11,7,5,0
920996,Humulus lupulus,p,hc,h,3.8,15.8,833,3,6,7,7,8,0
9101217,Huperzia selago,p,Ch,sw,2.7,13.2,1472,"15, 16",7,6,2,2,0
920686,Hyacinthoides hispanica,p,Gb,h,3.9,15.5,866,"1, 3, 17",5,4,6,6,0
920687,Hyacinthoides non-scripta,p,Gb,h,3.6,14.6,1092,"1, 9",5,5,5,6,0
9202291,Hydrilla verticillata,p,Hy,h,3.5,14.2,1555,13,6,12,9,3,0
920998,Hydrocharis morsus-ranae,p,Hy,h,3.9,15.8,772,13,7,11,7,7,0
9208517,Hydrocotyle ranunculoides,p,Hy,h,4.0,16.6,680,"13, 14",7,10,7,7,0
920999,Hydrocotyle vulgaris,p,hc,h,3.7,14.4,1126,11,8,8,6,3,1
9101000,Hymenophyllum tunbrigense,p,hc,h,3.8,14.0,1567,16,4,6,2,3,0
9101001,Hymenophyllum wilsonii,p,hc,h,3.1,13.1,1685,"1, 16",5,5,3,3,0
9201002,Hyoscyamus niger,b,hc,h,4.0,15.7,799,4,8,4,7,9,0
9201003,Hypericum androsaemum,p,Pn,w,4.0,14.8,1184,"1, 3",5,6,6,5,0
9201004,Hypericum calycinum,p,Ch,w,4.0,15.6,884,3,5,7,5,5,0
9202265,Hypericum canadense,a,Th,h,4.6,14.4,1252,"11, 14",8,9,2,2,0
9201008,Hypericum elodes,p,hc,h,4.2,14.8,1194,11,8,10,3,2,0
9201010,Hypericum hirsutum,p,hc,h,3.3,15.3,832,"6, 7",6,5,7,5,0
9201011,Hypericum humifusum,p,Ch,h,3.6,14.8,1085,3,7,6,4,3,0
9201012,Hypericum linariifolium,p,hc,h,5.5,15.8,1069,16,7,3,3,2,0
9201006,Hypericum maculatum,p,hc,h,3.6,15.0,1016,"1, 3, 16",6,6,5,5,0
9201013,Hypericum montanum,p,hc,h,3.8,15.6,867,"1, 3",7,4,8,2,0
9201014,Hypericum perforatum,p,hc,h,3.6,15.1,951,7,7,4,7,5,0
9201015,Hypericum pulchrum,p,hc,h,3.5,14.3,1148,"10, 16",6,5,4,3,0
9201016,Hypericum tetrapterum,p,hc,h,3.7,14.9,1025,11,7,8,6,4,0
9201017,Hypericum undulatum,p,hc,h,5.6,15.5,1152,11,8,8,4,2,0
9201018,Hypochaeris glabra,a,Th,h,4.0,15.9,754,8,8,4,4,2,0
9201019,Hypochaeris maculata,p,hc,h,3.9,16.1,710,7,8,4,8,3,0
9201020,Hypochaeris radicata,p,hc,h,3.5,14.5,1104,6,8,4,5,3,0
9201022,Iberis amara,a,Th,h,3.5,16.3,710,7,7,4,8,3,0
9201023,Ilex aquifolium,p,Ph,w,3.6,14.7,1079,1,5,5,5,5,0
9201024,Illecebrum verticillatum,a,Th,h,5.6,15.7,1062,"3, 13",8,7,3,2,0
9201025,Impatiens capensis,a,Th,h,3.7,16.2,723,"13, 14",7,9,7,6,0
9201026,Impatiens glandulifera,a,Th,h,3.7,15.1,957,14,6,8,7,7,0
9201027,Impatiens noli-tangere,a,Th,h,2.6,13.9,1833,1,4,7,7,6,0
9201028,Impatiens parviflora,a,Th,h,3.5,15.7,821,1,4,5,7,8,0
9201030,Inula conyzae,p,hc,h,3.9,15.9,821,"7, 16",7,3,8,3,0
9201031,Inula crithmoides,p,hc,h,5.1,16.1,869,18,9,6,7,5,5
9201033,Inula helenium,p,hc,h,4.0,15.1,973,"3, 17",6,6,6,5,0
9201034,Inula salicina,p,hc,h,4.7,14.9,1017,16,8,6,9,3,0
9201036,Iris foetidissima,p,hc,h,4.2,16.1,821,1,5,4,8,5,0
9201037,Iris germanica,p,hc,h,3.9,16.0,734,"3, 17",8,4,6,4,0
9201038,Iris pseudacorus,p,Gn,h,3.7,14.6,1081,11,7,9,6,6,1
9201041,Isatis tinctoria,b,hc,h,3.8,16.0,733,"3, 16",8,3,8,3,0
9101043,Isoetes echinospora,p,Hy,h,3.2,13.0,1613,13,7,12,5,2,0
9101044,Isoetes histrix,p,hc,h,6.6,16.2,829,16,8,7,5,1,0
9101045,Isoetes lacustris,p,Hy,h,2.8,12.9,1660,13,7,12,4,1,0
9201046,Isolepis cernua,a,Th,h,4.8,14.8,1181,11,8,8,5,3,0
9201047,Isolepis setacea,a,Th,h,3.5,14.4,1149,"11, 14",7,9,5,3,0
9201048,Jasione montana,b,hc,h,4.0,14.8,1152,"8, 10",7,4,4,2,0
9201049,Juglans regia,p,Ph,w,3.7,15.9,779,"1, 3",6,4,8,7,0
9201050,Juncus acutiflorus,p,hc,h,3.5,14.5,1115,11,8,8,4,2,0
9201052,Juncus acutus,p,hc,h,5.4,15.7,1031,19,9,8,7,3,3
9201053,Juncus alpinoarticulatus,p,hc,h,0.7,12.1,1477,11,9,9,7,2,0
9201057.1,Juncus ambiguus,a,Th,h,4.4,14.9,999,"19, 21",9,8,7,5,4
9201054,Juncus articulatus,p,hc,h,3.5,14.4,1108,11,8,9,6,3,1
9201055,Juncus balticus,p,Gn,h,3.3,13.1,1012,19,8,8,5,2,1
9201056,Juncus biglumis,p,hc,h,0.5,11.4,2194,"11, 15",9,9,8,2,0
9201057.2,Juncus bufonius,a,Th,h,3.6,14.6,1102,"3, 11, 13, 14",7,7,6,5,1
9201057,Juncus bufonius sens.lat.,a,Th,h,3.5,14.5,1105,"3, 11, 13, 14",7,7,6,5,1
9201058,Juncus bulbosus,p,hc,h,3.5,14.2,1180,14,7,10,4,2,0
9201060,Juncus capitatus,a,Th,h,6.3,16.1,889,10,8,6,5,1,0
9201061,Juncus castaneus,p,hc,h,0.1,11.2,2291,15,8,8,7,3,0
9201062,Juncus compressus,p,Gn,h,3.6,15.9,746,"6, 11",8,8,7,5,1
9201063,Juncus conglomeratus,p,hc,h,3.5,14.4,1117,11,7,7,4,3,0
9201067,Juncus effusus,p,hc,h,3.5,14.4,1108,"8, 11",7,7,4,4,0
9201068,Juncus filiformis,p,hc,h,2.3,13.6,1530,13,7,9,6,4,0
9201057.3,Juncus foliosus,a,Th,h,4.3,14.7,1241,"11, 13",8,8,6,6,0
9201069,Juncus gerardii,p,hc,h,4.2,14.4,1174,21,8,7,7,6,3
9201070,Juncus inflexus,p,hc,h,3.8,15.2,925,"6, 11",7,7,7,5,1
9201072,Juncus maritimus,p,Gn,h,4.7,15.1,1081,21,8,8,8,5,5
9201073,Juncus pygmaeus,a,Th,h,6.7,15.9,965,3,9,7,4,2,0
9201075,Juncus squarrosus,p,hc,h,3.1,13.8,1254,"8, 12",7,7,2,2,0
9201076,Juncus subnodulosus,p,hc,h,3.9,15.5,838,11,8,9,8,4,0
9201077,Juncus tenuis,p,hc,h,3.6,14.6,1267,"1, 3, 13",7,7,5,4,0
9201078,Juncus trifidus,p,hc,h,1.0,11.5,2162,15,8,5,2,2,0
9201079,Juncus triglumis,p,hc,h,0.9,11.8,2085,"11, 16",8,9,6,2,0
9201080,Juniperus communis,p,Ph,w,2.8,13.4,1380,"7, 10, 15, 16",8,5,5,3,0
9201082,Kickxia elatine,a,Th,h,4.1,16.0,813,4,7,4,6,5,0
9201083,Kickxia spuria,a,Th,h,3.9,16.2,737,4,7,4,7,5,0
9201084,Knautia arvensis,p,hc,h,3.8,15.2,919,"6, 7",7,3,8,4,0
9201085,Kobresia simpliciuscula,p,hc,h,-0.1,11.5,2044,"11, 15",8,8,8,1,0
9201087,Koeleria macrantha,p,hc,h,3.7,14.7,989,7,8,4,7,2,0
9201088,Koeleria vallesiana,p,hc,h,4.5,16.4,868,7,8,1,8,1,0
9201089,Koenigia islandica,a,Th,h,3.4,12.5,2175,"11, 16",8,9,6,1,0
9201091,Laburnum anagyroides,p,Ph,w,3.4,15.2,884,"3, 17",6,5,7,7,0
9201092,Lactuca saligna,a,Th,h,4.0,16.7,601,19,8,4,7,6,3
9201094,Lactuca serriola,a,hc,h,3.7,16.1,741,"3, 17",8,5,7,6,0
9201095,Lactuca virosa,b,hc,h,3.6,16.0,693,"3, 16",8,4,7,7,0
