SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names
72,2,9204446,8,2,2,Quercus seedling/sp
72,3,9204445,3,1,2,Betula seedling/sp
72,3,9204446,3,1,2,Quercus seedling/sp
72,3,9204445,4,1,2,Betula seedling/sp
72,3,9204445,5,1,2,Betula seedling/sp
72,3,9204446,7,1,2,Quercus seedling/sp
72,3,9204446,8,2,2,Quercus seedling/sp
72,3,920810,12,1,2,Fagus sylvatica
72,4,9201614,1,2,2,Prunus domestica
72,4,9201960,1,6,2,Sorbus aucuparia
72,4,9204445,1,6,2,Betula seedling/sp
72,4,9204446,1,12,2,Quercus seedling/sp
72,4,9204445,4,3,2,Betula seedling/sp
72,4,9204445,5,2,2,Betula seedling/sp
72,5,9204446,2,2,2,Quercus seedling/sp
72,5,9204445,3,1,2,Betula seedling/sp
72,5,9204446,3,1,2,Quercus seedling/sp
72,5,9204446,4,2,2,Quercus seedling/sp
72,5,9204445,5,2,2,Betula seedling/sp
72,5,9204446,5,2,2,Quercus seedling/sp
72,5,9204446,6,1,2,Quercus seedling/sp
72,5,9204446,8,1,2,Quercus seedling/sp
72,6,920557,1,2,2,Corylus avellana
72,6,920557,2,16,2,Corylus avellana
72,6,920841,3,1,2,Fraxinus excelsior (c)
72,6,9204445,3,1,2,Betula seedling/sp
72,6,920557,3,2,2,Corylus avellana
72,6,9204446,5,1,2,Quercus seedling/sp
72,6,9204446,6,1,2,Quercus seedling/sp
72,6,920841,7,2,2,Fraxinus excelsior (c)
72,7,9204446,2,1,2,Quercus seedling/sp
72,7,9204445,3,2,2,Betula seedling/sp
72,7,9204445,4,1,2,Betula seedling/sp
72,7,9204446,4,1,2,Quercus seedling/sp
72,7,920841,5,1,2,Fraxinus excelsior (c)
72,7,9204446,5,1,2,Quercus seedling/sp
72,7,9204446,6,1,2,Quercus seedling/sp
72,7,9204446,8,2,2,Quercus seedling/sp
72,8,9204446,7,1,2,Quercus seedling/sp
72,8,9204446,10,1,2,Quercus seedling/sp
72,9,920841,6,1,2,Fraxinus excelsior (c)
72,9,9204446,7,1,2,Quercus seedling/sp
72,9,9204445,8,1,2,Betula seedling/sp
72,9,9204446,9,1,2,Quercus seedling/sp
72,9,9204446,10,1,2,Quercus seedling/sp
72,10,9204445,5,1,2,Betula seedling/sp
72,10,9204446,6,2,2,Quercus seedling/sp
72,10,9204446,7,4,2,Quercus seedling/sp
72,10,9204446,9,1,2,Quercus seedling/sp
72,11,9204445,3,2,2,Betula seedling/sp
72,11,9204445,4,1,2,Betula seedling/sp
72,11,9204445,5,1,2,Betula seedling/sp
72,11,9204446,8,3,2,Quercus seedling/sp
