Site,Plot,alpha,cover,allelos,lba,som,pH,amtrees,amcover,nvc,ms,flag
56,7,10,99.5,1,1.886919088,7.898629,5.741,212.0575041,6,OV27,am,o
56,8,8,78,1,1.366592804,9.213167,6.048,145.2986602,6,OV27,am,o
56,9,4,98,0,1.070104998,15.88832,4.389,62.83185307,5,W16,em,t
56,10,14,97.5,2,0.979784209,16.53166,4.349,109.9557429,23,W10,em,t
56,11,9,20,0,2.42884382,12.68365,4.209,145.2986602,3,W14,em,t
56,12,17,76.5,2,0.860010989,13.04162,4.277,94.24777961,25,W10,em,t
56,13,20,91.5,2,2.452405765,10.83969,4.815,341.6482011,4,W10,em,t
56,14,27,95,5,1.070104998,7.683284,4.344,282.7433388,4,W10,em,t
56,15,16,78.5,1,2.827433388,16.61802,4.119,0,6,W10,em,t
56,16,11,87.5,1,0.606720081,12.58904,4.494,0,5,OV27,am,o
57,1,11,58,5,1.99687483,6.210756,4.471,161.0066235,31,W8,am,t
57,2,14,73.5,0,0.486946861,8.624258,6.177,0,40,W8,am,t
57,3,16,92.5,1,1.812306262,11.71894,6.683,106.0287521,11,W8,am,t
57,4,12,62,1,5.464407722,9.490909,4.421,109.9557429,52,W10,em,t
57,5,10,67,,2.684098223,13.92982,6.042,522.2897787,,W6,d,w
57,6,16,36.5,0,3.259402378,8.655044,5.741,23.5619449,10,W8,am,t
57,7,13,98,,,9.281011,6.417,,,MG7,am,o
57,8,11,38,7,1.10348442,2.666381,6.757,255.2544031,50,W21,am,o
57,9,16,94,0,0.657770962,8.499508,5.857,125.6637061,32,W6,d,w
57,10,19,128.5,2,1.392118245,8.083286,5.7,176.7145868,1,W8,am,t
57,11,7,111,,,7.067977,6.123,,,OV20,am,o
57,13,13,82,,1.690569547,3.326209,6.642,70.68583471,,W6,d,w
57,14,10,81,1,1.34695785,6.265377,5.203,98.17477042,3,W10,em,t
57,15,15,98,2,2.083268628,8.120506,5.694,270.9623664,10,OV27,am,o
57,16,17,103,3,2.269800692,7.774208,4.676,341.6482011,22,W8,am,t
58,1,21,63.5,0,2.293362637,8.500345,5.302,0,3,W6,d,w
58,2,17,65,0,2.424916829,12.74995,6.267,31.41592654,2,W10,em,t
58,3,9,95.5,0,3.151410131,11.92152,4.268,0,1,W10,em,t
58,4,14,57.5,0,0.023561945,15.27134,4.883,11.78097245,4,W4,em,t
58,5,10,78,0,2.206968839,8.955403,5.353,35.34291735,5,W10,em,t
58,6,12,53.5,0,1.317505419,10.25382,4.472,27.48893572,3,W16,em,t
58,7,16,90,5,2.454369261,31.87524,4.118,365.210146,5,W7,am,t
58,8,11,61,0,2.542726554,16.90868,4.562,0,6,W10,em,t
58,9,13,97.5,0,3.375248607,19.82657,4.651,0,2,W16,em,t
58,10,6,29.5,0,3.881830423,50.28635,3.703,58.90486225,1,W16,em,t
58,11,9,103,0,1.405862712,12.57123,4.198,0,0,W10,em,t
58,12,12,77.5,0,3.765984193,18.45561,4.244,0,6,OV27,am,o
58,13,14,26,3,2.464186738,55.35629,5.681,43.19689899,152,W7,am,t
58,14,9,55,0,1.784817326,15.4026,4.196,227.7654674,4,W10,em,t
58,15,24,66,0,0.571377164,16.64604,5.135,0,57,W6,d,w
58,16,14,30.5,0,,9.669903,6.481,,4,OV27,am,o
59,2,24,105.5,,,6.057446,5.617,,,MG10,am,o
59,3,22,79.5,0,0.657770962,4.210273,5.38,0,11,W10,em,t
59,4,19,27.5,0,0.070685835,23.10984,4.9,0,0,W4,em,t
59,5,31,90,0,1.105447915,59.06256,4.762,0,2,W4,em,t
59,6,17,73,4,0.948368282,17.33269,4.812,62.83185307,11,W6,d,w
