Site,Plot,Nest,cover,Amalgams,Yr
2,7,1,50.0,92046.0,1
2,7,3,100.0,920183.0,1
2,7,1,5.0,920404.0,1
2,7,2,50.0,920421.0,1
2,7,3,50.0,920444.0,1
2,7,2,5.0,920477.0,1
2,7,1,100.0,920513.0,1
2,7,1,50.0,920520.0,1
2,7,4,50.0,920569.0,1
2,7,2,100.0,920627.0,1
2,7,5,50.0,920640.0,1
2,7,1,100.0,920695.0,1
2,7,2,50.0,920838.0,1
2,7,2,50.0,920841.0,1
2,7,2,100.0,920873.0,1
2,7,2,100.0,920882.0,1
2,7,2,50.0,920918.0,1
2,7,1,100.0,920925.0,1
2,7,3,50.0,920931.0,1
2,7,2,100.0,920952.0,1
2,7,3,50.0,920983.0,1
2,7,1,50.0,9201014.0,1
2,7,1,10.0,9201067.0,1
2,7,2,100.0,9201188.0,1
2,7,1,50.0,9201207.0,1
2,7,1,50.0,9201210.0,1
2,7,1,50.0,9201225.0,1
2,7,1,100.0,9201413.0,1
2,7,1,50.0,9201660.0,1
2,7,1,50.0,9201705.0,1
2,7,1,25.0,9201728.0,1
2,7,1,100.0,9201748.0,1
2,7,3,100.0,9201819.0,1
2,7,3,50.0,9201867.0,1
2,7,2,50.0,9201947.0,1
2,7,1,100.0,9202005.0,1
2,7,2,100.0,9204445.0,1
2,7,3,100.0,200001593.0,1
2,7,2,100.0,200001595.0,1
2,8,2,100.0,92046.0,1
2,8,4,50.0,910665.0,1
2,8,1,5.0,920513.0,1
2,8,2,50.0,920705.0,1
2,8,2,50.0,920841.0,1
2,8,1,25.0,920952.0,1
2,8,2,50.0,9201023.0,1
2,8,1,5.0,9201188.0,1
2,8,1,50.0,9201207.0,1
2,8,2,50.0,9201291.0,1
2,8,2,50.0,9201413.0,1
2,8,5,100.0,9201694.0,1
2,8,5,100.0,9201696.0,1
2,8,2,50.0,9201705.0,1
2,8,1,5.0,9201728.0,1
2,8,1,15.0,9201819.0,1
2,8,2,100.0,9201951.0,1
2,8,5,50.0,9202173.0,1
2,8,2,100.0,200001595.0,1
2,9,1,100.0,920309.0,1
2,9,3,50.0,920477.0,1
2,9,1,100.0,920628.0,1
2,9,1,80.0,9101619.0,1
2,9,1,100.0,9201728.0,1
2,9,2,50.0,9201960.0,1
2,9,2,50.0,9202136.0,1
2,9,2,50.0,9204445.0,1
2,10,5,50.0,920309.0,1
2,10,4,50.0,920432.0,1
2,10,2,50.0,920628.0,1
2,10,1,15.0,9101619.0,1
2,10,1,40.0,9201188.0,1
2,10,1,5.0,9201728.0,1
2,10,1,50.0,9204445.0,1
2,10,2,50.0,9204446.0,1
2,11,3,100.0,92040.0,1
2,11,5,50.0,910244.0,1
2,11,1,100.0,920628.0,1
2,11,1,5.0,920952.0,1
2,11,1,40.0,9101619.0,1
2,11,4,50.0,9201023.0,1
2,11,1,5.0,9201188.0,1
2,11,1,60.0,9201728.0,1
2,11,5,50.0,9201729.0,1
2,11,2,50.0,9201960.0,1
2,12,3,50.0,92040.0,1
2,12,2,50.0,920432.0,1
2,12,2,50.0,920627.0,1
2,12,2,50.0,920628.0,1
2,12,3,100.0,920687.0,1
2,12,4,50.0,920918.0,1
2,12,1,100.0,920952.0,1
2,12,1,50.0,9101619.0,1
2,12,1,50.0,9201023.0,1
2,12,1,100.0,9201188.0,1
2,12,4,50.0,9201207.0,1
2,12,4,50.0,9201413.0,1
2,12,1,30.0,9201728.0,1
2,12,2,50.0,9201951.0,1
2,13,4,50.0,920183.0,1
2,13,4,5.0,920628.0,1
2,13,4,50.0,920695.0,1
2,13,1,85.0,9101619.0,1
2,13,1,50.0,9201023.0,1
2,13,1,5.0,9201188.0,1
2,13,3,100.0,9201307.0,1
2,13,3,50.0,9202136.0,1
2,13,5,50.0,9202560.0,1
2,14,2,50.0,920952.0,1
2,14,1,60.0,9101619.0,1
2,14,2,50.0,9201023.0,1
2,14,1,100.0,9201188.0,1
