BRC names,BRC number,Woody
Barbarea stricta,920227,
Barbarea verna,920228,
Barbarea vulgaris,920229,
Barbilophozia atlantica,810692,
Barbilophozia attenuata,810693,
Barbilophozia barbata,810694,
Barbilophozia floerkei,810695,
Barbilophozia hatcheri,810696,
Barbilophozia kunzeana,810697,
Barbilophozia lycopodioides,810698,
Barbilophozia quadriloba,810699,
Barbilophozia sp.,200001452,
Barbula acuta,82044,
Barbula convoluta,82045,
Barbula convoluta var.commutata,82045,
Barbula cordata,82046,
Barbula cylindrica,82047,
Barbula fallax,82048,
Barbula ferruginascens,82049,
Barbula glauca,82050,
Barbula hornschuchiana,82051,
Barbula icmadophila,82052,
Barbula mamillosa,820657,
Barbula maxima,82055,
Barbula nicholsonii,82053,
Barbula recurvirostra,82054,
Barbula reflexa,82055,
Barbula revoluta,82056,
Barbula rigidula,82057,
Barbula sinuosa,820627,
Barbula sp,200001005,
Barbula sp.,8201098,
Barbula spadicea,82059,
Barbula tophacea,82060,
Barbula trifaria,82061,
Barbula unguiculata,82062,
Barbula vinealis,82063,
Bare ground/litter/water/rock/mud,20000887,
Bartramia halleriana,82064,
Bartramia ithyphylla,82065,
Bartramia pomiformis,82066,
Bartramia stricta,82067,
Bartramidula wilsonii,82068,
Bartsia alpina,920230,
Bazzania pearsonii,810700,
Bazzania sp,200001088,
Bazzania tricrenata,810701,
Bazzania trilobata,810702,
Beet (cultivated),920235,
Bellis perennis,920231,
Berberis sp.,9204741,
Berberis vulgaris,920232,
Berteroa incana,920233,
Berula erecta,920234,
Beta spp.,9204744,
Beta vulgaris,920235,
Beta vulgaris subsp.maritima,920235,
Betula nana,920238,
Betula pendula,920239,
Betula pubescens,920240,
Betula pubescens subsp.tortuosa,920240,
Betula seedling/sp,9204445,
Bidens cernua,920241,
Bidens frondosa,9202652,
Bidens sp.,9204745,
Bidens tripartita,920242,
Blackstonia perfoliata,920243,
Blasia pusilla,810703,
Blechnum spicant,910244,
Blepharostoma trichophyllum,810704,
Blindia acuta,82069,
Blindia caespiticia,82070,
Blue-green algae,23,
Blysmus compressus,920245,
Blysmus rufus,920246,
Bolboschoenus maritimus,9201860,
Borago officinalis,920247,
Bostrychia scorpioides,71415501,
Botrychium lunaria,910248,
Brachydontium trichodes,82071,
Brachypodium pinnatum,920249,
Brachypodium sp.,200001609,
Brachypodium sylvaticum,920250,
Brachythecium albicans,82072,
Brachythecium erythrorrhizon,82073,
Brachythecium glaciale,82074,
Brachythecium glareosum,82075,
Brachythecium mildeanum,82076,
Brachythecium plumosum,82077,
Brachythecium populeum,82078,
Brachythecium reflexum,82079,
Brachythecium rivulare,82080,
Brachythecium rutabulum,82081,
Brachythecium salebrosum,82082,
Brachythecium sp.,8201103,
Brachythecium starkei,82083,
Brachythecium velutinum,82084,
Brassica fruticulosa,9207841,
Brassica napus,920251,
Brassica nigra,920252,
Brassica oleracea (cultivated),920253,
Brassica rapa,920254,
Brassica sp.,9204750,
Breutelia chrysocoma,82085,
Briza maxima,920255,
Briza media,920256,
Briza minor,920257,
Bromopsis benekenii,920259,
Bromopsis erecta,920263,
Bromopsis inermis,920265,
Bromopsis ramosa,920272,
Bromus arvensis,920258,
Bromus commutatus,920262,
Bromus hordeaceus,920269,
Bromus hordeaceus subsp.ferronii,920264,
Bromus hordeaceus subsp.thominei,920275,
Bromus interruptus,920266,
Bromus lepidus,920268,
Bromus pseudosecalinus,9202382,
Bromus racemosus,920271,
Bromus secalinus,920273,
Bromus sp.,9204752,
Bryonia dioica,920276,
Bryophyte sp.,2500,
Bryum algovicum,820112,
Bryum alpinum,82087,
Bryum arcticum,82088,
Bryum argenteum,82089,
Bryum argenteum var.lanatum,82089,
Bryum bicolor sens.lat.,82090,
Bryum bornholmense,820658,
Bryum caespiticium,82091,
Bryum calophyllum,82092,
Bryum canariense,82093,
Bryum capillare,82094,
Bryum capillare var.rufifolium,820116,
Bryum creberrimum,82086,
Bryum cyclophyllum,820119,
Bryum dixonii,82095,
Bryum donianum,82096,
Bryum dunense,820659,
Bryum elegans,820660,
Bryum flaccidum,820661,
Bryum gemmiferum,820662,
Bryum gemmilucens,820663,
Bryum gemmiparum,82098,
Bryum inclinatum,82099,
Bryum intermedium,820100,
Bryum klinggraeffii,820664,
Bryum knowltonii,820101,
Bryum mamillatum,820103,
Bryum marratii,820104,
Bryum microerythrocarpum,820665,
Bryum mildeanum,820105,
Bryum muehlenbeckii,820106,
Bryum neodamense,820108,
Bryum pallens,820110,
Bryum pallescens,820111,
Bryum pseudotriquetrum,820113,
Bryum radiculosum,820107,
Bryum riparium,820666,
Bryum rubens,820115,
Bryum ruderale,820667,
Bryum salinum,820117,
Bryum sauteri,820668,
Bryum schleicheri,820118,
Bryum sp.,8201106,
Bryum stirtonii,820669,
Bryum tenuisetum,820670,
Bryum torquescens,820671,
Bryum turbinatum,820120,
Bryum uliginosum,820121,
Bryum violaceum,820672,
Bryum warneum,820122,
Bryum weigelii,820123,
Buddleja davidii,920277,
Buellia epigaea,5505325,
Bunias erucago,920280,
Bunias orientalis,920281,
Bunium bulbocastanum,920282,
Bupleurum baldense,920285,
Bupleurum falcatum,920283,
Bupleurum fruticosum,920284,
Bupleurum rotundifolium,920286,
Bupleurum subovatum,9204423,
Bupleurum tenuissimum,920287,
Butomus umbellatus,920288,
Buxbaumia aphylla,820124,
Buxbaumia viridis,820125,
Buxus sempervirens,920289,
Cakile maritima,920291,
Calamagrostis canescens,920292,
Calamagrostis epigejos,920293,
Calamagrostis purpurea,9202646,
Calamagrostis scotica,920295,
Calamagrostis sp.,200001610,
Calamagrostis stricta,920294,
Calamintha sp.,9204811,
Calendula officinalis,920300,
Calla palustris,920301,
Calliergon cordifolium,8203,
Calliergon cuspidatum,8204,
Calliergon giganteum,8205,
Calliergon sarmentosum,8206,
Calliergon sp,20000861,
Calliergon stramineum,8207,
Calliergon trifarium,8208,
Callitriche brutia,920303,
Callitriche hamulata sens.lat.,920303,
Callitriche hamulata sens.str.,920303,
Callitriche hermaphroditica,920302,
Callitriche obtusangula,920304,
Callitriche platycarpa,920307,
Callitriche seedling/sp,9202249,
Callitriche stagnalis sens.lat.,920307,
Callitriche truncata,920308,
Calluna vulgaris,920309,
Caltha palustris,920310,
Caltha palustris ssp.minor,920310,
Calypogeia arguta,810705,
Calypogeia azurea,810711,
Calypogeia fissa,810706,
Calypogeia integristipula,810708,
Calypogeia muelleriana,810707,
Calypogeia neesiana sens.lat.,810708,
Calypogeia sp,200001087,
Calypogeia sp.,8101275,
Calypogeia sphagnicola,810709,
Calypogeia suecica,810710,
Calystegia pulchra,9202266,
Calystegia sepium,920311,
Calystegia silvatica,920313,
Calystegia soldanella,920312,
Calystegia sp.,200001581,
Camelina macrocarpa,9205421,
Camelina microcarpa,9202567,
Camelina sativa,9204352,
Campanula glomerata,920315,
Campanula latifolia,920316,
Campanula medium,920317,
Campanula patula,920318,
Campanula persicifolia,920319,
Campanula rapunculoides,920320,
Campanula rapunculus,920321,
Campanula rotundifolia,920322,
Campanula sp.,9204768,
Campanula trachelium,920323,
Campylium calcareum,820135,
Campylium chrysophyllum,820129,
Campylium elodes,820130,
Campylium halleri,820131,
Campylium polygamum,820133,
Campylium sp,200001029,
Campylium sp.,8201109,
Campylium stellatum,8201078,
Campylium stellatum var.protensum,820134,
Campylopus atrovirens,820137,
Campylopus brevipilus,820138,
Campylopus fragilis,820140,
Campylopus introflexus,820141,
