,BRC,species,preneation,life form,woodiness,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S,ms,flag
613,920307,Callitriche stagnalis sens.lat.,a,Hz,h,3.5,14.4,1105,"11, 13, 14",6,10,6,6,0,,0
177,920528,Clematis vitalba,p,Ph,ws,4,16,815,3,6,4,8,5,0,am,0
232,920310,Caltha palustris,p,hc,h,3.4,14.4,1111,11,7,9,6,4,0,,0
740,810706,Calypogeia fissa,p,liverwort,liverwort,,,,,,,,,,,0
775,8101275,Calypogeia sp.,p,liverwort,liverwort,,,,,,,,,,,0
528,920311,Calystegia sepium,p,Gn,h,3.8,14.9,1021,"11, 14",7,8,7,7,1,,0
219,920315,Campanula glomerata,p,hc,h,3.4,15.8,737,7,8,4,7,3,0,,0
220,920316,Campanula latifolia,p,hc,h,2.9,14.6,914,1,4,5,7,6,0,,0
316,920322,Campanula rotundifolia,p,hc,h,3.2,14.4,1104,7,7,4,5,2,0,,0
181,920323,Campanula trachelium,p,hc,h,3.6,16,753,1,4,5,7,6,0,,0
484,820141,Campylopus introflexus,p,moss,moss,,,,,,,,,,,0
589,8201110,Campylopus sp.,p,moss,moss,,,,,,,,,,,0
158,920325,Capsella bursa-pastoris,a,Th,h,3.6,14.6,1073,"4, 17",7,5,7,7,0,,0
644,920327,Cardamine amara,p,hc,h,2.9,14.7,943,"1, 14",6,9,7,6,0,,0
101,920328,Cardamine flexuosa,p,hc,h,3.5,14.5,1110,1,5,7,6,6,0,,0
102,2000070,Cardamine hirsuta/flexuosa,p,hc,h,,,,,,,,,,,0
245,920331,Cardamine pratensis,p,hc,h,3.5,14.4,1104,"6, 11",7,8,5,4,0,,0
273,920335,Carduus crispus,b,hc,h,3.5,15.4,832,3,7,4,8,7,0,,0
686,920340,Carex acuta,p,hc,h,3.5,15.5,830,11,7,9,7,5,0,,0
341,920350,Carex binervis,p,hc,h,3.3,14,1243,"8, 10, 16",7,6,3,2,0,,0
197,920355,Carex caryophyllea,p,hc,h,3.4,14.7,1079,7,7,4,7,2,0,,0
776,920359,Carex curta,p,hc,h,2.7,13.6,1303,11,8,9,3,2,0,,0
709,920364,Carex digitata,p,hc,h,3.3,15.5,859,"1, 16",5,5,8,4,0,,0
461,920366,Carex distans,p,hc,h,4.3,15,1039,21,8,6,7,5,3,,0
255,920370,Carex echinata,p,hc,h,3.4,14.1,1207,"11, 12, 14",8,8,3,2,0,,0
307,920376,Carex flacca,p,hc,h,3.5,14.5,1104,"7, 11",7,5,6,2,0,,0
498,920381,Carex hirta,p,hc,h,3.7,15,963,6,7,7,7,6,0,,0
456,920385,Carex laevigata,p,hc,h,3.6,14.4,1240,"1, 16",5,8,5,4,0,,0
342,920393,Carex nigra,p,hc,h,3.5,14.3,1131,11,7,8,4,2,0,,0
361,920397,Carex ovalis,p,hc,h,3.4,14.3,1138,"3, 10",7,7,5,4,0,,0
392,920399,Carex pallescens,p,hc,h,3,14.2,1236,1,6,6,5,4,0,,0
