,species,mycorrhiza
293,Acacia myrtifolia,EcM
294,Acacia myrtifolia,non-EcM
295,Acacia myrtifolia,non-EcM
296,Acacia notabilis,non-EcM
297,Acacia obtusifolia,dual
298,Acacia oncinocarpa,dual
299,Acacia oncinocarpa,dual
300,Acacia oncinocarpa,AM
301,Acacia oncinocarpa,AM
302,Acacia oncinocarpa,AM
303,Acacia oncinocarpa,AM
304,Acacia pellita,dual
305,Acacia platycarpa,EcM
306,Acacia platycarpa,AM
307,Acacia platycarpa,EcM
308,Acacia plectocarpa,dual
309,Acacia plectocarpa,dual
310,Acacia plectocarpa,AM
311,Acacia plectocarpa,EcM
312,Acacia pravissima,EcM
313,Acacia pulchella,AM
314,Acacia pulchella,AM
315,Acacia pulchella,AM
316,Acacia pulchella,AM
317,Acacia pulchella,AM
318,Acacia pulchella,AM
319,Acacia pulchella,dual
320,Acacia pycnantha,AM
321,Acacia pycnantha,AM
322,Acacia pycnantha,EcM
323,Acacia pycnantha,EcM
324,Acacia pyrifolia,AM
325,Acacia pyrifolia,AM
326,Acacia pyrifolia,AM
327,Acacia retinodes,EcM
328,Acacia retinodes,EcM
329,Acacia retinodes,EcM
330,Acacia retinodes,EcM
331,Acacia retinodes,non-EcM
332,Acacia retivenea,dual
333,Acacia rhodoxylon,dual
334,Acacia rhodoxylon,dual
335,Acacia richii,AM
336,Acacia richii,AM
337,Acacia rigens,dual
338,Acacia rothii,dual
339,Acacia rothii,dual
340,Acacia rubida,EcM
341,Acacia rubida,EcM
342,Acacia rubida,EcM
343,Acacia salicina,AM
344,Acacia salicina,EcM
345,Acacia salicina,EcM
346,Acacia salicina,EcM
347,Acacia saligna,AM
348,Acacia saligna,AM
349,Acacia saligna,AM
350,Acacia saligna,AM
351,Acacia saligna,AM
352,Acacia saligna,AM
353,Acacia saligna,AM
354,Acacia saligna,AM
355,Acacia simsii,dual
356,Acacia simsii,dual
357,Acacia sophorae,EcM
358,Acacia sophorae,EcM
359,Acacia sophorae,EcM
360,Acacia sparsiflora,EcM
361,Acacia sparsiflora,EcM
362,Acacia spathulifolia,AM
363,Acacia spinescens,AM
364,Acacia spirorbis,EcM
365,Acacia stenophylla,AM
366,Acacia stricta,dual
367,Acacia stricta,dual
368,Acacia suaveolens,AM
369,Acacia suaveolens,AM
370,Acacia suaveolens,dual
371,Acacia torulosa,AM
372,Acacia torulosa,AM
373,Acacia torulosa,AM
374,Acacia torulosa,AM
375,Acacia torulosa,dual
376,Acacia trachycarpa,dual
377,Acacia translucens,dual
378,Acacia tropica,AM
379,Acacia tumida,AM
380,Acacia tumida,AM
381,Acacia ulicifolia,dual
382,Acacia urophylla,AM
383,Acacia urophylla,AM
384,Acacia verniciflua,AM
385,Acacia verticillata,EcM
386,Acacia verticillata,EcM
387,Acacia verticillata,EcM
388,Acacia yirrkallensis,AM
389,Acacia yirrkallensis,AM
390,Acacia yirrkallensis,AM
391,Acaena ,nm
392,Acaena ,AM
