Site,Plot,Yr,Amalgams,cover
10,6,1,9201728.0,0.5
10,7,1,9201728.0,1.0
10,7,2,9201023.0,0.5
10,8,1,9201728.0,60.0
10,8,2,9201728.0,0.5
10,9,1,9201728.0,40.0
10,9,2,9201728.0,0.5
10,10,1,9201728.0,1.0
10,10,2,9201023.0,0.5
10,10,2,9201728.0,0.5
10,11,1,9201728.0,0.5
10,12,1,9201728.0,5.0
10,12,2,9201728.0,0.5
10,13,1,9201728.0,10.0
10,13,2,9201728.0,0.5
10,14,1,9201728.0,50.0
10,14,2,9201728.0,0.5
10,15,1,9201728.0,30.5
10,15,2,9201728.0,0.5
10,16,1,9201728.0,80.0
11,1,1,9201728.0,10.0
11,1,2,9201728.0,40.0
11,2,1,9201728.0,30.0
11,2,2,9201728.0,10.0
11,3,1,9201728.0,70.0
11,3,2,9201728.0,0.5
11,4,1,9201728.0,20.0
11,4,2,9201728.0,60.0
11,5,1,9201728.0,1.0
11,5,2,9201728.0,30.0
11,6,1,9201728.0,20.0
11,6,2,9201728.0,90.0
11,7,1,9201728.0,10.0
11,7,2,9201728.0,50.0
11,8,1,9201728.0,70.0
11,8,2,9201728.0,80.0
11,9,1,9201728.0,85.0
11,9,2,9201728.0,90.0
11,10,1,9201728.0,45.0
11,10,2,9201728.0,85.0
11,11,1,9201728.0,75.0
11,11,2,9201728.0,90.0
11,12,1,9201728.0,75.0
11,12,2,9201728.0,75.0
11,13,1,9201728.0,60.0
11,13,2,9201728.0,90.0
11,14,1,9201728.0,60.0
11,14,2,9201728.0,40.0
11,15,1,9201728.0,30.0
11,15,2,9201728.0,90.0
11,16,1,9201728.0,25.0
11,16,2,9201728.0,60.0
12,1,1,9201728.0,5.0
12,1,2,9201023.0,0.5
12,1,2,9201728.0,10.0
12,2,1,9201728.0,10.0
12,3,1,9201728.0,5.0
12,4,1,9201728.0,5.0
12,4,2,9201728.0,10.0
12,5,1,9201728.0,15.0
12,5,2,9201728.0,10.0
12,6,1,9201728.0,10.0
12,6,2,9201728.0,0.5
12,7,1,9201728.0,5.0
12,7,2,9201815.0,0.5
12,8,1,9201728.0,5.0
12,8,2,9201728.0,1.0
12,9,1,9201728.0,0.5
12,9,2,9201728.0,0.5
12,10,1,9201023.0,0.5
12,10,1,9201728.0,10.0
12,10,2,9201023.0,0.5
12,10,2,9201728.0,1.0
12,11,1,9201728.0,10.0
12,11,2,9201728.0,5.0
12,11,2,9201815.0,0.5
12,12,1,9201023.0,0.5
12,12,1,9201728.0,5.0
12,12,2,9201728.0,5.0
12,13,1,9201023.0,0.5
12,13,1,9201728.0,5.0
12,13,2,9201728.0,1.0
12,14,1,9201023.0,0.5
12,14,1,9201728.0,10.0
12,14,2,9201728.0,5.0
12,15,1,9201728.0,1.0
12,15,2,9201728.0,1.0
12,16,1,9201728.0,40.0
13,1,1,9201728.0,10.0
13,2,1,9201728.0,65.0
13,3,1,9201728.0,55.0
13,4,1,9201728.0,85.0
13,5,1,9201728.0,75.0
13,5,2,9201728.0,0.5
13,6,1,9201728.0,85.0
13,6,2,9201728.0,65.0
13,7,1,9201728.0,100.0
13,8,1,9201728.0,70.0
13,8,2,9201023.0,0.5
13,8,2,9201728.0,35.0
13,9,1,9201728.0,90.0
13,9,2,9201728.0,1.0
13,10,1,9201728.0,100.0
13,10,2,9201728.0,20.0
13,11,1,9201728.0,80.0
13,11,2,9201023.0,0.5
13,11,2,9201728.0,15.0
13,11,2,9201815.0,1.0
13,12,1,9201728.0,85.0
13,12,2,9201023.0,0.5
13,12,2,9201728.0,1.0
13,13,1,9201728.0,100.0
13,13,2,9201728.0,1.0
13,14,1,9201728.0,45.0
13,14,2,9201728.0,5.0
13,15,1,9201728.0,70.0
13,15,2,9201023.0,0.5
13,15,2,9201728.0,0.5
13,16,1,9201728.0,75.0
13,16,2,9201023.0,0.5
13,16,2,9201728.0,20.0
14,1,1,9201728.0,60.0
14,1,2,9201728.0,5.0
14,1,2,9201815.0,0.5
14,2,1,9201728.0,0.5
14,2,2,9201728.0,1.0
14,3,1,9201728.0,45.0
14,3,2,9201728.0,0.5
14,4,1,9201728.0,1.0
14,4,2,9201728.0,85.0
14,5,1,9201728.0,0.5
14,5,2,9201728.0,80.0
14,6,2,9201728.0,65.0
14,7,1,9201728.0,30.0
14,7,2,9201615.0,70.0
14,8,1,9201728.0,1.0
14,9,2,9201023.0,0.5
14,9,2,9201728.0,0.5
14,10,1,9201728.0,1.0
14,10,2,9201615.0,100.0
14,11,1,9201023.0,0.5
14,11,1,9201728.0,1.0
14,11,2,9201728.0,0.5
14,12,1,9201023.0,5.0
14,12,1,9201728.0,25.0
14,12,2,9201023.0,0.5
14,12,2,9201728.0,40.0
14,13,1,9201728.0,35.0
14,13,2,9201728.0,1.0
14,14,1,9201698.0,0.5
14,14,1,9201728.0,0.5
14,14,2,9201728.0,0.5
14,15,1,9201023.0,0.5
14,15,1,9201728.0,0.5
14,15,2,9201728.0,0.5
14,16,1,9201728.0,25.0
14,16,2,9201728.0,70.0
15,1,1,9201023.0,0.5
15,1,1,9201728.0,0.5
15,2,1,9201728.0,1.0
15,5,1,9201728.0,1.0
15,6,1,9201728.0,1.0
15,7,1,9201728.0,0.5
15,9,1,9201728.0,0.5
15,11,1,9201728.0,0.5
15,12,1,9201023.0,1.0
15,12,1,9201728.0,1.0
15,13,1,9201728.0,1.0
15,14,1,9201728.0,0.5
15,14,2,9201815.0,0.5
15,15,2,9201728.0,0.5
15,16,1,9201023.0,0.5
15,16,1,9201728.0,0.5
16,1,1,9201023.0,0.5
16,1,1,9201728.0,30.0
16,1,2,9201023.0,0.5
16,1,2,9201728.0,10.0
16,2,1,9201023.0,0.5
16,2,1,9201728.0,10.0
16,2,2,9201023.0,0.5
16,2,2,9201728.0,5.0
16,3,1,9201023.0,0.5
16,3,1,9201728.0,0.5
16,3,1,9201815.0,0.5
16,3,2,9201023.0,0.5
16,3,2,9201728.0,5.0
16,4,1,9201728.0,40.0
16,4,2,9201023.0,0.5
16,4,2,9201728.0,30.0
16,5,1,9201728.0,10.0
16,5,2,9201023.0,0.5
16,5,2,9201728.0,1.0
16,6,1,9201728.0,40.0
16,6,2,9201728.0,45.0
16,6,2,9201815.0,0.5
16,7,1,9201728.0,45.0
16,7,2,9201728.0,45.0
16,8,1,9201023.0,0.5
16,8,1,9201728.0,65.0
16,8,2,9201023.0,0.5
16,8,2,9201728.0,0.5
16,9,1,9201728.0,30.0
16,9,2,9201023.0,0.5
16,9,2,9201728.0,0.5
16,10,1,9201023.0,0.5
16,10,1,9201728.0,40.0
16,10,2,9201023.0,0.5
16,10,2,9201728.0,5.0
16,11,1,9201023.0,0.5
16,11,1,9201728.0,25.0
16,11,2,9201023.0,0.5
16,11,2,9201728.0,20.0
16,12,1,9201023.0,1.0
16,12,1,9201728.0,80.0
16,12,2,9201023.0,0.5
16,12,2,9201728.0,70.0
16,12,2,9201815.0,0.5
16,13,1,9201023.0,0.5
16,13,1,9201728.0,20.0
16,13,2,9201728.0,30.0
16,14,1,9201728.0,20.0
16,14,2,9201023.0,0.5
16,14,2,9201728.0,10.0
16,15,1,9201023.0,0.5
16,15,1,9201728.0,40.0
16,15,2,9201023.0,0.5
16,15,2,9201728.0,10.0
16,16,1,9201023.0,5.0
16,16,1,9201728.0,50.0
16,16,2,9201728.0,20.0
17,1,1,9201023.0,0.5
17,1,1,9201728.0,1.0
17,1,2,9201023.0,0.5
17,1,2,9201728.0,10.0
17,2,1,9201023.0,0.5
17,2,1,9201728.0,5.0
17,2,2,9201023.0,0.5
17,2,2,9201728.0,25.0
17,3,1,9201728.0,1.0
17,3,2,9201728.0,20.0
17,4,1,9201728.0,1.0
17,4,2,9201728.0,20.0
17,5,1,9201023.0,0.5
17,5,1,9201728.0,1.0
17,6,1,9201023.0,0.5
17,6,1,9201728.0,20.0
17,6,2,9201023.0,0.5
17,6,2,9201728.0,20.0
17,7,2,9201728.0,20.0
17,8,1,9201023.0,0.5
17,8,1,9201728.0,1.0
17,8,2,9201728.0,20.0
17,9,1,9201728.0,1.0
17,9,1,9201815.0,0.5
17,9,2,9201728.0,20.0
17,10,1,9201728.0,1.0
17,10,2,9201728.0,20.0
17,11,1,9201728.0,70.0
17,11,2,9201728.0,30.0
17,12,2,9201728.0,5.0
17,13,2,9201728.0,10.0
17,14,1,9201728.0,1.0
17,14,2,9201728.0,10.0
