SITE,PLOT,NVC,Yr
12,9,OV27,1
12,10,W10c,1
12,11,W21,1
12,12,W8d,1
12,13,W8d,1
12,14,W8d,1
12,15,W8d,1
12,16,W8d,1
13,1,W8d,1
13,2,W14,1
13,3,W21,1
13,4,W8e,1
13,5,W10,1
13,6,W10a,1
13,7,W10a,1
13,8,W10,1
13,9,W10a,1
13,10,W10a,1
13,11,OV27,1
13,12,W21a,1
13,13,W10a,1
13,14,W8d,1
13,15,W10,1
13,16,W10c,1
14,1,W10a,1
14,2,W10d,1
14,3,OV27d,1
14,4,W13,1
14,5,W15a,1
14,6,W15a,1
14,7,OV27d,1
14,8,W10a,1
14,9,W16b,1
14,10,OV27d,1
14,11,OV27d,1
14,12,W8e,1
14,13,OV27d,1
14,14,OV27d,1
14,15,W10a,1
14,16,W10a,1
15,1,W10,1
15,2,W10,1
15,3,W16b,1
15,4,OV27,1
15,5,W6e,1
15,6,W10,1
15,7,OV27,1
15,8,W10d,1
15,9,W6,1
15,10,OV27,1
15,11,W10,1
15,12,W10c,1
15,13,W10,1
15,14,W10d,1
15,15,W10d,1
15,16,W10a,1
16,1,W21,1
16,2,W10c,1
16,3,W10c,1
16,4,W10d,1
16,5,W10d,1
16,6,W21,1
16,7,W21,1
16,8,W8d,1
16,9,W21,1
16,10,OV27d,1
16,11,W14,1
16,12,W14,1
16,13,OV27d,1
16,14,OV27d,1
16,15,W10d,1
16,16,W21,1
17,1,W10c,1
17,2,W10c,1
17,3,W8d,1
17,4,W10d,1
17,5,W16b,1
17,6,W16b,1
17,7,W8d,1
17,8,W10,1
17,9,OV27d,1
17,10,W8d,1
17,11,W10c,1
17,12,W8d,1
17,13,W8d,1
17,14,W8e,1
17,15,W8e,1
17,16,W8d,1
18,1,W10a,1
18,2,W10,1
18,3,W8e,1
18,4,W8d,1
18,5,W10,1
18,6,W21,1
18,7,W10c,1
18,8,W21,1
18,9,W21c,1
18,10,W10,1
18,11,W10a,1
18,12,W21,1
18,13,W21,1
18,14,OV27d,1
18,15,W21,1
18,16,W21c,1
19,1,W8d,1
19,2,W8d,1
19,3,W8d,1
19,4,W8d,1
19,5,W8d,1
19,6,W8d,1
19,7,W8d,1
19,8,W8d,1
19,9,W8d,1
19,10,W8d,1
19,11,W8d,1
19,12,W21,1
19,13,W8d,1
19,14,W8d,1
19,15,W8d,1
19,16,W8d,1
20,1,W8d,1
20,2,OV27d,1
20,3,W8d,1
20,4,W8d,1
20,5,W10,1
20,6,W8d,1
20,7,W8d,1
20,8,W8d,1
20,9,W12a,1
20,10,W14,1
20,11,W8d,1
20,12,W12,1
20,13,W21,1
20,14,W21,1
20,15,W21,1
20,16,W12,1
21,1,W8d,1
21,2,W8d,1
21,3,W8d,1
21,4,W10,1
21,5,W8d,1
21,6,W8d,1
21,7,W8d,1
21,8,W8d,1
21,9,W8d,1
21,10,W8d,1
21,11,W8d,1
21,12,W8d,1
21,13,W8d,1
21,14,W8d,1
21,15,W8d,1
21,16,W8d,1
22,1,W8d,1
22,2,W8d,1
22,3,W8d,1
22,4,W8d,1
22,5,W8d,1
22,6,W8d,1
22,7,OV27d,1
22,8,OV27d,1
22,9,W6,1
22,10,W8d,1
22,11,W8d,1
22,12,W8d,1
22,13,W8d,1
22,14,W8d,1
22,15,W8e,1
22,16,W8e,1
23,1,W10,1
23,2,W10c,1
23,3,W10a,1
23,4,W10,1
23,5,W10,1
23,6,W10a,1
23,7,W10a,1
23,8,W10,1
23,9,W10,1
23,10,W10,1
23,11,W10,1
23,12,W10,1
23,13,W10,1
23,14,W10,1
23,15,W10,1
23,16,W10,1
24,1,W8d,1
24,2,W8d,1
24,3,W8d,1
24,4,W8d,1
24,5,W8d,1
24,6,W8d,1
24,7,W8d,1
24,8,W8d,1
24,9,W8d,1
24,10,OV27d,1
24,11,W8d,1
24,12,W8d,1
24,13,W6,1
24,14,W21,1
24,15,W10,1
24,16,W8d,1
25,1,W21,1
25,2,W21,1
25,3,W21,1
25,4,W21,1
25,5,OV27,1
25,6,W8d,1
25,7,W8d,1
25,8,W8d,1
25,9,W8d,1
25,10,W8d,1
25,11,W8d,1
25,12,W8d,1
25,13,W8d,1
25,14,W21,1
25,15,W21c,1
25,16,W8d,1
26,1,W6,1
26,2,OV27d,1
26,3,OV27d,1
26,4,OV27d,1
26,5,W6,1
26,6,W8e,1
26,7,OV27d,1
26,8,OV27d,1
26,9,OV27d,1
26,10,W8e,1
26,11,W6,1
26,12,W8e,1
26,13,W8d,1
26,14,W21,1
26,15,W6,1
26,16,W8d,1
27,1,W13,1
27,2,W8d,1
27,3,W13,1
27,4,W13,1
27,5,W13,1
27,6,W13,1
27,7,W13,1
27,8,W13,1
27,9,W13,1
27,10,W13,1
27,11,W13,1
27,12,W13,1
27,13,W13,1
27,14,W13,1
27,15,W13,1
27,16,W13,1
28,1,OV27d,1
28,2,W21,1
28,3,OV27d,1
28,4,OV27d,1
28,5,W10c,1
28,6,OV27d,1
28,7,W21a,1
28,8,OV27d,1
28,9,OV27d,1
28,10,OV27d,1
28,11,OV27d,1
28,12,W10,1
28,13,W10,1
28,14,OV27d,1
28,15,W21,1
28,16,OV27d,1
29,1,W25b,1
29,2,W16a,1
29,3,W16b,1
29,4,OV27d,1
29,5,W15a,1
29,6,W13,1
29,7,W13,1
29,8,W25b,1
29,9,OV27,1
29,10,W15a,1
29,11,H2b,1
29,12,W15a,1
29,13,W15a,1
29,14,OV27,1
29,15,W12c,1
29,16,OV27d,1
30,1,W10c,1
30,2,W10c,1
30,3,W10c,1
30,4,W16b,1
30,5,W16b,1
30,6,W16b,1
30,7,W10a,1
30,8,W10d,1
30,9,W10d,1
30,10,W10a,1
30,11,W16a,1
30,12,W10c,1
30,13,W10d,1
30,14,W10c,1
30,15,W10c,1
30,16,W10c,1
31,1,W21b,1
31,2,W8d,1
31,3,OV27,1
31,4,W8d,1
31,5,OV27,1
31,6,OV27d,1
31,7,OV27d,1
31,8,W13,1
31,9,W8d,1
31,10,W8c,1
31,11,W8d,1
31,12,W8d,1
31,13,W10c,1
31,14,W8d,1
31,15,OV27,1
31,16,OV27,1
32,1,W10d,1
32,2,W15a,1
32,3,W8d,1
32,4,W15a,1
32,5,W16b,1
32,6,W10a,1
32,7,W10d,1
32,8,W10a,1
32,9,W16a,1
32,10,W10a,1
32,11,W10a,1
32,12,W16b,1
32,13,W21a,1
32,14,W16a,1
32,15,W10,1
32,16,W14,1
33,1,W13,1
33,2,OV27d,1
33,3,W13,1
33,4,W13,1
33,5,W13,1
33,6,W13,1
33,7,W13,1
33,8,W13,1
33,9,W8d,1
33,10,W13,1
33,11,OV27d,1
33,12,W8d,1
33,13,W13,1
33,14,W13,1
33,15,W13,1
33,16,W13,1
34,1,W8d,1
34,2,W8d,1
34,3,W8d,1
34,4,W8d,1
34,5,W8d,1
34,6,W8d,1
34,7,W8d,1
34,8,W8d,1
34,9,W8d,1
34,10,W8d,1
34,11,W8d,1
34,12,W8d,1
34,13,W8d,1
34,14,W8d,1
34,15,W8d,1
34,16,W8d,1
35,1,W10,1
35,2,W10,1
35,3,W10a,1
35,4,W21,1
35,5,W10a,1
