SITE,PLOT,NVC,Yr
90,1,W10a,1
90,2,W10,1
90,3,W10a,1
90,4,W16b,1
90,5,W10a,1
90,6,W10a,1
90,7,W10a,1
90,8,W10a,1
90,9,W10c,1
90,10,W10a,1
90,11,W10a,1
90,12,W16b,1
90,13,W10a,1
90,14,W10a,1
90,15,W10a,1
90,16,OV27d,1
91,1,W16,1
91,2,OV27,1
91,3,W6,1
91,4,W15a,1
91,5,OV27,1
91,6,W10c,1
91,7,OV27,1
91,8,W10c,1
91,9,W21a,1
91,10,W10d,1
91,11,W15a,1
91,12,W16b,1
91,13,W15a,1
91,14,W15a,1
91,15,W15a,1
91,16,W16b,1
92,1,W10a,1
92,2,W10c,1
92,3,W10a,1
92,4,W10a,1
92,5,W10,1
92,6,OV27d,1
92,7,W16b,1
92,8,W16b,1
92,9,W16b,1
92,10,W16b,1
92,11,OV27d,1
92,12,W10a,1
92,13,W10a,1
92,14,W6,1
92,15,OV27,1
92,16,W6,1
93,1,W21,1
93,2,OV27d,1
93,3,W14,1
93,4,OV27d,1
93,5,OV27d,1
93,6,W10,1
93,7,W8d,1
93,8,OV27d,1
93,9,W10,1
93,10,OV27d,1
93,11,W6,1
93,12,W21,1
93,13,W10c,1
93,14,W15a,1
93,15,W16b,1
93,16,OV27d,1
94,1,W10c,1
94,2,W10c,1
94,3,W10c,1
94,4,W10d,1
94,5,W10d,1
94,6,W10d,1
94,7,W10d,1
94,8,W14,1
94,9,W14,1
94,10,W14,1
94,11,W10d,1
94,12,W14,1
94,13,W14,1
94,14,W14,1
94,15,W15a,1
94,16,W15a,1
95,1,W10d,1
95,2,W10,1
95,3,OV27d,1
95,4,W10d,1
95,5,W10c,1
95,6,W10d,1
95,7,W10c,1
95,8,W10a,1
95,9,W10d,1
95,10,W10d,1
95,11,W10d,1
95,12,W15a,1
95,13,W10d,1
95,14,W14,1
95,15,W15a,1
95,16,W10,1
96,1,W10d,1
96,2,W10a,1
96,3,W10c,1
96,4,W10,1
96,5,W6,1
96,6,W10c,1
96,7,W8e,1
96,8,W10c,1
96,9,W10c,1
96,10,W10a,1
96,11,W10c,1
96,12,W7,1
96,13,W10,1
96,14,W7,1
96,15,W10c,1
96,16,W10c,1
97,1,W10,1
97,2,W10c,1
97,3,W10,1
97,4,W10a,1
97,5,W10,1
97,6,W10,1
97,7,W10d,1
97,8,W10,1
97,9,W10d,1
97,10,W10,1
97,11,W10,1
97,12,W10,1
97,13,W10d,1
97,14,W10c,1
97,15,W16b,1
97,16,W15,1
98,1,W10d,1
98,2,W10,1
98,3,W10c,1
98,4,W10d,1
98,5,W10c,1
98,6,W10,1
98,7,W10c,1
98,8,W10d,1
98,9,W10c,1
98,10,W10,1
98,11,W10,1
98,12,OV27,1
98,13,W10d,1
98,14,W10c,1
98,15,OV27,1
98,16,W10,1
99,1,W16b,1
99,2,W16b,1
99,3,W10a,1
99,4,W16b,1
99,5,W16b,1
99,6,W10d,1
99,7,W21a,1
99,8,W10a,1
99,9,W21a,1
99,10,W10a,1
99,11,W15c,1
99,12,W10a,1
99,13,W16b,1
99,14,W13,1
99,15,W10a,1
99,16,W10a,1
100,1,W10d,1
100,2,W10d,1
100,3,W15,1
100,4,W15,1
100,5,W15,1
100,6,W10d,1
100,7,W10d,1
100,8,W10c,1
100,9,W16a,1
100,10,W10d,1
100,11,W15a,1
100,12,W15a,1
100,13,W15a,1
100,14,W15a,1
100,15,W15a,1
100,16,W15,1
101,1,W10d,1
101,2,W16a,1
101,3,W10d,1
101,4,W10,1
101,5,W10,1
101,6,W21,1
101,7,W21,1
101,8,W10,1
101,9,W8e,1
101,10,W10c,1
101,11,W22c,1
101,12,W21,1
101,13,W10,1
101,14,W21,1
101,15,W10,1
101,16,W10,1
102,1,W16b,1
102,2,W16b,1
102,3,W16b,1
102,4,W4,1
102,5,W4,1
102,6,W4,1
102,7,W6,1
102,8,W6,1
102,9,W10d,1
102,10,W10d,1
102,11,W16b,1
102,12,W16b,1
102,13,W16b,1
102,14,W16a,1
102,15,W16,1
102,16,W16b,1
103,1,W21a,1
103,2,W21a,1
103,3,W21a,1
103,4,W21,1
103,5,W21c,1
103,6,W13,1
103,7,W21a,1
103,8,W21a,1
103,9,W21,1
103,10,OV27,1
103,11,OV27,1
103,12,MG1a,1
103,13,W21,1
103,14,W21,1
103,15,W21a,1
103,16,W21,1
1,1,W10a,2
1,2,W10a,2
1,3,W10a,2
1,4,W10d,2
1,5,W10b,2
1,6,W10d,2
1,7,W10a,2
1,8,W10a,2
1,9,W10,2
1,10,W10a,2
1,11,W10a,2
1,12,W8d,2
1,13,W10a,2
1,14,W10a,2
1,15,W10a,2
1,16,W21a,2
2,1,W10a,2
2,2,W10c,2
2,3,W10a,2
2,4,W10c,2
2,5,W10d,2
2,6,W10,2
2,7,W10a,2
2,8,W16b,2
2,9,W15a,2
2,10,W16,2
2,11,W10a,2
2,12,W10,2
2,13,OV27,2
2,14,W10d,2
2,15,W10b,2
2,16,W16b,2
3,1,OV27d,2
3,2,OV27,2
3,3,W10d,2
3,4,W10d,2
3,5,OV27,2
3,6,W10d,2
3,7,W10d,2
3,8,W10a,2
3,9,OV27d,2
3,10,W10d,2
3,11,W10a,2
3,12,W10a,2
3,13,W16a,2
3,14,W10d,2
3,15,W10d,2
3,16,W16a,2
4,1,W8d,2
4,2,W10c,2
4,3,W10c,2
4,4,W10c,2
4,5,W10c,2
4,6,W8d,2
4,7,W8d,2
4,8,W8d,2
4,9,W21a,2
4,10,W21,2
4,11,OV21a,2
4,12,W21,2
4,13,W10c,2
4,14,W8d,2
4,15,OV27d,2
4,16,W10a,2
5,1,SD5,2
5,2,MG1a,2
5,3,W10,2
5,4,W10d,2
5,5,W10c,2
5,6,OV27,2
5,7,W10c,2
5,8,W8d,2
5,9,W13,2
5,10,OV10,2
5,11,OV41a,2
5,12,W8e,2
5,13,W10,2
5,14,OV24a,2
5,15,W10c,2
5,16,W10c,2
6,1,W10a,2
6,2,W21,2
6,3,W8d,2
6,4,W10,2
6,5,W10,2
6,6,W10,2
6,7,W10a,2
6,8,W10c,2
6,9,W8d,2
6,10,W10a,2
6,11,OV26,2
6,12,W10a,2
6,13,W10a,2
6,14,W21,2
6,15,W10,2
6,16,W8d,2
7,1,W10a,2
7,2,W8d,2
7,3,W8d,2
7,4,W8d,2
7,5,W8d,2
7,6,W8d,2
7,7,OV27d,2
7,8,W10a,2
7,9,OV27,2
7,10,OV27,2
7,11,OV24a,2
7,12,W8d,2
7,13,MG10a,2
7,14,W8d,2
7,15,W8d,2
7,16,W8d,2
8,1,W8d,2
8,2,W8d,2
8,3,W8d,2
8,4,W8d,2
8,5,W8d,2
8,6,W21,2
8,7,W10,2
8,8,W12,2
8,9,W8d,2
8,10,W8d,2
8,11,W8d,2
8,12,W8d,2
8,13,W21,2
8,14,W8d,2
8,15,W8d,2
8,16,W8d,2
9,1,W21,2
9,2,W21,2
9,3,W12,2
9,4,OV27d,2
9,5,W12,2
9,6,OV27d,2
9,7,W8d,2
9,8,W21,2
9,9,W21,2
9,10,OV27d,2
9,11,W21,2
9,12,W21,2
9,13,W13,2
9,14,OV27d,2
9,15,OV27d,2
9,16,W21,2
10,1,OV24a,2
10,2,W8e,2
10,3,W8d,2
10,4,W13,2
10,5,W13,2
10,6,W21,2
10,7,W13,2
10,8,W13,2
10,9,W13,2
10,10,W21,2
10,11,W8d,2
10,12,W21,2
10,13,W8d,2
10,14,W21,2
10,15,W8d,2
10,16,W13,2
11,1,W8d,2
11,2,W8d,2
11,3,W21,2
11,4,W10,2
11,5,W10,2
11,6,W10,2
11,7,W10d,2
11,8,W10,2
11,9,OV27,2
11,10,OV27,2
11,11,W21,2
11,12,W10,2
11,13,OV27,2
11,14,W10,2
11,15,W10a,2
11,16,W8d,2
12,1,W8d,2
12,2,OV27d,2
12,3,W21,2
12,4,W12,2
12,5,W6,2
12,6,W21,2
12,7,W21,2
12,8,W21,2
12,9,W8d,2
12,10,W8d,2
12,11,W8d,2
12,12,W21,2
12,13,W21,2
12,14,W8d,2
12,15,W8d,2
12,16,OV27d,2
13,1,OV21a,2
13,2,OV24a,2
13,3,OV20,2
13,4,W10a,2
13,5,W10a,2
13,6,W21,2
13,7,OV24a,2
13,8,W10d,2
13,9,W10b,2
13,10,OV27,2
13,11,W10,2
13,12,W10b,2
13,13,W10b,2
13,14,W21,2
13,15,W10a,2
13,16,W10a,2
14,1,OV27d,2
14,2,OV27,2
14,3,W16b,2
14,4,W16b,2
14,5,W10d,2
14,6,W16b,2
14,7,OV27d,2
14,8,W16b,2
14,9,W16b,2
14,10,OV27d,2
14,11,W16b,2
14,12,OV27d,2
14,13,OV27d,2
14,14,OV27d,2
14,15,W16b,2
14,16,W12c,2
15,2,W10d,2
15,3,OV27,2
15,4,OV27d,2
15,5,OV27d,2
15,6,OV27,2
15,7,OV27d,2
15,8,OV27d,2
15,9,OV27d,2
15,10,W16,2
15,11,W6,2
15,12,W10a,2
15,13,OV27d,2
15,14,W6,2
15,15,OV27,2
15,16,W10d,2
16,1,W14,2
16,2,W10c,2
16,3,W10c,2
16,4,W10c,2
16,5,W10a,2
16,6,W21,2
16,7,W21,2
16,8,W21,2
16,9,W10,2
16,10,W10a,2
16,11,W10,2
16,12,W10c,2
16,13,W12a,2
16,14,W12,2
16,15,W10c,2
16,16,W10c,2
17,1,W10c,2
17,2,W10a,2
17,3,W8d,2
17,4,W16b,2
17,5,W16b,2
17,6,W16,2
17,7,W21,2
17,8,W10c,2
17,9,W10a,2
17,10,W8d,2
17,11,W10c,2
17,12,W8d,2
17,13,W21a,2
17,14,W8d,2
17,16,W10a,2
18,1,W10a,2
18,2,W16b,2
18,3,OV27d,2
18,4,W8d,2
18,5,W8d,2
18,6,W21,2
18,7,W10c,2
18,8,MG7A,2
18,9,W12,2
18,10,W8e,2
18,11,W8e,2
18,12,W21,2
18,13,OV27d,2
18,14,OV27d,2
18,15,W10d,2
18,16,MG7A,2
19,1,W8d,2
19,2,W8d,2
19,3,W10c,2
19,4,W10c,2
19,5,W8d,2
19,6,W10,2
19,7,W8d,2
19,8,W8d,2
19,9,W10a,2
19,10,W10a,2
19,11,W10c,2
19,12,W10c,2
19,13,W8d,2
19,14,W8d,2
19,15,W8d,2
19,16,W10c,2
20,1,OV27,2
20,2,OV27d,2
20,3,W12,2
20,4,W12,2
20,5,W12,2
20,6,W13,2
20,7,W13,2
20,8,OV27d,2
20,9,OV27d,2
20,10,W12,2
20,11,W8d,2
20,12,W12,2
20,13,W13,2
20,14,W12,2
20,15,OV27,2
20,16,OV27,2
21,1,W21,2
21,2,W21,2
21,3,W8d,2
21,4,W21,2
21,5,W8d,2
21,6,W8d,2
21,7,S5,2
21,8,W21,2
21,9,W21,2
21,10,W8d,2
21,11,W8d,2
21,12,W21,2
21,13,W21b,2
21,14,W8d,2
21,15,W10,2
21,16,W21,2
22,1,W13,2
22,2,W8d,2
22,3,W8d,2
22,4,W6a,2
22,5,W13,2
22,6,OV27d,2
22,7,W21,2
22,8,OV27d,2
22,9,OV27d,2
22,10,W8d,2
22,11,W21,2
22,12,W21,2
22,13,W8e,2
22,14,OV27,2
22,15,W8e,2
22,16,OV27d,2
23,1,W21,2
23,2,W10,2
23,3,W10,2
23,4,W10c,2
23,5,W10,2
23,6,W10,2
23,7,W8d,2
23,8,W8e,2
23,9,W8d,2
23,10,W10,2
23,11,W8d,2
23,12,W8e,2
23,13,W10,2
23,14,W10,2
23,15,W10,2
23,16,W8d,2
24,1,MG7A,2
24,2,MG7A,2
24,3,MG7A,2
24,4,MG7A,2
24,5,MG7A,2
24,6,W8d,2
24,7,MG7A,2
24,8,W21,2
24,9,W21,2
24,10,OV27d,2
24,11,MG7A,2
24,12,MG7A,2
24,13,W8d,2
24,14,W21,2
24,15,W21,2
24,16,W21,2
25,1,W21,2
25,2,W21a,2
25,3,W21,2
25,4,W8d,2
25,5,W8d,2
25,6,W8d,2
25,7,W21,2
25,8,W8d,2
25,9,W8d,2
25,10,W8d,2
25,11,W10,2
25,12,W21,2
25,13,W8d,2
25,14,W21,2
25,15,W8d,2
25,16,W8d,2
26,1,W6,2
26,2,OV27d,2
26,3,S28,2
26,4,W15a,2
26,5,W6,2
26,6,OV27d,2
26,7,OV27d,2
26,8,OV27,2
26,9,OV27,2
26,10,W8e,2
26,11,OV27d,2
26,12,W16b,2
26,13,W8e,2
26,14,OV27d,2
26,15,W21,2
26,16,W21,2
27,1,W13,2
27,2,W13,2
27,3,W21a,2
27,4,W13,2
27,5,W21,2
27,6,W13,2
27,7,W13,2
27,8,W13,2
27,9,W13,2
27,10,W13b,2
27,11,W21,2
27,12,W21b,2
27,13,W13b,2
27,14,W21b,2
27,15,W13,2
27,16,OV27,2
28,1,OV27d,2
28,2,OV27d,2
28,3,OV27d,2
28,4,OV27d,2
28,5,W21a,2
28,6,OV27,2
28,7,W21a,2
28,8,W21,2
28,9,W21a,2
28,10,W21,2
28,11,W13,2
28,12,W21,2
28,13,W21,2
28,14,OV27d,2
28,15,W21,2
28,16,W21,2
29,2,OV27,2
29,3,OV27d,2
29,4,W14,2
29,5,W12c,2
29,6,OV27,2
29,7,W12,2
29,8,W10c,2
29,9,W25,2
29,10,W21,2
29,11,W15a,2
29,12,W12,2
29,13,W12c,2
29,14,OV27,2
29,15,W21,2
29,16,W13,2
30,1,W10d,2
30,2,W10c,2
30,3,W10d,2
30,4,W10d,2
30,5,W10a,2
30,6,W10,2
30,7,W10c,2
30,8,W16b,2
30,9,W10d,2
30,10,W10a,2
30,11,W10a,2
30,12,W15a,2
30,13,W10d,2
30,14,W10d,2
30,15,W21,2
30,16,W8d,2
31,1,W8d,2
31,2,W8d,2
31,3,W13,2
31,4,W13,2
31,5,OV27d,2
31,6,W21a,2
31,7,OV27d,2
31,8,W6,2
31,9,W8d,2
31,10,W8d,2
31,11,W13,2
31,12,W13,2
31,13,W10,2
31,14,W8d,2
31,15,W8d,2
31,16,W13,2
32,1,W10a,2
32,2,W10a,2
32,3,W10a,2
32,4,W16b,2
32,5,W15a,2
32,6,W10c,2
32,7,W10a,2
32,8,W10a,2
32,9,W10a,2
32,10,OV27,2
32,11,W10c,2
32,12,W10d,2
32,13,W10a,2
32,14,W10a,2
32,15,W10a,2
32,16,W10a,2
33,1,W13,2
33,2,W10a,2
33,3,W21c,2
33,4,W10a,2
33,5,OV27d,2
33,6,W21,2
33,7,OV27d,2
33,8,W21,2
33,9,W21,2
33,10,W21,2
33,11,W13,2
33,12,W13,2
33,13,W21,2
33,14,W13,2
33,15,W13,2
33,16,W13,2
34,1,W8d,2
34,2,W21,2
34,3,W21b,2
34,4,W8d,2
34,5,W8d,2
34,6,W13,2
34,7,W13,2
34,8,OV27d,2
34,9,W21a,2
34,10,W21,2
34,11,W21a,2
34,12,W8d,2
34,13,W8d,2
34,14,W21,2
34,15,W8d,2
34,16,W8d,2
35,1,OV27d,2
35,2,W21,2
35,3,W10,2
35,4,W16b,2
35,5,W10d,2
35,6,W10d,2
35,7,W10d,2
35,8,W21,2
35,9,W13,2
35,10,W21,2
35,11,W21,2
35,12,W13,2
35,13,W10a,2
35,14,W10d,2
35,15,S26d,2
35,16,OV27d,2
36,1,W10a,2
36,2,W10c,2
36,3,W10d,2
36,4,W10c,2
36,5,OV27d,2
36,6,W16b,2
36,7,OV27d,2
36,8,W10c,2
36,9,W6,2
36,10,W8d,2
36,11,W6,2
36,12,W10d,2
36,13,W16b,2
36,14,W21,2
36,15,W6,2
36,16,OV27,2
37,1,W16b,2
37,2,W10c,2
37,3,W16a,2
37,4,W10c,2
37,5,W10a,2
37,6,OV27d,2
37,7,W16b,2
37,8,W10d,2
37,9,OV27d,2
37,10,W10c,2
37,11,OV27d,2
37,12,OV27d,2
37,13,W10d,2
37,14,W16,2
37,15,W16,2
37,16,W16,2
38,1,W10c,2
38,2,W10a,2
38,3,OV27d,2
38,4,W10a,2
38,5,W8,2
38,6,W10d,2
38,7,W10,2
38,8,W10c,2
38,10,W16b,2
38,11,W16b,2
38,12,W10c,2
38,13,W10,2
38,14,W6,2
38,15,OV27,2
38,16,W6,2
39,1,W10,2
39,2,W10d,2
39,3,OV27,2
39,4,OV27,2
39,5,W16a,2
39,6,OV27,2
39,7,W10,2
39,8,W16,2
39,9,W16a,2
39,10,OV27,2
39,11,W16a,2
39,12,OV27,2
39,13,U2b,2
39,14,MG7A,2
39,15,OV27,2
39,16,MG10a,2
40,1,W16,2
40,2,W10d,2
40,3,MG9,2
40,4,MG1a,2
40,5,W24,2
40,6,W6,2
40,7,OV27,2
40,8,W10,2
40,9,W10d,2
40,10,W10c,2
40,11,W8d,2
40,12,W10d,2
40,13,W6,2
40,14,W10c,2
40,15,W10d,2
40,16,OV27,2
41,1,W6,2
41,2,W21,2
41,3,W6,2
41,4,W10c,2
41,5,W6,2
41,6,W21,2
41,7,OV27,2
41,8,W6,2
41,9,W6,2
41,10,W6,2
41,11,W6,2
41,12,W21,2
41,13,W6,2
41,14,S7,2
41,15,OV27,2
41,16,W6,2
42,1,M15c,2
42,2,W25b,2
42,3,W10d,2
42,4,W16,2
42,5,W10d,2
42,6,H2b,2
42,7,H2,2
42,8,W10d,2
42,9,W10d,2
42,10,W10d,2
42,11,M6,2
42,12,W4,2
42,13,W10d,2
42,14,W10c,2
42,15,W10,2
42,16,W10,2
43,1,W4,2
43,2,W4,2
43,3,W10d,2
43,4,W10d,2
43,5,OV27,2
43,6,W22,2
43,7,W10c,2
43,8,W10,2
43,9,OV27,2
43,10,W10d,2
43,11,W10d,2
43,12,W10d,2
43,13,W16a,2
43,14,OV27,2
43,15,OV27,2
43,16,OV27,2
44,1,OV27,2
44,2,MG7A,2
44,3,MG1b,2
44,4,MG7A,2
44,5,MG7A,2
44,6,MG10a,2
44,7,OV27,2
44,8,MG7A,2
44,9,OV27,2
44,10,OV27d,2
44,11,W10d,2
44,12,W14,2
44,13,OV27d,2
44,14,OV27d,2
44,15,W6,2
44,16,OV27d,2
45,1,W6,2
45,2,W16b,2
45,3,W10a,2
45,4,W6,2
45,5,W10a,2
45,6,W10,2
45,7,W21a,2
45,8,W10c,2
45,9,W6,2
45,10,W10a,2
45,11,W10d,2
45,12,W10d,2
45,13,W10c,2
45,14,W22,2
45,15,W8d,2
45,16,W10c,2
46,1,W12,2
46,2,W13,2
46,3,W21,2
46,4,W8d,2
46,5,W10,2
46,6,MG7,2
46,7,W16b,2
46,9,W8d,2
46,10,W21c,2
46,11,S5,2
46,12,W8d,2
46,13,W10a,2
46,14,OV27d,2
46,15,OV27d,2
46,16,W21c,2
47,1,W16,2
47,2,W10c,2
47,3,W16,2
47,4,OV27,2
47,5,W16,2
47,6,OV27,2
47,7,W10,2
47,8,W10d,2
47,9,W10,2
47,10,W10d,2
47,11,OV27,2
47,12,W4,2
47,13,W4,2
47,14,OV27,2
47,15,W10d,2
47,16,MG1b,2
48,1,W8d,2
48,2,W8d,2
48,3,OV27d,2
48,4,OV27d,2
48,5,W10a,2
48,6,W10a,2
48,8,W6,2
48,9,W6,2
48,11,W14,2
48,12,W10a,2
48,13,W16b,2
48,14,OV27d,2
48,15,W6,2
48,16,W16b,2
49,1,W10c,2
49,2,OV27d,2
49,3,W10a,2
49,4,W10a,2
49,5,OV27d,2
49,6,OV27d,2
49,7,OV27d,2
49,8,W10d,2
49,9,W10c,2
49,10,OV27d,2
49,11,W21,2
49,12,W21,2
49,13,W6,2
49,14,W6,2
49,15,W21,2
49,16,W6,2
50,1,OV27d,2
50,2,W10,2
50,3,W10,2
50,4,W10c,2
50,5,MG1b,2
50,6,MG7A,2
50,7,OV21,2
50,8,W10c,2
50,9,W15a,2
50,10,W10a,2
50,11,W10a,2
50,12,W6,2
50,13,W10,2
50,14,W10,2
50,15,W10,2
50,16,W10d,2
51,1,W15a,2
51,2,W21,2
51,3,W21,2
51,4,W21,2
51,5,OV27d,2
51,6,W21,2
51,7,OV27d,2
51,8,OV27d,2
51,9,W21,2
51,10,W21,2
51,11,OV27d,2
51,12,OV27d,2
51,13,W8e,2
51,14,W21,2
51,15,OV27d,2
51,16,W21,2
52,1,W16b,2
52,2,W16b,2
52,3,W16b,2
52,4,W16b,2
52,5,W16b,2
52,6,W16b,2
52,7,W10,2
52,8,W16b,2
52,9,W10d,2
52,10,W16b,2
52,11,W16b,2
52,12,W10c,2
52,13,W16b,2
52,14,W10a,2
52,15,W10a,2
52,16,W16b,2
53,1,W6,2
53,2,W6,2
53,3,W6,2
53,4,OV27d,2
53,5,OV27d,2
53,6,OV27d,2
53,7,OV27d,2
53,8,W6,2
53,9,S5,2
53,10,W21,2
53,11,W6,2
53,12,OV27d,2
53,13,W6,2
53,14,W6,2
53,15,W6,2
53,16,W6,2
54,1,W10,2
54,2,OV27,2
54,3,W10d,2
54,4,OV27d,2
54,5,W10d,2
54,6,W10c,2
54,7,W10d,2
54,8,W22,2
54,9,W10a,2
54,10,W10a,2
54,11,W10d,2
54,12,W10a,2
54,13,W10c,2
54,14,W14,2
54,15,W10a,2
54,16,W10d,2
55,1,W21,2
55,2,W8d,2
55,3,W21,2
55,4,MG1b,2
55,5,W21,2
55,6,W8d,2
55,7,W8d,2
55,8,W10c,2
55,9,W21,2
55,10,W8d,2
55,11,W21,2
55,12,W21,2
55,13,W21,2
55,14,W21c,2
55,15,W21,2
55,16,W10c,2
56,1,W10c,2
56,2,W10c,2
56,3,W16b,2
56,4,OV27d,2
56,5,W8d,2
56,6,W8d,2
56,7,OV27d,2
56,8,OV27d,2
56,9,W16b,2
56,10,W10c,2
56,11,W14,2
56,12,W10c,2
56,13,W10c,2
56,14,W10c,2
56,15,W10a,2
56,16,OV27,2
57,1,W8d,2
57,2,W8d,2
57,3,W8d,2
57,4,W10c,2
57,5,W6,2
57,6,W8d,2
57,7,MG7A,2
57,8,W21,2
57,9,W6,2
57,10,W8d,2
57,11,OV20,2
57,12,W21,2
57,13,W6,2
57,14,W10c,2
57,15,OV27d,2
57,16,W8d,2
58,1,W6,2
58,2,W10,2
58,3,W10,2
58,4,W4,2
58,5,W10c,2
58,6,W16,2
58,7,W7,2
58,8,W10d,2
58,9,W16a,2
58,10,W16b,2
58,11,W10d,2
58,12,OV27,2
58,13,W7,2
58,14,W10a,2
58,15,W6,2
58,16,OV27,2
59,2,MG10a,2
59,3,W10d,2
59,4,W4,2
59,5,W4,2
59,6,W6,2
59,7,OV26,2
59,9,S4,2
59,10,OV26,2
59,11,W4,2
59,12,S4,2
59,13,S4,2
59,14,S4,2
59,15,W2a,2
59,16,OV26a,2
60,1,W21,2
60,2,W13,2
60,3,W16b,2
60,4,W8e,2
60,5,W10,2
60,6,W10,2
60,7,W8e,2
60,8,OV27d,2
60,9,W10,2
60,10,W10,2
60,11,W10,2
60,12,W8d,2
60,13,W10,2
60,14,W10,2
60,15,W10,2
60,16,W21,2
61,1,W10c,2
61,2,W4,2
61,3,OV27,2
61,4,OV27,2
61,5,W10d,2
61,6,W4,2
61,7,W10d,2
61,8,W10,2
61,9,W10c,2
61,10,W10d,2
61,11,W10d,2
61,12,W10c,2
61,13,W10c,2
61,14,W14,2
61,15,W16b,2
61,16,W10d,2
62,1,W10d,2
62,2,W10d,2
62,3,W10,2
62,4,W10a,2
62,5,W16b,2
62,6,OV27,2
62,7,W10d,2
62,8,W10,2
62,9,W16b,2
62,10,MG7A,2
62,11,OV27,2
62,12,OV27,2
62,13,OV27,2
62,14,OV27d,2
62,15,W10a,2
62,16,W21,2
63,1,W21,2
63,2,W21,2
63,3,W8e,2
63,4,W21a,2
63,5,W21,2
63,6,OV27d,2
63,7,W6,2
63,8,OV27d,2
63,9,OV27d,2
63,10,OV27d,2
63,11,OV27d,2
63,12,W10,2
63,13,OV27d,2
63,15,W10a,2
63,16,W21,2
64,1,MG7A,2
64,2,OV27d,2
64,3,MG7A,2
64,4,W10d,2
64,5,W10d,2
64,6,W10d,2
64,7,W10d,2
64,8,W15a,2
64,9,W10c,2
64,10,W21,2
64,11,OV27,2
64,12,W10d,2
64,13,W10d,2
64,14,W7a,2
64,15,OV27d,2
64,16,W10d,2
65,1,W21,2
65,2,W8d,2
65,3,W14,2
65,4,W10,2
65,5,OV27d,2
65,6,W8e,2
65,7,W10a,2
65,8,OV27d,2
65,9,OV27d,2
65,10,W16b,2
65,11,W21b,2
65,12,OV27d,2
65,13,OV27d,2
65,14,OV27d,2
65,15,W8d,2
65,16,W10a,2
66,1,W6,2
66,2,M23,2
66,3,MG10a,2
66,4,W10,2
66,5,W6,2
66,6,W10c,2
66,7,W6,2
66,8,W10d,2
66,9,W6,2
66,10,MG7A,2
66,11,W1,2
66,12,W6,2
66,13,OV27d,2
66,14,W4,2
66,15,W10,2
66,16,W8e,2
67,1,OV27d,2
67,2,W15,2
67,3,OV27d,2
67,4,W14,2
67,5,W14,2
67,6,W16a,2
67,7,OV27d,2
67,8,W10c,2
67,9,W10c,2
67,10,W12,2
67,11,W10d,2
67,12,W10c,2
67,13,W10c,2
67,14,W16,2
67,15,W16a,2
67,16,W16,2
68,1,W6,2
68,2,W10a,2
68,3,W6,2
68,4,W6,2
68,5,W21,2
68,6,OV27d,2
68,7,W8e,2
68,8,W21,2
68,9,OV27d,2
68,10,W10a,2
68,11,W10c,2
68,12,W6,2
68,13,W10c,2
68,14,W10,2
68,15,W8d,2
68,16,W10,2
69,1,OV27d,2
69,2,W14,2
69,3,W16b,2
69,4,OV27d,2
69,5,W14,2
69,6,OV27d,2
69,7,W15a,2
69,8,W10c,2
69,9,W16b,2
69,10,OV27d,2
69,11,W14,2
69,12,W16b,2
69,13,OV27d,2
69,14,W16b,2
69,15,W8e,2
69,16,W10c,2
70,1,W21,2
70,2,OV27d,2
70,3,OV27d,2
70,4,OV27,2
70,5,W10d,2
70,6,OV27d,2
70,7,OV27,2
70,8,OV27d,2
70,9,OV27d,2
70,10,OV27d,2
70,11,W21a,2
70,12,OV27d,2
70,13,W10d,2
70,14,OV27d,2
70,15,W21a,2
70,16,W12,2
71,1,W21,2
71,2,W6,2
71,3,W8d,2
71,4,W21,2
71,5,OV27d,2
71,6,OV27d,2
71,7,W21b,2
71,8,OV27d,2
71,9,W8d,2
71,10,OV27d,2
71,11,OV27d,2
71,12,OV27d,2
71,13,OV27d,2
71,14,OV27d,2
71,15,W8d,2
71,16,W8d,2
72,1,W10,2
72,2,W10d,2
72,3,W10d,2
72,4,W10d,2
72,5,W10d,2
72,6,W10,2
72,7,W10d,2
72,8,W10d,2
72,9,W10d,2
72,10,W10d,2
72,11,W10d,2
72,12,W10d,2
72,13,W10d,2
72,14,W10,2
72,15,W16a,2
72,16,W10d,2
73,1,W10d,2
73,2,W10d,2
73,3,W10d,2
73,4,W10d,2
73,5,W16b,2
73,6,W16,2
73,7,W15,2
73,8,W16,2
73,9,W10d,2
73,10,W10d,2
73,11,W16b,2
73,12,W10d,2
73,13,W16b,2
73,14,W10d,2
73,15,W10d,2
73,16,W16b,2
74,1,W10,2
74,2,W10d,2
74,3,W16b,2
74,4,W16,2
74,5,W16,2
74,6,W16,2
74,7,W16a,2
74,8,W16,2
74,9,W16,2
74,10,W16,2
74,11,OV27,2
74,12,W16,2
74,13,W16,2
74,14,W16,2
74,15,M15,2
75,1,W10,2
75,2,W10c,2
75,3,W8e,2
75,4,OV27,2
75,5,W21c,2
75,6,W16b,2
75,7,W10c,2
75,8,W10d,2
75,9,W10c,2
75,10,W16b,2
75,11,W10d,2
75,12,W21,2
75,13,W8e,2
75,14,W10c,2
75,15,W8,2
75,16,W21,2
76,1,M15,2
76,2,M15c,2
76,3,W4,2
76,4,H2,2
76,5,M16a,2
76,6,M16a,2
76,7,M15c,2
76,8,W16a,2
76,9,W4,2
76,10,W4,2
76,11,W16a,2
76,12,W16a,2
76,13,M16a,2
