year,Plot,Nest,Site,Cove,BRC,BRC names,Woody
1,14,1,1,10.0,92046.0,Ajuga reptans,
1,14,1,1,1.0,920109.0,Angelica sylvestris,
1,14,1,1,60.0,920412.0,Carex remota,
1,14,1,1,1.0,920513.0,Circaea lutetiana,
1,14,1,1,5.0,920607.0,Dactylis glomerata,
1,14,1,1,1.0,920882.0,Galium palustre,
1,14,1,1,15.0,9202126.0,Urtica dioica,
1,14,2,1,0.5,920873.0,Galium aparine,
1,14,2,1,1.0,9202010.0,Stellaria holostea,
1,14,3,1,0.5,910665.0,Dryopteris filix-mas,
1,14,3,1,1.0,920421.0,Carex sylvatica,
1,14,3,1,1.0,920816.0,Festuca gigantea,
1,14,3,1,1.0,920931.0,Glechoma hederacea,
1,14,3,1,1.0,9201188.0,Lonicera periclymenum,w
1,14,3,1,5.0,9201607.0,Primula vulgaris,
1,14,4,1,0.5,920925.0,Geum urbanum,
1,14,4,1,5.0,9201259.0,Silene dioica,
1,14,4,1,1.0,9201728.0,Rubus fruticosus agg.,
1,14,5,1,1.0,920250.0,Brachypodium sylvaticum,
1,14,5,1,0.5,920569.0,Crataegus monogyna,w
1,15,1,1,5.0,92046.0,Ajuga reptans,
1,15,1,1,10.0,910665.0,Dryopteris filix-mas,
1,15,1,1,5.0,920687.0,Hyacinthoides non-scripta,
1,15,1,1,5.0,920816.0,Festuca gigantea,
1,15,1,1,0.5,920878.0,Galium saxatile,
1,15,1,1,20.0,920984.0,Holcus mollis,
1,15,1,1,40.0,9201728.0,Rubus fruticosus agg.,
1,15,1,1,5.0,9202010.0,Stellaria holostea,
1,15,1,1,1.0,200001595.0,Viola riviniana/reichenbiana,
1,15,2,1,0.5,920513.0,Circaea lutetiana,
1,15,2,1,0.5,920931.0,Glechoma hederacea,
1,15,2,1,0.5,9201607.0,Primula vulgaris,
1,15,2,1,0.5,200001583.0,Dryopteris dilatata/carthusiana,
1,15,3,1,0.5,920109.0,Angelica sylvestris,
1,15,3,1,5.0,920862.0,Lamiastrum galeobdolon,
1,15,3,1,1.0,9201188.0,Lonicera periclymenum,w
1,15,5,1,0.5,9202126.0,Urtica dioica,
1,16,1,1,5.0,92035.0,Agrostis canina sens.lat.,
1,16,1,1,10.0,920816.0,Festuca gigantea,
1,16,1,1,10.0,920862.0,Lamiastrum galeobdolon,
1,16,1,1,60.0,920984.0,Holcus mollis,
1,16,1,1,30.0,9101619.0,Pteridium aquilinum,
1,16,1,1,15.0,9201728.0,Rubus fruticosus agg.,
1,16,1,1,5.0,9202010.0,Stellaria holostea,
1,16,2,1,1.0,920183.0,Galium odoratum,
1,16,2,1,0.5,200001583.0,Dryopteris dilatata/carthusiana,
1,16,3,1,0.5,920878.0,Galium saxatile,
1,16,3,1,0.5,9201188.0,Lonicera periclymenum,w
1,16,3,1,0.5,9201259.0,Silene dioica,
1,16,3,1,0.5,200001595.0,Viola riviniana/reichenbiana,
1,16,5,1,1.0,920687.0,Hyacinthoides non-scripta,
1,1,1,2,0.5,92046.0,Ajuga reptans,
1,1,1,2,10.0,920183.0,Galium odoratum,
1,1,1,2,5.0,920513.0,Circaea lutetiana,
1,1,1,2,0.5,920838.0,Fragaria vesca,
1,1,1,2,0.5,920841.0,Fraxinus excelsior (c),w
1,1,1,2,1.0,920952.0,Hedera helix,
1,1,1,2,1.0,9201596.0,Potentilla sterilis,
1,1,1,2,5.0,9201728.0,Rubus fruticosus agg.,
1,1,1,2,0.5,9201819.0,Sanicula europaea,
1,1,1,2,0.5,9202168.0,Veronica chamaedrys,
1,1,1,2,5.0,200001595.0,Viola riviniana/reichenbiana,
1,1,2,2,0.5,920627.0,Deschampsia cespitosa,
1,1,2,2,1.0,9201188.0,Lonicera periclymenum,w
1,1,3,2,0.5,920421.0,Carex sylvatica,
1,1,3,2,0.5,9201748.0,Rumex obtusifolius,
1,1,4,2,0.5,92040.0,Agrostis capillaris,
1,1,4,2,1.0,9201705.0,Rosa seedling/sp,w
