BRC names,BRC number,Woody
Marsupella sprucei,810838,
Marsupella boeckii var.stableri,810839,
Marsupella brevissima,810841,
Mastigophora woodsii,810842,
Metzgeria conjugata,810843,
Metzgeria fruticulosa sens.lat.,810844,
Metzgeria furcata,810845,
Metzgeria leptoneura,810846,
Apometzgeria pubescens,810847,
Moerckia blyttii,810849,
Moerckia hibernica,810850,
Mylia anomala,810852,
Leptoscyphus cuneifolius,810853,
Mylia taylorii,810854,
Nardia breidleri,810855,
Nardia compressa,810856,
Nardia geoscyphus,810857,
Nardia scalaris,810858,
Nowellia curvifolia,810859,
Odontoschisma denudatum,810860,
Odontoschisma elongatum,810861,
Odontoschisma macounii,810862,
Odontoschisma sphagni,810863,
Pallavicinia lyellii,810864,
Pedinophyllum interruptum,810865,
Pellia epiphylla,810867,
Pellia endiviifolia,810868,
Pellia neesiana,810869,
Petalophyllum ralfsii,810870,
Plagiochila atlantica,810871,
Plagiochila asplenioides sens.lat.,810872,
Plagiochila porelloides,810872.1,
Plagiochila asplenioides,810872.2,
Plagiochila punctata,810873,
Plagiochila spinulosa agg.,810874,
Plagiochila killarniensis,810874.2,
Plagiochila exigua,810875,
Jungermannia hyalina,810876,
Jungermannia obovata,810877,
Jungermannia paroica,810878,
Jungermannia subelliptica,810879,
Pleurocladula albescens,810880,
Pleurozia purpurea,810881,
Porella cordaeana,810882,
Porella arboris-vitae,810883,
Porella pinnata,810884,
Porella platyphylla,810885,
Porella obtusata,810886,
Preissia quadrata,810887,
Ptilidium ciliare,810888,
Ptilidium pulcherrimum,810889,
Radula aquilegia,810890,
Radula carringtonii,810891,
Radula complanata,810892,
Radula holtii,810893,
Radula lindenbergiana,810894,
Radula voluta,810895,
Reboulia hemisphaerica,810896,
Riccardia incurvata,810897,
Riccardia latifrons,810898,
Riccardia multifida,810899,
Riccardia palmata,810900,
Aneura pinguis,810901,
Riccardia chamedryfolia,810902,
Riccia beyrichiana,810903,
Riccia bifurca,810904,
Riccia canaliculata,810905,
Riccia crozalsii,810907,
Riccia crystallina,810908,
Riccia fluitans,810909,
Riccia glauca,810910,
Riccia huebeneriana,810911,
Riccia nigrella,810913,
Riccia rhenana,810914,
Riccia sorocarpa,810915,
Riccia subbifurca,810916,
Ricciocarpos natans,810917,
Saccogyna viticulosa,810918,
Scapania aequiloba,810919,
Scapania aspera,810920,
Scapania calcicola,810921,
Scapania compacta,810922,
Scapania curta,810924,
Scapania cuspiduligera,810925,
Scapania degenii,810926,
Scapania gracilis,810927,
Scapania gymnostomophila,810928,
Scapania irrigua,810929,
Scapania nemorea,810930,
Scapania nimbosa,810931,
Scapania ornithopodioides,810932,
Scapania paludosa,810933,
Scapania parvifolia,810934,
Scapania scandica,810935,
Scapania subalpina,810936,
Scapania uliginosa,810937,
Scapania umbrosa,810938,
Scapania undulata,810939,
Jungermannia caespiticia,810941,
Jungermannia exsertifolia,810942,
Jungermannia gracillima,810943,
Jungermannia pumila,810944,
Jungermannia polaris,810945,
Jungermannia sphaerocarpa,810946,
Jungermannia atrovirens,810947,
Southbya nigrella,810948,
Sphaerocarpos michelii,810949,
Sphaerocarpos texanus,810950,
Anastrophyllum hellerianum,810951,
Anastrophyllum minutum,810952,
Anastrophyllum saxicola,810953,
Targionia hypophylla,810954,
Telaranea nematodes,810955,
Trichocolea tomentella,810956,
Tritomaria exsecta,810957,
Tritomaria exsectiformis,810958,
Tritomaria polita,810959,
Tritomaria quinquedentata,810960,
Fossombronia fimbriata,810961,
Fossombronia incurva,810962,
Herbertus borealis,810963,
Jungermannia borealis,810964,
Jungermannia confertissima,810965,
Lophocolea bispinosa,810966,
Lophocolea semiteres,810967,
Lophozia perssonii,810968,
Metzgeria temperata,810969,
Plagiochila britannica,810970,
Riccia cavernosa,810971,
Scapania lingulata,810972,
Scapania paludicola,810973,
Scapania praetervisa,810974,
Southbya tophacea,810975,
Telaranea murphyae,810976,
Chiloscyphus polyanthos,810986,
Bryum intermedium,820100,
Bryum knowltonii,820101,
Bryum mamillatum,820103,
Bryum marratii,820104,
Bryum mildeanum,820105,
Bryum muehlenbeckii,820106,
Bryum radiculosum,820107,
Bryum neodamense,820108,
Bryum pallens,820110,
Bryum pallescens,820111,
Bryum algovicum,820112,
Bryum pseudotriquetrum,820113,
Bryum rubens,820115,
Bryum capillare var.rufifolium,820116,
Bryum salinum,820117,
Bryum schleicheri,820118,
Bryum cyclophyllum,820119,
Bryum turbinatum,820120,
Bryum uliginosum,820121,
Bryum warneum,820122,
Bryum weigelii,820123,
Buxbaumia aphylla,820124,
Buxbaumia viridis,820125,
Homalothecium lutescens,820126,
Homalothecium nitens,820127,
Homalothecium sericeum,820128,
Campylium chrysophyllum,820129,
Campylium elodes,820130,
Campylium halleri,820131,
Campylium polygamum,820133,
Campylium stellatum var.protensum,820134,
Campylium calcareum,820135,
Campylopus atrovirens,820137,
Campylopus brevipilus,820138,
Campylopus paradoxus,820139,
Campylopus fragilis,820140,
Campylopus introflexus,820141,
Campylopus pyriformis,820142,
Campylopus setifolius,820143,
Campylopus schimperi,820144,
Campylopus schwarzii,820145,
Campylopus shawii,820146,
Campylopus subulatus,820147,
Campylostelium saxicola,820148,
Catoscopium nigritum,820149,
Cheilothela chloropus,820150,
Ceratodon purpureus,820151,
Cinclidium stygium,820152,
Cinclidotus fontinaloides,820153,
Cinclidotus mucronatus,820154,
Cirriphyllum cirrosum,820155,
Cirriphyllum crassinervium,820156,
Cirriphyllum piliferum,820157,
Climacium dendroides,820158,
Conostomum tetragonum,820159,
Coscinodon cribrosus,820160,
Cratoneuron commutatum,820161,
Cratoneuron commutatum var.falcatum,820161.2,
Cratoneuron decipiens,820162,
Cratoneuron filicinum,820163,
Cryphaea heteromalla,820164,
Cryphaea lamyana,820165,
Ctenidium molluscum,820166,
Ctenidium procerrimum,820167,
Cyclodictyon laetevirens,820168,
Cynodontium bruntonii,820169,
Cynodontium jenneri,820172,
Cynodontium polycarpon,820173,
Cynodontium strumiferum,820174,
Cynodontium tenellum,820175,
Daltonia splachnoides,820176,
Desmatodon cernuus,820177,
Desmatodon convolutus,820178,
Desmatodon leucostoma,820179,
Dichodontium pellucidum sens.lat.,820180,
Dichodontium flavescens,820180.2,
Dicranella cerviculata,820181,
Dicranella crispa,820182,
Dicranella grevilleana,820183,
Dicranella heteromalla,820184,
Dicranella rufescens,820185,
Dicranella schreberana,820186,
Dicranella palustris,820187,
Dicranella subulata,820188,
Dicranella varia,820189,
Dicranodontium asperulum,820190,
Dicranodontium denudatum,820191,
Dicranodontium uncinatum,820192,
Dicranoweisia cirrata,820193,
Dicranoweisia crispula,820194,
Dicranum undulatum,820195,
Kiaeria blyttii,820196,
Dicranum bonjeanii,820197,
Dicranum elongatum,820198,
Kiaeria falcata,820199,
Dicranum flagellare,820200,
Dicranum fuscescens,820201,
Dicranum glaciale,820202,
Dicranum majus,820203,
Dicranum montanum,820204,
Dicranum polysetum,820205,
Dicranum scoparium,820206,
Dicranum scottianum,820207,
Dicranum spurium,820208,
Kiaeria starkei,820209,
Dicranum tauricum,820210,
Diphyscium foliosum,820211,
Discelium nudum,820212,
Distichium capillaceum,820213,
Distichium inclinatum,820214,
Ditrichum cylindricum,820215,
Ditrichum flexicaule sens.lat.,820216,
Ditrichum heteromallum,820217,
Ditrichum pusillum,820218,
Ditrichum subulatum,820219,
Ditrichum lineare,820220,
Ditrichum zonatum,820221,
Drepanocladus aduncus,820222,
Drepanocladus exannulatus,820223,
Drepanocladus fluitans,820224,
Drepanocladus lycopodioides,820225,
Drepanocladus revolvens,820226,
Drepanocladus sendtneri,820227,
Drepanocladus uncinatus,820228,
Drepanocladus vernicosus,820229,
Encalypta alpina,820230,
Encalypta ciliata,820231,
Encalypta rhaptocarpa,820232,
Encalypta streptocarpa,820233,
Encalypta vulgaris,820234,
Ephemerum cohaerens,820236,
