SITE,PLOT,SOM1971,SOM resurvey,,
31,16,16.731,14.6,,
81,12,9.499,14.62548,,
34,14,16.486,15.76797,,
49,13,78.047,27.16504,,
53,4,29.161,42.8,,
49,16,65.745,53.89515,,
53,13,48.798,80.4,,
13,1,6.258,4.1,,
45,1,10.232,5.628362,,
65,15,20.488,10.70326,,
24,3,15.035,11.8,,
34,2,19.679,14.087,,
34,6,22.163,14.34607,,
24,15,8.112,16.5,,
65,11,19.084,17.5198,,
34,13,18.447,18.14912,,
19,7,20.768,18.38341,,
34,16,15.287,18.55726,,
65,10,19.595,18.68653,,
65,5,18.146,19.78786,,
40,11,8.242,12.3,,
9,1,5.983,5.099701,,
70,16,10.289,9.376308,,
9,3,9.695,10.60852,,
22,8,8.192,9.210278,,
34,7,16.564,15.4958,,
22,9,10.667,15.79635,,
13,2,6.542,4.3,,
67,8,6.363,4.547006,,
71,9,8.669,5.3,,
94,6,9.137,5.4,,
44,11,7.112,5.501937,,
83,12,21.634,5.578477,,
91,5,6.416,5.8,,
100,11,19.955,5.8,,
38,1,6.517,5.826601,,
80,11,10.026,5.9,,
69,6,5.722,5.97352,,
71,10,7.282,6,,
59,2,7.166,6.057446,,
50,2,12.648,6.198223,,
57,14,9.639,6.265377,,
17,9,7.731,6.271155,,
23,13,9.11,6.3,,
23,10,6.658,6.4,,
71,12,8.327,6.4,,
80,5,10.945,6.4,,
23,9,20.854,6.4,,
80,10,7.811,6.5,,
63,13,6.915,6.589737,,
21,13,9.946,6.6,,
23,4,5.876,6.8,,
23,15,7.939,6.8,,
94,13,13.148,6.9,,
70,14,10.094,7.06361,,
94,8,6.928,7.1,,
80,9,7.619,7.2,,
71,11,8.021,7.2,,
70,4,12.366,7.30057,,
21,9,9.201,7.4,,
100,9,9.324,7.4,,
70,3,8.21,7.415287,,
23,7,5.828,7.5,,
29,11,10.922,7.5,,
67,4,10.251,7.564698,,
23,12,6.945,7.6,,
3,2,6.076,7.686926,,
35,1,11.555,7.730561,,
23,2,8.627,7.8,,
100,4,10.469,7.8,,
69,5,6.18,7.805828,,
20,12,8.732,7.83,,
36,9,9.838,7.836019,,
9,8,8.519,7.88677,,
23,16,7.939,7.9,,
23,8,8.893,7.9,,
88,2,7.471,8,,
25,13,9.429,8,,
28,12,10.098,8.04,,
23,3,7.337,8.1,,
94,9,7.343,8.2,,
26,8,10.895,8.29829,,
71,7,5.341,8.3,,
25,12,10.565,8.3,,
88,13,11.057,8.3,,
21,7,12.383,8.4,,
26,9,,8.453311,,
100,2,8.933,8.5,,
28,5,8.891,8.58,,
15,3,22.746,8.584799,,
80,15,5.382,8.6,,
71,3,7.089,8.6,,
94,12,9.282,8.6,,
28,8,9.147,8.61,,
83,11,28.543,8.646189,,
57,6,8.403,8.655044,,
96,8,9.346,8.687342,,
71,16,7.85,8.7,,
80,7,9.843,8.7,,
70,13,9.176,8.764614,,
66,12,10.232,8.78,,
93,5,8.762,8.790148,,
21,14,12.349,8.8,,
71,14,7.624,9,,
95,9,15.195,9.07,,
28,4,9.118,9.12,,
4,14,6.912,9.157294,,
70,10,11.603,9.198757,,
70,12,11.382,9.207661,,
32,8,7.299,9.3,,
28,11,8.799,9.31,,
38,4,33.759,9.345795,,
82,14,9.492,9.4,,
