,SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names,Woody
152,66,16,920841,3,1,2,Fraxinus excelsior (c),w
153,66,16,920841,4,2,2,Fraxinus excelsior (c),w
154,66,16,920841,5,1,2,Fraxinus excelsior (c),w
155,66,16,9205,6,1,2,Acer pseudoplatanus,w
156,66,16,92077,6,1,2,Alnus glutinosa,w
157,66,16,9204446,6,1,2,Quercus seedling/sp,w
158,66,16,920841,6,2,2,Fraxinus excelsior (c),w
159,66,16,92077,7,2,2,Alnus glutinosa,w
160,72,1,9205,3,1,2,Acer pseudoplatanus,w
161,72,1,9204446,4,1,2,Quercus seedling/sp,w
162,72,1,9204446,10,1,2,Quercus seedling/sp,w
163,72,1,9204446,11,1,2,Quercus seedling/sp,w
164,72,1,9204446,12,1,2,Quercus seedling/sp,w
165,72,2,9204445,3,1,2,Betula seedling/sp,w
166,72,2,9204445,4,2,2,Betula seedling/sp,w
167,72,2,9204446,6,1,2,Quercus seedling/sp,w
168,72,2,9204446,8,2,2,Quercus seedling/sp,w
169,72,3,9204445,3,1,2,Betula seedling/sp,w
170,72,3,9204446,3,1,2,Quercus seedling/sp,w
171,72,3,9204445,4,1,2,Betula seedling/sp,w
172,72,3,9204445,5,1,2,Betula seedling/sp,w
173,72,3,9204446,7,1,2,Quercus seedling/sp,w
174,72,3,9204446,8,2,2,Quercus seedling/sp,w
175,72,3,920810,12,1,2,Fagus sylvatica,w
176,72,4,9201614,1,2,2,Prunus domestica,w
177,72,4,9201960,1,6,2,Sorbus aucuparia,w
178,72,4,9204445,1,6,2,Betula seedling/sp,w
179,72,4,9204446,1,12,2,Quercus seedling/sp,w
180,72,4,9204445,4,3,2,Betula seedling/sp,w
181,72,4,9204445,5,2,2,Betula seedling/sp,w
182,72,5,9204446,2,2,2,Quercus seedling/sp,w
183,72,5,9204445,3,1,2,Betula seedling/sp,w
184,72,5,9204446,3,1,2,Quercus seedling/sp,w
185,72,5,9204446,4,2,2,Quercus seedling/sp,w
186,72,5,9204445,5,2,2,Betula seedling/sp,w
187,72,5,9204446,5,2,2,Quercus seedling/sp,w
188,72,5,9204446,6,1,2,Quercus seedling/sp,w
189,72,5,9204446,8,1,2,Quercus seedling/sp,w
190,72,6,920557,1,2,2,Corylus avellana,w
191,72,6,920557,2,16,2,Corylus avellana,w
192,72,6,920841,3,1,2,Fraxinus excelsior (c),w
193,72,6,9204445,3,1,2,Betula seedling/sp,w
194,72,6,920557,3,2,2,Corylus avellana,w
195,72,6,9204446,5,1,2,Quercus seedling/sp,w
196,72,6,9204446,6,1,2,Quercus seedling/sp,w
197,72,6,920841,7,2,2,Fraxinus excelsior (c),w
198,72,7,9204446,2,1,2,Quercus seedling/sp,w
199,72,7,9204445,3,2,2,Betula seedling/sp,w
200,72,7,9204445,4,1,2,Betula seedling/sp,w
201,72,7,9204446,4,1,2,Quercus seedling/sp,w
202,72,7,920841,5,1,2,Fraxinus excelsior (c),w
203,72,7,9204446,5,1,2,Quercus seedling/sp,w
204,72,7,9204446,6,1,2,Quercus seedling/sp,w
205,72,7,9204446,8,2,2,Quercus seedling/sp,w
206,72,8,9204446,7,1,2,Quercus seedling/sp,w
207,72,8,9204446,10,1,2,Quercus seedling/sp,w
208,72,9,920841,6,1,2,Fraxinus excelsior (c),w
209,72,9,9204446,7,1,2,Quercus seedling/sp,w
210,72,9,9204445,8,1,2,Betula seedling/sp,w
211,72,9,9204446,9,1,2,Quercus seedling/sp,w
212,72,9,9204446,10,1,2,Quercus seedling/sp,w
213,72,10,9204445,5,1,2,Betula seedling/sp,w
