species,status
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,AM
Anthoxanthum odoratum,non-mycorrhizal (checked for all types)
Anthriscus ruprechtii,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthriscus sylvestris,AM
Anthyllis vulneraria subpolyphylla,AM
Anthyllis variegata,AM
Anthyllis variegata,AM
Anthyllis variegata,AM
Anthyllis variegata,AM
Antirrhinum majus,AM
Anthoxanthum odoratum,AM
Apera spica-venti,AM
Aquilegia olympica,AM
Aquilegia vulgaris,AM
Arabis alpina,AM
Arabis alpina,non-mycorrhizal (checked for all types)
Arabis alpina,AM
Turritis glabra,non-mycorrhizal (checked for all types)
Arabis hirsuta,AM
Catolobus pendulus,non-mycorrhizal (checked for all types)
Arabidopsis lyrata subpetraea,AM
Arachis hypogaea,AM
Arachis hypogaea,AM
Aralia elata,AM
Aralia elata,non-mycorrhizal (checked for all types)
Araucaria bidwillii,AM
Araucaria bidwillii,AM
Araucaria columnaris,AM
Araucaria cunninghamii,AM
Araucaria cunninghamii,AM
Araucaria columnaris,AM
Araucaria columnaris,AM
Araucaria hunsteinii,AM
Arbutus unedo,AM
Arctagrostis latifolia,AM
Arctium lappa,AM
Arctium nemorosum,AM
Arctophila fulva,AM
Arctophila fulva,AM
Arctous alpina,AM
Arctous alpina,AM
Arctous alpina,AM
Arctous alpina,non-mycorrhizal (checked for all types)
Arctostaphylos uva-ursi,AM
Arctostaphylos uva-ursi,AM
Eremogone griffithii,non-mycorrhizal (checked for all types)
Eremogone griffithii,non-mycorrhizal (checked for all types)
Eremogone ledebouriana,non-mycorrhizal (checked for all types)
Eremogone longifolia,non-mycorrhizal (checked for all types)
Eremogone longifolia,non-mycorrhizal (checked for all types)
Eremogone longifolia,non-mycorrhizal (checked for all types)
