site,plot,BRC,DBH_class,Count,Yr,species,ms,flag,dbhcounts
72,3,9204445.0,3,1,2,Betula seedling/sp,em,0,3
72,3,9204446.0,3,1,2,Quercus seedling/sp,em,0,3
72,3,9204445.0,4,1,2,Betula seedling/sp,em,0,4
72,3,9204445.0,5,1,2,Betula seedling/sp,em,0,5
72,3,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
72,3,9204446.0,8,2,2,Quercus seedling/sp,em,0,16
72,3,920810.0,12,1,2,Fagus sylvatica,em,0,12
72,4,9201614.0,1,2,2,Prunus domestica,am,0,2
72,4,9201960.0,1,6,2,Sorbus aucuparia,am,0,6
72,4,9204445.0,1,6,2,Betula seedling/sp,em,0,6
72,4,9204446.0,1,12,2,Quercus seedling/sp,em,0,12
72,4,9204445.0,4,3,2,Betula seedling/sp,em,0,12
72,4,9204445.0,5,2,2,Betula seedling/sp,em,0,10
72,5,9204446.0,2,2,2,Quercus seedling/sp,em,0,4
72,5,9204445.0,3,1,2,Betula seedling/sp,em,0,3
72,5,9204446.0,3,1,2,Quercus seedling/sp,em,0,3
72,5,9204446.0,4,2,2,Quercus seedling/sp,em,0,8
72,5,9204445.0,5,2,2,Betula seedling/sp,em,0,10
72,5,9204446.0,5,2,2,Quercus seedling/sp,em,0,10
72,5,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
72,5,9204446.0,8,1,2,Quercus seedling/sp,em,0,8
72,6,920557.0,1,2,2,Corylus avellana,em,0,2
72,6,920557.0,2,16,2,Corylus avellana,em,0,32
72,6,920841.0,3,1,2,Fraxinus excelsior (c),am,0,3
72,6,9204445.0,3,1,2,Betula seedling/sp,em,0,3
72,6,920557.0,3,2,2,Corylus avellana,em,0,6
72,6,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
72,6,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
72,6,920841.0,7,2,2,Fraxinus excelsior (c),am,0,14
72,7,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
72,7,9204445.0,3,2,2,Betula seedling/sp,em,0,6
72,7,9204445.0,4,1,2,Betula seedling/sp,em,0,4
72,7,9204446.0,4,1,2,Quercus seedling/sp,em,0,4
72,7,920841.0,5,1,2,Fraxinus excelsior (c),am,0,5
72,7,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
72,7,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
72,7,9204446.0,8,2,2,Quercus seedling/sp,em,0,16
72,8,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
72,8,9204446.0,10,1,2,Quercus seedling/sp,em,0,10
72,9,920841.0,6,1,2,Fraxinus excelsior (c),am,0,6
72,9,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
72,9,9204445.0,8,1,2,Betula seedling/sp,em,0,8
72,9,9204446.0,9,1,2,Quercus seedling/sp,em,0,9
72,9,9204446.0,10,1,2,Quercus seedling/sp,em,0,10
72,10,9204445.0,5,1,2,Betula seedling/sp,em,0,5
72,10,9204446.0,6,2,2,Quercus seedling/sp,em,0,12
72,10,9204446.0,7,4,2,Quercus seedling/sp,em,0,28
72,10,9204446.0,9,1,2,Quercus seedling/sp,em,0,9
72,11,9204445.0,3,2,2,Betula seedling/sp,em,0,6
72,11,9204445.0,4,1,2,Betula seedling/sp,em,0,4
72,11,9204445.0,5,1,2,Betula seedling/sp,em,0,5
72,11,9204446.0,8,3,2,Quercus seedling/sp,em,0,24
72,11,9204446.0,9,1,2,Quercus seedling/sp,em,0,9
72,12,9204446.0,4,2,2,Quercus seedling/sp,em,0,8
72,12,9204446.0,5,4,2,Quercus seedling/sp,em,0,20
72,12,9204446.0,6,3,2,Quercus seedling/sp,em,0,18
72,12,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
72,12,9204445.0,7,2,2,Betula seedling/sp,em,0,14
72,13,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
72,13,9204446.0,7,1,2,Quercus seedling/sp,em,0,7
72,13,9204446.0,9,1,2,Quercus seedling/sp,em,0,9
72,14,920557.0,1,4,2,Corylus avellana,em,0,4
72,14,920810.0,2,1,2,Fagus sylvatica,em,0,2
72,14,920569.0,2,2,2,Crataegus monogyna,em,0,4
72,14,920557.0,2,14,2,Corylus avellana,em,0,28
72,14,920557.0,3,2,2,Corylus avellana,em,0,6
72,14,920569.0,4,1,2,Crataegus monogyna,em,0,4
72,14,920810.0,7,1,2,Fagus sylvatica,em,0,7
72,14,9204445.0,7,1,2,Betula seedling/sp,em,0,7
72,14,9204446.0,8,1,2,Quercus seedling/sp,em,0,8
72,14,920810.0,14,1,2,Fagus sylvatica,em,0,14
72,15,9204446.0,2,1,2,Quercus seedling/sp,em,0,2
72,15,9204446.0,3,2,2,Quercus seedling/sp,em,0,6
72,15,9204446.0,4,3,2,Quercus seedling/sp,em,0,12
72,15,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
72,15,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
72,16,9204445.0,9,1,2,Betula seedling/sp,em,0,9
72,16,9204445.0,10,1,2,Betula seedling/sp,em,0,10
73,1,9204446.0,3,1,2,Quercus seedling/sp,em,0,3
73,1,9204446.0,6,1,2,Quercus seedling/sp,em,0,6
73,1,9204446.0,8,1,2,Quercus seedling/sp,em,0,8
73,1,9204446.0,11,1,2,Quercus seedling/sp,em,0,11
73,1,9204446.0,14,1,2,Quercus seedling/sp,em,0,14
73,2,9201470.0,5,1,2,Picea abies,em,0,5
73,2,9204407.0,5,1,2,Nothofagus nervosa,em,0,5
73,2,9204407.0,6,1,2,Nothofagus nervosa,em,0,6
73,2,9204407.0,7,2,2,Nothofagus nervosa,em,0,14
73,2,9204407.0,10,1,2,Nothofagus nervosa,em,0,10
73,3,9204446.0,6,2,2,Quercus seedling/sp,em,0,12
73,3,9204546.0,11,1,2,Pinus sp./seedling,em,0,11
73,4,9201616.0,1,14,2,Prunus padus,am,0,14
73,4,9201616.0,3,2,2,Prunus padus,am,0,6
73,4,9201616.0,4,2,2,Prunus padus,am,0,8
73,4,92077.0,8,1,2,Alnus glutinosa,d,0,8
73,4,92077.0,10,1,2,Alnus glutinosa,d,0,10
73,5,920810.0,1,2,2,Fagus sylvatica,em,0,2
73,5,9204445.0,1,2,2,Betula seedling/sp,em,0,2
73,5,9204446.0,1,2,2,Quercus seedling/sp,em,0,2
73,5,920557.0,1,24,2,Corylus avellana,em,0,24
73,5,9201611.0,2,1,2,Prunus avium,am,0,2
73,5,9201616.0,2,2,2,Prunus padus,am,0,4
73,5,9201023.0,3,1,2,Ilex aquifolium,am,1,3
73,5,9204446.0,4,1,2,Quercus seedling/sp,em,0,4
73,5,9204446.0,5,1,2,Quercus seedling/sp,em,0,5
