SITE,PLOT,pH1971,pH resurvey
11,12,4.7,4.4
18,2,4.4,4.666
51,3,4.4,4.667
3,7,4.4,4.678
96,2,4.4,4.688
78,3,4.4,4.696
16,14,4.4,4.7
71,5,4.4,4.7
51,8,4.4,4.702
26,8,4.2,4.859
54,10,4.2,4.903
64,1,4.2,4.916
39,14,3.7,5.405
77,5,5.2,3.967
54,15,5.1,4.083
94,1,5,4.2
101,4,5,4.209
68,11,4.9,4.34
69,3,4.9,4.344
74,3,4.8,4.387
16,6,4.8,4.4
51,6,4.8,4.405
57,4,4.8,4.421
57,1,4.7,4.471
58,6,4.7,4.472
50,10,4.7,4.485
99,2,4.6,4.6
61,14,4.5,4.657
96,9,4.5,4.661
78,11,4.5,4.675
18,3,4.5,4.683
56,3,4.5,4.69
50,11,4.4,4.763
96,4,4.4,4.775
28,4,4.4,4.783
42,3,4.2,5.035
47,7,4,5.172
83,8,4,5.18
69,8,3.9,5.324
63,15,3.8,5.435
42,13,3.8,5.438
92,11,5.2,4.071
18,4,5,4.346
61,11,4.9,4.363
76,10,4.9,4.404
74,10,4.9,4.44
29,15,4.8,4.5
72,7,4.8,4.513
54,11,4.8,4.521
25,12,4.7,4.6
72,14,4.6,4.673
79,5,4.6,4.7
67,11,4.5,4.758
30,16,4.5,4.775
13,9,4.5,4.8
1,10,4.5,4.8
78,4,4.5,4.822
63,10,4.5,4.824
96,13,4.5,4.847
91,12,4.4,4.9
74,2,4.4,4.936
68,5,4.4,4.948
77,9,4.2,5.065
71,13,4.2,5.1
42,6,4.1,5.151
91,14,4.1,5.2
39,4,4,5.279
91,16,4,5.3
39,9,3.9,5.369
47,8,3.9,5.37
69,11,3.9,5.408
67,3,3.9,5.445
38,2,5.1,4.261
48,6,5.1,4.3
71,8,5.1,4.3
79,4,5.1,4.3
48,13,5.1,4.3
96,3,5.1,4.319
97,1,4.8,4.602
15,16,4.8,4.604
18,5,4.8,4.612
56,2,4.6,4.819
51,5,4.6,4.838
83,5,4.3,5.113
37,12,4.1,5.28
99,3,3.8,5.6
5,16,5.4,4
51,15,5.2,4.162
87,12,5.2,4.223
56,16,4.9,4.494
51,13,4.9,4.495
29,4,4.9,4.5
11,14,4.9,4.5
67,1,4.5,4.854
56,1,4.5,4.928
37,6,4.4,4.984
79,12,4.4,5
80,13,4.2,5.2
45,6,4.2,5.248
37,4,4,5.371
100,7,4,5.4
63,1,3.7,5.688
94,13,3.7,5.7
39,10,3.5,5.936
77,7,5.7,3.823
75,7,5.6,3.885
61,10,5.6,3.949
11,8,5.2,4.3
59,15,5.2,4.338
14,3,5.1,4.395
11,3,5.1,4.4
96,7,5,4.463
21,15,5,4.5
67,5,4.9,4.586
8,9,4.9,4.6
11,11,4.9,4.6
72,10,4.8,4.66
77,4,4.8,4.663
50,1,4.8,4.7
38,10,4.8,4.718
41,7,4.8,4.729
43,13,4.7,4.767
59,4,4.6,4.9
45,15,4.6,4.932
75,9,4.6,4.936
18,6,4.6,4.945
6,16,4.5,5
21,8,4.5,5
87,7,4.5,5.01
61,8,4.4,5.055
87,16,4.4,5.093
67,12,4.3,5.187
80,11,4.3,5.2
15,5,4,5.473
76,1,4,5.491
92,4,4,5.509
42,5,3.9,5.631
92,8,3.6,5.945
69,2,5.7,3.896
61,9,5.6,4.027
58,7,5.5,4.118
92,15,5.1,4.494
26,6,5.1,4.548
51,4,5,4.599
11,5,5,4.6
71,11,5,4.6
51,7,5,4.617
94,2,4.8,4.8
68,2,4.8,4.828
66,1,4.6,4.961
62,8,4.3,5.276
96,8,4.3,5.291
28,9,4.1,5.5
69,13,3.9,5.743
44,16,3.6,5.995
74,12,5.4,4.243
79,1,4.9,4.7
79,8,4.9,4.7
26,2,4.9,4.707
72,4,4.7,4.881
41,11,4.7,4.895
6,6,4.7,4.9
69,4,4.7,4.91
56,5,4.7,4.943
93,14,4.4,5.168
59,9,4.4,5.216
76,2,4.2,5.354
23,4,4.2,5.4
62,6,4.2,5.446
93,15,5.5,4.23
61,1,5.4,4.308
11,1,5.2,4.5
71,2,5.2,4.5
98,1,5.2,4.547
73,10,5.1,4.557
41,4,5.1,4.603
82,6,5,4.7
74,14,5,4.719
77,2,5,4.735
56,4,4.9,4.792
92,16,4.8,4.891
6,4,4.8,4.9
71,14,4.8,4.9
50,14,4.8,4.912
83,12,4.8,4.926
26,11,4.8,4.928
11,2,4.7,5
23,16,4.7,5
28,12,4.7,5
48,1,4.7,5
48,2,4.7,5
59,16,4.7,5.004
96,11,4.6,5.058
96,5,4.6,5.143
66,15,4.5,5.155
93,1,4.5,5.184
71,12,4.5,5.2
74,1,4.4,5.293
97,4,4.4,5.298
79,15,4.4,5.3
77,12,4.4,5.315
58,5,4.3,5.353
42,12,4.1,5.62
94,12,3.9,5.8
74,13,5.9,3.924
17,11,5.6,4.182
58,14,5.6,4.196
97,8,5.6,4.211
98,6,5.2,4.569
71,6,5.1,4.7
68,10,5,4.791
83,6,5,4.815
38,15,5,4.838
26,10,5,4.847
51,2,4.8,4.97
62,11,4.8,4.987
33,4,4.8,5
