BRC,BRC names
9201048,Jasione montana
820363,Isothecium myurum
820362,Isothecium myosuroides
820357,Isopterygium elegans
9201038,Iris pseudacorus
9201036,Iris foetidissima
9201030,Inula conyzae
200001629,Impatiens sp.
9201028,Impatiens parviflora
9201027,Impatiens noli-tangere
9201026,Impatiens glandulifera
9201023,Ilex aquifolium
200001584,Hypochoeris spp.
9201020,Hypochaeris radicata
8201167,Hypnum sp.
820352,Hypnum hamulosum
820351,Hypnum cupressiforme sens.lat.
9201016,Hypericum tetrapterum
9204536,Hypericum sp.
9201015,Hypericum pulchrum
9201014,Hypericum perforatum
9201013,Hypericum montanum
9201006,Hypericum maculatum
9201011,Hypericum humifusum
9201010,Hypericum hirsutum
9201004,Hypericum calycinum
9201003,Hypericum androsaemum
9101001,Hymenophyllum wilsonii
820346,Hylocomium splendens
920999,Hydrocotyle vulgaris
200001690,Hydrangea spp.
920687,Hyacinthoides non-scripta
9101217,Huperzia selago
920996,Humulus lupulus
200001626,Hordeum sp.
9204368,Hordeum distichon sens.lat.
920989,Hordelymus europaeus
820335,Hookeria lucens
820126,Homalothecium lutescens
920984,Holcus mollis
920983,Holcus lanatus
9202560,Hieracium 'indeterminate'
920968,Heracleum sphondylium
200004000,Helleborus sp.
920962,Helictotrichon pubescens
920955,Helianthemum nummularium
920952,Hedera helix
9102054,Gymnocarpium robertianum
9102050,Gymnocarpium dryopteris
920948,Gymnadenia conopsea
920943,Goodyera repens
920941,Gnaphalium uliginosum
9204943,Glyceria seedling/sp
920936,Glyceria notata
920934,Glyceria maxima
920933,Glyceria fluitans
920931,Glechoma hederacea
920925,Geum urbanum
920923,Geum rivale x urbanum (G. x intermedium)
920924,Geum rivale
920921,Geranium sylvaticum
9204535,Geranium sp.
920920,Geranium sanguineum
920918,Geranium robertianum
920914,Geranium pratense
920911,Geranium molle
920907,Geranium dissectum
920906,Geranium columbinum
920893,Genista tinctoria
920888,Galium verum
920887,Galium uliginosum
9204533,Galium sp.
920883,Galium sp 
920878,Galium saxatile
920882,Galium palustre
920183,Galium odoratum
920879,Galium mollugo
920873,Galium aparine
920868,Galeopsis tetrahit agg.
920867,Galeopsis speciosa
9204931,Galeopsis sp.
920854,Fumaria officinalis
920841,Fraxinus excelsior (c)
920839,Frangula alnus
920838,Fragaria vesca
200001619,Fragaria sp.
8201147,Fissidens sp.
820262,Fissidens cristatus
920834,Filipendula vulgaris
920833,Filipendula ulmaria
920826,Festuca vivipara
200001182,Festuca sp.
920824,Festuca rubra agg.
9204916,Festuca ovina/rubra (vegetative)
920821,Festuca ovina agg.
920816,Festuca gigantea
920813,Festuca arundinacea
920812,Festuca altissima
9201528,Fallopia japonica
920810,Fagus sylvatica
8201146,Eurhynchium sp.
9202243,Euphrasia officinalis agg.
920777,Euphorbia peplus
920764,Euphorbia amygdaloides
20000158,Euphorbia agg.
920763,Eupatorium cannabinum
920762,Euonymus europaeus
920744,Eriophorum vaginatum
920740,Eriophorum angustifolium
920731,Erica tetralix
920726,Erica cinerea
910721,Equisetum telmateia
910720,Equisetum sylvaticum
9104635,Equisetum sp.
910717,Equisetum palustre
910713,Equisetum fluviatile
910712,Equisetum arvense
920705,Epipactis helleborine
920702,Epipactis atrorubens
9207292,Epilobium tetragonum
200001439,Epilobium tetragon/obscurum
9204530,Epilobium sp.
920698,Epilobium parviflorum
920697,Epilobium palustre
920696,Epilobium obscurum
920695,Epilobium montanum
920692,Epilobium hirsutum
920688,Epilobium ciliatum
920699,Epilobium brunnescens
920691,Epilobium anagallidifolium
920684,Empetrum nigrum
92033,Elytrigia repens
9207006,Elymus caninus
920681,Elodea canadensis
920677,Eleocharis quinqueflora
920675,Eleocharis palustris
9104634,Dryopteris sp.
910665,Dryopteris filix-mas
200001583,Dryopteris dilatata/carthusiana
910662,Dryopteris affinis
920657,Drosera rotundifolia
820226,Drepanocladus revolvens
920646,Dipsacus fullonum sens.lat.
8101284,Diplophyllum sp.
810747,Diplophyllum albicans
920640,Digitalis purpurea
8201132,Dicranum sp.
820206,Dicranum scoparium
820203,Dicranum majus
20000868,Dicranella sp
820184,Dicranella heteromalla
920628,Deschampsia flexuosa
